Category: All categories

Month,gdp ppp: (United States)
2004-01,39
2004-02,38
2004-03,73
2004-04,19
2004-05,68
2004-06,52
2004-07,18
2004-08,16
2004-09,31
2004-10,79
2004-11,65
2004-12,57
2005-01,13
2005-02,13
2005-03,34
2005-04,26
2005-05,93
2005-06,83
2005-07,35
2005-08,22
2005-09,51
2005-10,48
2005-11,39
2005-12,56
2006-01,8
2006-02,85
2006-03,46
2006-04,64
2006-05,68
2006-06,32
2006-07,62
2006-08,28
2006-09,50
2006-10,33
2006-11,45
2006-12,32
2007-01,63
2007-02,78
2007-03,38
2007-04,55
2007-05,30
2007-06,48
2007-07,40
2007-08,19
2007-09,34
2007-10,65
2007-11,78
2007-12,68
2008-01,83
2008-02,82
2008-03,44
2008-04,67
2008-05,16
2008-06,21
2008-07,36
2008-08,52
2008-09,44
2008-10,44
2008-11,45
2008-12,26
2009-01,45
2009-02,58
2009-03,36
2009-04,67
2009-05,30
2009-06,21
2009-07,27
2009-08,43
2009-09,48
2009-10,79
2009-11,63
2009-12,40
2010-01,55
2010-02,57
2010-03,63
2010-04,57
2010-05,62
2010-06,42
2010-07,49
2010-08,40
2010-09,57
2010-10,59
2010-11,69
2010-12,46
2011-01,47
2011-02,68
2011-03,60
2011-04,62
2011-05,55
2011-06,38
2011-07,23
2011-08,35
2011-09,53
2011-10,56
2011-11,61
2011-12,29
2012-01,46
2012-02,60
2012-03,50
2012-04,56
2012-05,54
2012-06,35
2012-07,32
2012-08,32
2012-09,44
2012-10,56
2012-11,54
2012-12,32
2013-01,34
2013-02,52
2013-03,43
2013-04,50
2013-05,50
2013-06,40
2013-07,32
2013-08,32
2013-09,67
2013-10,55
2013-11,40
2013-12,50
2014-01,43
2014-02,58
2014-03,41
2014-04,77
2014-05,78
2014-06,42
2014-07,28
2014-08,30
2014-09,51
2014-10,88
2014-11,62
2014-12,79
2015-01,74
2015-02,82
2015-03,54
2015-04,49
2015-05,48
2015-06,31
2015-07,36
2015-08,43
2015-09,76
2015-10,71
2015-11,69
2015-12,51
2016-01,46
2016-02,60
2016-03,57
2016-04,66
2016-05,56
2016-06,41
2016-07,39
2016-08,48
2016-09,61
2016-10,73
2016-11,71
2016-12,61
2017-01,62
2017-02,99
2017-03,76
2017-04,66
2017-05,71
2017-06,55
2017-07,62
2017-08,44
2017-09,81
2017-10,91
2017-11,84
2017-12,39
2018-01,79
2018-02,87
2018-03,88
2018-04,100
2018-05,65
2018-06,54
2018-07,62
2018-08,67
2018-09,85
2018-10,69
2018-11,79
2018-12,70
2019-01,75
2019-02,88
2019-03,86
2019-04,82
2019-05,79
2019-06,52
2019-07,43
2019-08,65
2019-09,83
2019-10,70
2019-11,70
2019-12,54
2020-01,70
2020-02,60
2020-03,60
2020-04,86
2020-05,61
2020-06,62
2020-07,52
2020-08,51
2020-09,81
2020-10,74
2020-11,56
2020-12,53
2021-01,47
2021-02,55
2021-03,47
2021-04,56
2021-05,52
2021-06,52
2021-07,38
2021-08,32
2021-09,66
2021-10,41
2021-11,40
2021-12,41
2022-01,47
2022-02,85
2022-03,79
2022-04,64
2022-05,44
