Category: All categories

Month,gdp report: (United States)
2004-01,28
2004-02,55
2004-03,23
2004-04,27
2004-05,24
2004-06,25
2004-07,52
2004-08,31
2004-09,15
2004-10,30
2004-11,31
2004-12,14
2005-01,12
2005-02,32
2005-03,33
2005-04,37
2005-05,28
2005-06,17
2005-07,23
2005-08,16
2005-09,10
2005-10,14
2005-11,28
2005-12,27
2006-01,12
2006-02,12
2006-03,4
2006-04,50
2006-05,25
2006-06,11
2006-07,11
2006-08,31
2006-09,31
2006-10,28
2006-11,16
2006-12,25
2007-01,27
2007-02,20
2007-03,11
2007-04,19
2007-05,12
2007-06,10
2007-07,27
2007-08,23
2007-09,37
2007-10,2
2007-11,25
2007-12,13
2008-01,27
2008-02,14
2008-03,27
2008-04,34
2008-05,15
2008-06,20
2008-07,21
2008-08,19
2008-09,25
2008-10,47
2008-11,34
2008-12,12
2009-01,28
2009-02,33
2009-03,22
2009-04,29
2009-05,20
2009-06,10
2009-07,29
2009-08,19
2009-09,26
2009-10,34
2009-11,26
2009-12,15
2010-01,31
2010-02,25
2010-03,17
2010-04,21
2010-05,19
2010-06,18
2010-07,25
2010-08,19
2010-09,21
2010-10,17
2010-11,24
2010-12,7
2011-01,14
2011-02,21
2011-03,15
2011-04,17
2011-05,10
2011-06,8
2011-07,22
2011-08,20
2011-09,17
2011-10,19
2011-11,15
2011-12,10
2012-01,19
2012-02,14
2012-03,16
2012-04,22
2012-05,13
2012-06,16
2012-07,28
2012-08,9
2012-09,17
2012-10,25
2012-11,20
2012-12,12
2013-01,15
2013-02,19
2013-03,10
2013-04,21
2013-05,15
2013-06,15
2013-07,17
2013-08,13
2013-09,12
2013-10,21
2013-11,15
2013-12,16
2014-01,15
2014-02,13
2014-03,19
2014-04,22
2014-05,19
2014-06,18
2014-07,23
2014-08,12
2014-09,14
2014-10,20
2014-11,21
2014-12,18
2015-01,14
2015-02,21
2015-03,17
2015-04,25
2015-05,16
2015-06,17
2015-07,12
2015-08,13
2015-09,17
2015-10,22
2015-11,16
2015-12,15
2016-01,21
2016-02,16
2016-03,13
2016-04,17
2016-05,11
2016-06,18
2016-07,18
2016-08,14
2016-09,14
2016-10,27
2016-11,12
2016-12,15
2017-01,13
2017-02,16
2017-03,16
2017-04,17
2017-05,15
2017-06,14
2017-07,11
2017-08,14
2017-09,16
2017-10,12
2017-11,16
2017-12,11
2018-01,21
2018-02,17
2018-03,15
2018-04,14
2018-05,12
2018-06,22
2018-07,62
2018-08,17
2018-09,15
2018-10,36
2018-11,19
2018-12,13
2019-01,16
2019-02,25
2019-03,21
2019-04,25
2019-05,14
2019-06,12
2019-07,22
2019-08,10
2019-09,16
2019-10,14
2019-11,11
2019-12,8
2020-01,12
2020-02,15
2020-03,17
2020-04,42
2020-05,17
2020-06,14
2020-07,100
2020-08,18
2020-09,11
2020-10,55
2020-11,10
2020-12,11
2021-01,8
2021-02,15
2021-03,9
2021-04,12
2021-05,10
2021-06,7
2021-07,10
2021-08,6
2021-09,14
2021-10,17
2021-11,12
2021-12,9
2022-01,13
2022-02,12
2022-03,16
2022-04,26
2022-05,21
