Category: All categories

Month,gdp: (United States)
2004-01,60
2004-02,70
2004-03,60
2004-04,73
2004-05,60
2004-06,45
2004-07,39
2004-08,47
2004-09,59
2004-10,68
2004-11,68
2004-12,53
2005-01,51
2005-02,66
2005-03,59
2005-04,63
2005-05,59
2005-06,42
2005-07,36
2005-08,33
2005-09,56
2005-10,53
2005-11,59
2005-12,50
2006-01,48
2006-02,52
2006-03,56
2006-04,64
2006-05,48
2006-06,34
2006-07,35
2006-08,30
2006-09,50
2006-10,50
2006-11,50
2006-12,42
2007-01,46
2007-02,55
2007-03,49
2007-04,54
2007-05,45
2007-06,34
2007-07,29
2007-08,29
2007-09,47
2007-10,55
2007-11,57
2007-12,44
2008-01,54
2008-02,62
2008-03,53
2008-04,63
2008-05,50
2008-06,36
2008-07,36
2008-08,36
2008-09,66
2008-10,80
2008-11,70
2008-12,51
2009-01,55
2009-02,84
2009-03,68
2009-04,71
2009-05,55
2009-06,40
2009-07,41
2009-08,41
2009-09,57
2009-10,68
2009-11,68
2009-12,55
2010-01,60
2010-02,76
2010-03,67
2010-04,68
2010-05,65
2010-06,46
2010-07,41
2010-08,43
2010-09,55
2010-10,62
2010-11,61
2010-12,48
2011-01,49
2011-02,65
2011-03,58
2011-04,62
2011-05,50
2011-06,44
2011-07,50
2011-08,52
2011-09,57
2011-10,68
2011-11,63
2011-12,45
2012-01,48
2012-02,63
2012-03,52
2012-04,58
2012-05,50
2012-06,39
2012-07,37
2012-08,38
2012-09,66
2012-10,77
2012-11,73
2012-12,44
2013-01,48
2013-02,69
2013-03,59
2013-04,68
2013-05,47
2013-06,32
2013-07,32
2013-08,30
2013-09,52
2013-10,78
2013-11,55
2013-12,44
2014-01,45
2014-02,76
2014-03,65
2014-04,71
2014-05,63
2014-06,42
2014-07,40
2014-08,34
2014-09,64
2014-10,74
2014-11,69
2014-12,62
2015-01,56
2015-02,80
2015-03,71
2015-04,79
2015-05,65
2015-06,46
2015-07,51
2015-08,42
2015-09,76
2015-10,90
2015-11,75
2015-12,60
2016-01,66
2016-02,90
2016-03,75
2016-04,81
2016-05,67
2016-06,47
2016-07,38
2016-08,38
2016-09,70
2016-10,100
2016-11,81
2016-12,69
2017-01,70
2017-02,93
2017-03,84
2017-04,81
2017-05,72
2017-06,45
2017-07,43
2017-08,40
2017-09,74
2017-10,87
2017-11,76
2017-12,71
2018-01,73
2018-02,87
2018-03,78
2018-04,81
2018-05,71
2018-06,57
2018-07,97
2018-08,62
2018-09,85
2018-10,92
2018-11,79
2018-12,66
2019-01,70
2019-02,91
2019-03,85
2019-04,84
2019-05,71
2019-06,45
2019-07,48
2019-08,51
2019-09,73
2019-10,82
2019-11,74
2019-12,63
2020-01,66
2020-02,91
2020-03,82
2020-04,91
2020-05,69
2020-06,51
2020-07,65
2020-08,55
2020-09,77
2020-10,100
2020-11,65
2020-12,49
2021-01,54
2021-02,66
2021-03,65
2021-04,60
2021-05,51
2021-06,34
2021-07,33
2021-08,31
2021-09,56
2021-10,66
2021-11,55
2021-12,48
2022-01,52
2022-02,82
2022-03,72
2022-04,72
2022-05,57
