Category: All categories

Month,german gdp: (United States)
2004-01,83
2004-02,0
2004-03,52
2004-04,79
2004-05,36
2004-06,37
2004-07,76
2004-08,0
2004-09,0
2004-10,34
2004-11,35
2004-12,61
2005-01,0
2005-02,0
2005-03,0
2005-04,55
2005-05,50
2005-06,0
2005-07,100
2005-08,0
2005-09,22
2005-10,41
2005-11,21
2005-12,40
2006-01,35
2006-02,36
2006-03,33
2006-04,68
2006-05,32
2006-06,0
2006-07,0
2006-08,46
2006-09,15
2006-10,28
2006-11,14
2006-12,42
2007-01,0
2007-02,13
2007-03,23
2007-04,24
2007-05,11
2007-06,11
2007-07,22
2007-08,21
2007-09,41
2007-10,28
2007-11,19
2007-12,19
2008-01,51
2008-02,18
2008-03,0
2008-04,59
2008-05,51
2008-06,27
2008-07,17
2008-08,26
2008-09,31
2008-10,51
2008-11,24
2008-12,39
2009-01,22
2009-02,23
2009-03,28
2009-04,43
2009-05,29
2009-06,22
2009-07,14
2009-08,14
2009-09,41
2009-10,20
2009-11,53
2009-12,33
2010-01,12
2010-02,19
2010-03,12
2010-04,31
2010-05,98
2010-06,60
2010-07,0
2010-08,38
2010-09,37
2010-10,26
2010-11,30
2010-12,15
2011-01,32
2011-02,43
2011-03,39
2011-04,48
2011-05,39
2011-06,24
2011-07,32
2011-08,85
2011-09,37
2011-10,52
2011-11,74
2011-12,30
2012-01,60
2012-02,38
2012-03,28
2012-04,26
2012-05,43
2012-06,42
2012-07,28
2012-08,36
2012-09,45
2012-10,48
2012-11,43
2012-12,39
2013-01,29
2013-02,33
2013-03,35
2013-04,49
2013-05,34
2013-06,19
2013-07,32
2013-08,26
2013-09,41
2013-10,52
2013-11,51
2013-12,38
2014-01,31
2014-02,70
2014-03,36
2014-04,27
2014-05,34
2014-06,26
2014-07,34
2014-08,25
2014-09,46
2014-10,56
2014-11,60
2014-12,48
2015-01,36
2015-02,52
2015-03,52
2015-04,62
2015-05,39
2015-06,52
2015-07,48
2015-08,30
2015-09,64
2015-10,40
2015-11,68
2015-12,46
2016-01,50
2016-02,63
2016-03,53
2016-04,36
2016-05,34
2016-06,29
2016-07,21
2016-08,25
2016-09,48
2016-10,41
2016-11,43
2016-12,37
2017-01,55
2017-02,43
2017-03,84
2017-04,56
2017-05,63
2017-06,34
2017-07,27
2017-08,35
2017-09,47
2017-10,36
2017-11,39
2017-12,31
2018-01,40
2018-02,50
2018-03,58
2018-04,64
2018-05,63
2018-06,39
2018-07,58
2018-08,46
2018-09,42
2018-10,39
2018-11,57
2018-12,36
2019-01,37
2019-02,62
2019-03,52
2019-04,53
2019-05,35
2019-06,22
2019-07,21
2019-08,58
2019-09,55
2019-10,27
2019-11,38
2019-12,44
2020-01,35
2020-02,64
2020-03,39
2020-04,36
2020-05,40
2020-06,33
2020-07,42
2020-08,37
2020-09,42
2020-10,23
2020-11,28
2020-12,20
2021-01,34
2021-02,51
2021-03,24
2021-04,34
2021-05,39
2021-06,28
2021-07,27
2021-08,17
2021-09,25
2021-10,35
2021-11,26
2021-12,39
2022-01,35
2022-02,62
2022-03,58
2022-04,44
2022-05,17
