Category: All categories

Month,global gdp: (United States)
2004-01,56
2004-02,41
2004-03,52
2004-04,66
2004-05,72
2004-06,12
2004-07,13
2004-08,23
2004-09,66
2004-10,34
2004-11,46
2004-12,10
2005-01,27
2005-02,57
2005-03,80
2005-04,74
2005-05,41
2005-06,34
2005-07,33
2005-08,8
2005-09,58
2005-10,27
2005-11,56
2005-12,53
2006-01,65
2006-02,61
2006-03,43
2006-04,63
2006-05,48
2006-06,40
2006-07,44
2006-08,25
2006-09,46
2006-10,37
2006-11,46
2006-12,32
2007-01,49
2007-02,47
2007-03,39
2007-04,51
2007-05,50
2007-06,31
2007-07,32
2007-08,24
2007-09,35
2007-10,56
2007-11,68
2007-12,55
2008-01,37
2008-02,59
2008-03,40
2008-04,56
2008-05,51
2008-06,36
2008-07,52
2008-08,40
2008-09,73
2008-10,77
2008-11,75
2008-12,63
2009-01,37
2009-02,54
2009-03,61
2009-04,76
2009-05,63
2009-06,32
2009-07,46
2009-08,40
2009-09,50
2009-10,61
2009-11,56
2009-12,52
2010-01,50
2010-02,90
2010-03,63
2010-04,45
2010-05,57
2010-06,45
2010-07,37
2010-08,41
2010-09,55
2010-10,29
2010-11,66
2010-12,40
2011-01,55
2011-02,53
2011-03,62
2011-04,35
2011-05,42
2011-06,28
2011-07,39
2011-08,44
2011-09,62
2011-10,38
2011-11,59
2011-12,42
2012-01,54
2012-02,68
2012-03,46
2012-04,62
2012-05,44
2012-06,45
2012-07,41
2012-08,33
2012-09,52
2012-10,61
2012-11,52
2012-12,44
2013-01,38
2013-02,53
2013-03,45
2013-04,42
2013-05,41
2013-06,37
2013-07,42
2013-08,33
2013-09,41
2013-10,56
2013-11,54
2013-12,41
2014-01,37
2014-02,58
2014-03,49
2014-04,61
2014-05,60
2014-06,42
2014-07,34
2014-08,28
2014-09,51
2014-10,55
2014-11,37
2014-12,40
2015-01,56
2015-02,55
2015-03,50
2015-04,61
2015-05,57
2015-06,61
2015-07,41
2015-08,37
2015-09,60
2015-10,71
2015-11,73
2015-12,39
2016-01,52
2016-02,56
2016-03,61
2016-04,71
2016-05,54
2016-06,54
2016-07,37
2016-08,31
2016-09,48
2016-10,55
2016-11,48
2016-12,48
2017-01,65
2017-02,66
2017-03,60
2017-04,55
2017-05,44
2017-06,36
2017-07,37
2017-08,36
2017-09,61
2017-10,67
2017-11,55
2017-12,56
2018-01,60
2018-02,60
2018-03,48
2018-04,57
2018-05,60
2018-06,43
2018-07,45
2018-08,51
2018-09,55
2018-10,61
2018-11,48
2018-12,51
2019-01,64
2019-02,59
2019-03,72
2019-04,53
2019-05,57
2019-06,45
2019-07,39
2019-08,39
2019-09,69
2019-10,56
2019-11,57
2019-12,45
2020-01,59
2020-02,72
2020-03,87
2020-04,79
2020-05,69
2020-06,46
2020-07,46
2020-08,49
2020-09,62
2020-10,57
2020-11,44
2020-12,100
2021-01,43
2021-02,51
2021-03,58
2021-04,52
2021-05,52
2021-06,38
2021-07,25
2021-08,41
2021-09,58
2021-10,65
2021-11,56
2021-12,49
2022-01,41
2022-02,60
2022-03,72
2022-04,63
2022-05,60
