Category: All categories

Month,gross domestic product definition: (United States)
2004-01,61
2004-02,45
2004-03,0
2004-04,15
2004-05,0
2004-06,14
2004-07,28
2004-08,13
2004-09,60
2004-10,49
2004-11,63
2004-12,45
2005-01,30
2005-02,21
2005-03,44
2005-04,0
2005-05,18
2005-06,37
2005-07,0
2005-08,26
2005-09,0
2005-10,23
2005-11,23
2005-12,22
2006-01,13
2006-02,47
2006-03,36
2006-04,19
2006-05,12
2006-06,0
2006-07,6
2006-08,0
2006-09,34
2006-10,0
2006-11,36
2006-12,5
2007-01,9
2007-02,14
2007-03,13
2007-04,0
2007-05,12
2007-06,4
2007-07,4
2007-08,4
2007-09,4
2007-10,14
2007-11,24
2007-12,18
2008-01,31
2008-02,23
2008-03,6
2008-04,40
2008-05,6
2008-06,3
2008-07,9
2008-08,6
2008-09,29
2008-10,37
2008-11,38
2008-12,14
2009-01,49
2009-02,43
2009-03,41
2009-04,47
2009-05,24
2009-06,40
2009-07,24
2009-08,10
2009-09,53
2009-10,62
2009-11,42
2009-12,31
2010-01,50
2010-02,40
2010-03,59
2010-04,52
2010-05,43
2010-06,45
2010-07,25
2010-08,24
2010-09,76
2010-10,41
2010-11,40
2010-12,33
2011-01,32
2011-02,56
2011-03,66
2011-04,48
2011-05,48
2011-06,38
2011-07,26
2011-08,21
2011-09,39
2011-10,55
2011-11,67
2011-12,39
2012-01,36
2012-02,23
2012-03,32
2012-04,43
2012-05,44
2012-06,23
2012-07,10
2012-08,22
2012-09,52
2012-10,87
2012-11,50
2012-12,33
2013-01,43
2013-02,79
2013-03,49
2013-04,52
2013-05,49
2013-06,18
2013-07,19
2013-08,29
2013-09,79
2013-10,82
2013-11,48
2013-12,51
2014-01,59
2014-02,61
2014-03,48
2014-04,55
2014-05,48
2014-06,11
2014-07,14
2014-08,26
2014-09,77
2014-10,76
2014-11,56
2014-12,38
2015-01,57
2015-02,53
2015-03,51
2015-04,81
2015-05,56
2015-06,32
2015-07,21
2015-08,30
2015-09,100
2015-10,79
2015-11,67
2015-12,60
2016-01,54
2016-02,70
2016-03,36
2016-04,55
2016-05,74
2016-06,23
2016-07,18
2016-08,33
2016-09,82
2016-10,71
2016-11,59
2016-12,40
2017-01,65
2017-02,77
2017-03,70
2017-04,55
2017-05,59
2017-06,18
2017-07,12
2017-08,43
2017-09,88
2017-10,89
2017-11,77
2017-12,54
2018-01,76
2018-02,75
2018-03,78
2018-04,78
2018-05,62
2018-06,16
2018-07,20
2018-08,30
2018-09,84
2018-10,68
2018-11,58
2018-12,59
2019-01,55
2019-02,60
2019-03,62
2019-04,69
2019-05,69
2019-06,20
2019-07,10
2019-08,34
2019-09,69
2019-10,71
2019-11,48
2019-12,40
2020-01,58
2020-02,73
2020-03,49
2020-04,59
2020-05,33
2020-06,10
2020-07,13
2020-08,18
2020-09,76
2020-10,65
2020-11,30
2020-12,36
2021-01,32
2021-02,37
2021-03,38
2021-04,39
2021-05,27
2021-06,16
2021-07,5
2021-08,23
2021-09,37
2021-10,30
2021-11,25
2021-12,18
2022-01,28
2022-02,34
2022-03,39
2022-04,26
2022-05,35
