Category: All categories

Month,gross national income: (United States)
2004-01,54
2004-02,26
2004-03,17
2004-04,51
2004-05,70
2004-06,24
2004-07,12
2004-08,33
2004-09,32
2004-10,43
2004-11,44
2004-12,30
2005-01,43
2005-02,100
2005-03,15
2005-04,18
2005-05,56
2005-06,33
2005-07,16
2005-08,15
2005-09,35
2005-10,46
2005-11,13
2005-12,64
2006-01,28
2006-02,53
2006-03,31
2006-04,66
2006-05,21
2006-06,27
2006-07,37
2006-08,15
2006-09,20
2006-10,54
2006-11,58
2006-12,18
2007-01,27
2007-02,21
2007-03,22
2007-04,23
2007-05,28
2007-06,15
2007-07,14
2007-08,7
2007-09,30
2007-10,57
2007-11,36
2007-12,12
2008-01,25
2008-02,37
2008-03,33
2008-04,38
2008-05,25
2008-06,23
2008-07,22
2008-08,14
2008-09,48
2008-10,49
2008-11,33
2008-12,25
2009-01,19
2009-02,30
2009-03,29
2009-04,39
2009-05,47
2009-06,16
2009-07,9
2009-08,9
2009-09,44
2009-10,33
2009-11,30
2009-12,23
2010-01,24
2010-02,33
2010-03,43
2010-04,43
2010-05,25
2010-06,18
2010-07,10
2010-08,15
2010-09,36
2010-10,42
2010-11,42
2010-12,20
2011-01,22
2011-02,47
2011-03,41
2011-04,54
2011-05,15
2011-06,17
2011-07,28
2011-08,16
2011-09,38
2011-10,47
2011-11,32
2011-12,28
2012-01,27
2012-02,38
2012-03,35
2012-04,34
2012-05,24
2012-06,24
2012-07,18
2012-08,10
2012-09,44
2012-10,44
2012-11,34
2012-12,23
2013-01,17
2013-02,34
2013-03,32
2013-04,44
2013-05,28
2013-06,14
2013-07,11
2013-08,18
2013-09,28
2013-10,32
2013-11,32
2013-12,28
2014-01,27
2014-02,35
2014-03,40
2014-04,39
2014-05,30
2014-06,20
2014-07,16
2014-08,23
2014-09,49
2014-10,38
2014-11,19
2014-12,26
2015-01,29
2015-02,44
2015-03,33
2015-04,43
2015-05,26
2015-06,14
2015-07,16
2015-08,13
2015-09,48
2015-10,41
2015-11,23
2015-12,30
2016-01,24
2016-02,55
2016-03,31
2016-04,41
2016-05,31
2016-06,11
2016-07,15
2016-08,10
2016-09,34
2016-10,36
2016-11,38
2016-12,30
2017-01,40
2017-02,54
2017-03,51
2017-04,37
2017-05,34
2017-06,14
2017-07,17
2017-08,18
2017-09,39
2017-10,48
2017-11,38
2017-12,27
2018-01,25
2018-02,53
2018-03,38
2018-04,30
2018-05,28
2018-06,19
2018-07,13
2018-08,12
2018-09,40
2018-10,46
2018-11,33
2018-12,23
2019-01,25
2019-02,59
2019-03,50
2019-04,36
2019-05,24
2019-06,20
2019-07,12
2019-08,16
2019-09,47
2019-10,37
2019-11,24
2019-12,26
2020-01,29
2020-02,47
2020-03,38
2020-04,39
2020-05,29
2020-06,19
2020-07,20
2020-08,11
2020-09,57
2020-10,40
2020-11,32
2020-12,19
2021-01,21
2021-02,38
2021-03,45
2021-04,40
2021-05,27
2021-06,18
2021-07,12
2021-08,13
2021-09,40
2021-10,38
2021-11,31
2021-12,22
2022-01,20
2022-02,24
2022-03,26
2022-04,33
2022-05,31
