Category: All categories

Month,gross national product: (United States)
2004-01,44
2004-02,100
2004-03,67
2004-04,53
2004-05,67
2004-06,60
2004-07,36
2004-08,42
2004-09,79
2004-10,54
2004-11,56
2004-12,58
2005-01,60
2005-02,58
2005-03,47
2005-04,48
2005-05,44
2005-06,31
2005-07,27
2005-08,21
2005-09,41
2005-10,44
2005-11,39
2005-12,32
2006-01,37
2006-02,42
2006-03,45
2006-04,45
2006-05,42
2006-06,14
2006-07,19
2006-08,14
2006-09,26
2006-10,31
2006-11,32
2006-12,22
2007-01,24
2007-02,30
2007-03,21
2007-04,22
2007-05,28
2007-06,15
2007-07,9
2007-08,12
2007-09,27
2007-10,26
2007-11,29
2007-12,20
2008-01,26
2008-02,29
2008-03,26
2008-04,32
2008-05,27
2008-06,10
2008-07,15
2008-08,11
2008-09,33
2008-10,37
2008-11,27
2008-12,20
2009-01,20
2009-02,26
2009-03,27
2009-04,19
2009-05,22
2009-06,13
2009-07,9
2009-08,11
2009-09,23
2009-10,23
2009-11,23
2009-12,19
2010-01,21
2010-02,30
2010-03,24
2010-04,23
2010-05,18
2010-06,10
2010-07,11
2010-08,9
2010-09,16
2010-10,18
2010-11,18
2010-12,10
2011-01,14
2011-02,16
2011-03,16
2011-04,19
2011-05,15
2011-06,12
2011-07,7
2011-08,9
2011-09,19
2011-10,19
2011-11,17
2011-12,11
2012-01,15
2012-02,19
2012-03,18
2012-04,17
2012-05,10
2012-06,9
2012-07,8
2012-08,9
2012-09,20
2012-10,20
2012-11,17
2012-12,12
2013-01,11
2013-02,18
2013-03,16
2013-04,20
2013-05,13
2013-06,7
2013-07,6
2013-08,8
2013-09,18
2013-10,19
2013-11,14
2013-12,13
2014-01,12
2014-02,17
2014-03,15
2014-04,18
2014-05,15
2014-06,9
2014-07,4
2014-08,8
2014-09,18
2014-10,17
2014-11,17
2014-12,14
2015-01,10
2015-02,16
2015-03,12
2015-04,16
2015-05,13
2015-06,7
2015-07,5
2015-08,6
2015-09,20
2015-10,19
2015-11,15
2015-12,12
2016-01,12
2016-02,18
2016-03,14
2016-04,12
2016-05,14
2016-06,4
2016-07,4
2016-08,7
2016-09,17
2016-10,17
2016-11,12
2016-12,12
2017-01,14
2017-02,17
2017-03,18
2017-04,14
2017-05,11
2017-06,5
2017-07,5
2017-08,7
2017-09,16
2017-10,16
2017-11,13
2017-12,12
2018-01,13
2018-02,19
2018-03,13
2018-04,13
2018-05,11
2018-06,5
2018-07,6
2018-08,6
2018-09,15
2018-10,16
2018-11,12
2018-12,10
2019-01,11
2019-02,15
2019-03,13
2019-04,12
2019-05,10
2019-06,4
2019-07,3
2019-08,6
2019-09,14
2019-10,13
2019-11,9
2019-12,10
2020-01,12
2020-02,15
2020-03,10
2020-04,12
2020-05,7
2020-06,5
2020-07,4
2020-08,6
2020-09,13
2020-10,13
2020-11,8
2020-12,6
2021-01,7
2021-02,9
2021-03,12
2021-04,11
2021-05,8
2021-06,4
2021-07,4
2021-08,5
2021-09,10
2021-10,9
2021-11,6
2021-12,6
2022-01,7
2022-02,7
2022-03,7
2022-04,8
2022-05,6
