Category: All categories

Month,highest gdp country: (United States)
2004-01,31
2004-02,0
2004-03,0
2004-04,30
2004-05,27
2004-06,83
2004-07,29
2004-08,0
2004-09,0
2004-10,0
2004-11,26
2004-12,0
2005-01,20
2005-02,0
2005-03,18
2005-04,0
2005-05,0
2005-06,0
2005-07,19
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,27
2006-02,14
2006-03,24
2006-04,0
2006-05,0
2006-06,13
2006-07,0
2006-08,23
2006-09,0
2006-10,31
2006-11,10
2006-12,0
2007-01,27
2007-02,39
2007-03,0
2007-04,0
2007-05,8
2007-06,9
2007-07,8
2007-08,15
2007-09,70
2007-10,21
2007-11,21
2007-12,7
2008-01,25
2008-02,7
2008-03,6
2008-04,19
2008-05,13
2008-06,14
2008-07,6
2008-08,38
2008-09,18
2008-10,11
2008-11,18
2008-12,24
2009-01,22
2009-02,35
2009-03,37
2009-04,37
2009-05,22
2009-06,5
2009-07,16
2009-08,26
2009-09,36
2009-10,29
2009-11,5
2009-12,15
2010-01,37
2010-02,34
2010-03,35
2010-04,14
2010-05,29
2010-06,19
2010-07,21
2010-08,16
2010-09,43
2010-10,34
2010-11,26
2010-12,22
2011-01,32
2011-02,25
2011-03,37
2011-04,27
2011-05,23
2011-06,18
2011-07,20
2011-08,22
2011-09,65
2011-10,38
2011-11,34
2011-12,35
2012-01,26
2012-02,42
2012-03,34
2012-04,33
2012-05,32
2012-06,19
2012-07,36
2012-08,26
2012-09,49
2012-10,25
2012-11,53
2012-12,39
2013-01,29
2013-02,43
2013-03,47
2013-04,32
2013-05,46
2013-06,14
2013-07,14
2013-08,25
2013-09,51
2013-10,42
2013-11,36
2013-12,22
2014-01,30
2014-02,40
2014-03,49
2014-04,36
2014-05,38
2014-06,39
2014-07,17
2014-08,22
2014-09,32
2014-10,54
2014-11,48
2014-12,53
2015-01,48
2015-02,52
2015-03,62
2015-04,41
2015-05,57
2015-06,32
2015-07,23
2015-08,26
2015-09,41
2015-10,56
2015-11,39
2015-12,45
2016-01,46
2016-02,60
2016-03,44
2016-04,53
2016-05,53
2016-06,27
2016-07,36
2016-08,34
2016-09,41
2016-10,61
2016-11,66
2016-12,64
2017-01,58
2017-02,66
2017-03,72
2017-04,62
2017-05,68
2017-06,37
2017-07,30
2017-08,39
2017-09,81
2017-10,55
2017-11,67
2017-12,62
2018-01,72
2018-02,71
2018-03,65
2018-04,62
2018-05,55
2018-06,37
2018-07,35
2018-08,50
2018-09,69
2018-10,78
2018-11,67
2018-12,64
2019-01,63
2019-02,88
2019-03,84
2019-04,75
2019-05,60
2019-06,30
2019-07,29
2019-08,43
2019-09,65
2019-10,82
2019-11,76
2019-12,77
2020-01,75
2020-02,95
2020-03,81
2020-04,89
2020-05,79
2020-06,56
2020-07,55
2020-08,57
2020-09,68
2020-10,75
2020-11,75
2020-12,59
2021-01,58
2021-02,80
2021-03,65
2021-04,67
2021-05,64
2021-06,38
2021-07,31
2021-08,35
2021-09,59
2021-10,66
2021-11,62
2021-12,49
2022-01,67
2022-02,100
2022-03,78
2022-04,74
2022-05,69
