Category: All categories

Month,highest gdp: (United States)
2004-01,39
2004-02,19
2004-03,12
2004-04,28
2004-05,25
2004-06,26
2004-07,9
2004-08,8
2004-09,23
2004-10,31
2004-11,16
2004-12,21
2005-01,13
2005-02,33
2005-03,22
2005-04,19
2005-05,23
2005-06,6
2005-07,12
2005-08,0
2005-09,15
2005-10,24
2005-11,10
2005-12,28
2006-01,16
2006-02,30
2006-03,15
2006-04,12
2006-05,4
2006-06,20
2006-07,8
2006-08,11
2006-09,18
2006-10,36
2006-11,26
2006-12,16
2007-01,31
2007-02,30
2007-03,16
2007-04,3
2007-05,8
2007-06,5
2007-07,13
2007-08,24
2007-09,34
2007-10,22
2007-11,24
2007-12,18
2008-01,26
2008-02,12
2008-03,18
2008-04,27
2008-05,28
2008-06,8
2008-07,14
2008-08,32
2008-09,29
2008-10,20
2008-11,15
2008-12,24
2009-01,29
2009-02,32
2009-03,31
2009-04,46
2009-05,32
2009-06,7
2009-07,13
2009-08,20
2009-09,37
2009-10,30
2009-11,28
2009-12,24
2010-01,35
2010-02,40
2010-03,41
2010-04,25
2010-05,28
2010-06,24
2010-07,17
2010-08,27
2010-09,38
2010-10,38
2010-11,41
2010-12,30
2011-01,32
2011-02,32
2011-03,36
2011-04,39
2011-05,27
2011-06,21
2011-07,34
2011-08,28
2011-09,51
2011-10,35
2011-11,29
2011-12,33
2012-01,27
2012-02,38
2012-03,37
2012-04,35
2012-05,33
2012-06,22
2012-07,27
2012-08,28
2012-09,53
2012-10,39
2012-11,44
2012-12,33
2013-01,34
2013-02,44
2013-03,47
2013-04,48
2013-05,40
2013-06,26
2013-07,20
2013-08,21
2013-09,53
2013-10,51
2013-11,36
2013-12,32
2014-01,37
2014-02,45
2014-03,39
2014-04,42
2014-05,38
2014-06,29
2014-07,25
2014-08,23
2014-09,41
2014-10,44
2014-11,47
2014-12,46
2015-01,43
2015-02,55
2015-03,54
2015-04,49
2015-05,41
2015-06,31
2015-07,31
2015-08,33
2015-09,39
2015-10,59
2015-11,61
2015-12,49
2016-01,48
2016-02,66
2016-03,43
2016-04,50
2016-05,48
2016-06,36
2016-07,36
2016-08,34
2016-09,44
2016-10,59
2016-11,55
2016-12,60
2017-01,57
2017-02,70
2017-03,74
2017-04,67
2017-05,70
2017-06,47
2017-07,37
2017-08,42
2017-09,76
2017-10,67
2017-11,68
2017-12,63
2018-01,71
2018-02,68
2018-03,79
2018-04,73
2018-05,63
2018-06,49
2018-07,100
2018-08,79
2018-09,82
2018-10,87
2018-11,85
2018-12,76
2019-01,75
2019-02,93
2019-03,81
2019-04,86
2019-05,70
2019-06,44
2019-07,50
2019-08,48
2019-09,71
2019-10,83
2019-11,80
2019-12,70
2020-01,70
2020-02,91
2020-03,77
2020-04,82
2020-05,71
2020-06,64
2020-07,56
2020-08,54
2020-09,76
2020-10,90
2020-11,75
2020-12,56
2021-01,56
2021-02,67
2021-03,62
2021-04,69
2021-05,53
2021-06,49
2021-07,43
2021-08,35
2021-09,57
2021-10,71
2021-11,66
2021-12,58
2022-01,57
2022-02,96
2022-03,72
2022-04,72
2022-05,62
