Category: All categories

Month,india gdp: (United States)
2004-01,100
2004-02,58
2004-03,73
2004-04,67
2004-05,61
2004-06,26
2004-07,38
2004-08,53
2004-09,19
2004-10,52
2004-11,49
2004-12,48
2005-01,30
2005-02,56
2005-03,48
2005-04,59
2005-05,42
2005-06,22
2005-07,39
2005-08,20
2005-09,34
2005-10,61
2005-11,30
2005-12,42
2006-01,45
2006-02,46
2006-03,48
2006-04,46
2006-05,45
2006-06,31
2006-07,35
2006-08,30
2006-09,34
2006-10,39
2006-11,49
2006-12,22
2007-01,40
2007-02,49
2007-03,23
2007-04,51
2007-05,55
2007-06,34
2007-07,41
2007-08,15
2007-09,37
2007-10,54
2007-11,38
2007-12,40
2008-01,31
2008-02,46
2008-03,42
2008-04,55
2008-05,29
2008-06,22
2008-07,29
2008-08,25
2008-09,49
2008-10,47
2008-11,31
2008-12,36
2009-01,38
2009-02,42
2009-03,36
2009-04,45
2009-05,33
2009-06,27
2009-07,24
2009-08,28
2009-09,36
2009-10,29
2009-11,45
2009-12,44
2010-01,40
2010-02,47
2010-03,52
2010-04,53
2010-05,42
2010-06,31
2010-07,26
2010-08,49
2010-09,42
2010-10,43
2010-11,50
2010-12,30
2011-01,30
2011-02,37
2011-03,33
2011-04,45
2011-05,29
2011-06,30
2011-07,31
2011-08,29
2011-09,33
2011-10,31
2011-11,27
2011-12,19
2012-01,28
2012-02,27
2012-03,31
2012-04,36
2012-05,33
2012-06,28
2012-07,18
2012-08,23
2012-09,29
2012-10,30
2012-11,25
2012-12,26
2013-01,28
2013-02,30
2013-03,31
2013-04,29
2013-05,25
2013-06,22
2013-07,15
2013-08,22
2013-09,27
2013-10,29
2013-11,24
2013-12,25
2014-01,22
2014-02,29
2014-03,29
2014-04,33
2014-05,39
2014-06,27
2014-07,20
2014-08,24
2014-09,34
2014-10,40
2014-11,35
2014-12,29
2015-01,41
2015-02,51
2015-03,43
2015-04,43
2015-05,40
2015-06,39
2015-07,31
2015-08,28
2015-09,43
2015-10,37
2015-11,46
2015-12,39
2016-01,31
2016-02,39
2016-03,30
2016-04,44
2016-05,33
2016-06,37
2016-07,26
2016-08,23
2016-09,37
2016-10,45
2016-11,49
2016-12,46
2017-01,42
2017-02,43
2017-03,47
2017-04,52
2017-05,51
2017-06,41
2017-07,42
2017-08,35
2017-09,62
2017-10,42
2017-11,47
2017-12,42
2018-01,47
2018-02,50
2018-03,48
2018-04,56
2018-05,55
2018-06,35
2018-07,43
2018-08,46
2018-09,54
2018-10,50
2018-11,45
2018-12,39
2019-01,46
2019-02,54
2019-03,55
2019-04,49
2019-05,52
2019-06,34
2019-07,36
2019-08,52
2019-09,66
2019-10,55
2019-11,49
2019-12,53
2020-01,55
2020-02,50
2020-03,48
2020-04,54
2020-05,53
2020-06,44
2020-07,36
2020-08,45
2020-09,67
2020-10,41
2020-11,36
2020-12,37
2021-01,36
2021-02,42
2021-03,41
2021-04,43
2021-05,42
2021-06,35
2021-07,27
2021-08,29
2021-09,40
2021-10,34
2021-11,36
2021-12,34
2022-01,40
2022-02,47
2022-03,51
2022-04,52
2022-05,45
