Category: All categories

Month,largest economies in the world: (United States)
2004-01,19
2004-02,38
2004-03,0
2004-04,0
2004-05,17
2004-06,0
2004-07,36
2004-08,48
2004-09,31
2004-10,16
2004-11,48
2004-12,14
2005-01,63
2005-02,13
2005-03,23
2005-04,13
2005-05,23
2005-06,36
2005-07,23
2005-08,11
2005-09,20
2005-10,0
2005-11,0
2005-12,19
2006-01,17
2006-02,0
2006-03,15
2006-04,24
2006-05,30
2006-06,0
2006-07,23
2006-08,7
2006-09,7
2006-10,20
2006-11,0
2006-12,39
2007-01,11
2007-02,30
2007-03,11
2007-04,22
2007-05,25
2007-06,21
2007-07,20
2007-08,10
2007-09,24
2007-10,4
2007-11,17
2007-12,32
2008-01,12
2008-02,8
2008-03,16
2008-04,24
2008-05,12
2008-06,8
2008-07,8
2008-08,12
2008-09,11
2008-10,30
2008-11,4
2008-12,15
2009-01,35
2009-02,18
2009-03,13
2009-04,27
2009-05,7
2009-06,21
2009-07,0
2009-08,20
2009-09,22
2009-10,27
2009-11,19
2009-12,9
2010-01,12
2010-02,18
2010-03,22
2010-04,17
2010-05,21
2010-06,15
2010-07,23
2010-08,35
2010-09,19
2010-10,14
2010-11,46
2010-12,28
2011-01,25
2011-02,39
2011-03,58
2011-04,26
2011-05,11
2011-06,24
2011-07,31
2011-08,22
2011-09,39
2011-10,38
2011-11,34
2011-12,29
2012-01,33
2012-02,10
2012-03,18
2012-04,31
2012-05,18
2012-06,12
2012-07,8
2012-08,29
2012-09,32
2012-10,22
2012-11,44
2012-12,15
2013-01,14
2013-02,18
2013-03,20
2013-04,21
2013-05,12
2013-06,30
2013-07,23
2013-08,22
2013-09,23
2013-10,20
2013-11,34
2013-12,18
2014-01,16
2014-02,15
2014-03,36
2014-04,29
2014-05,26
2014-06,9
2014-07,25
2014-08,22
2014-09,33
2014-10,26
2014-11,15
2014-12,38
2015-01,20
2015-02,25
2015-03,18
2015-04,17
2015-05,19
2015-06,29
2015-07,26
2015-08,27
2015-09,23
2015-10,33
2015-11,22
2015-12,20
2016-01,10
2016-02,29
2016-03,21
2016-04,24
2016-05,22
2016-06,100
2016-07,41
2016-08,19
2016-09,23
2016-10,28
2016-11,44
2016-12,37
2017-01,44
2017-02,50
2017-03,33
2017-04,35
2017-05,47
2017-06,47
2017-07,27
2017-08,36
2017-09,34
2017-10,27
2017-11,39
2017-12,46
2018-01,41
2018-02,31
2018-03,59
2018-04,61
2018-05,97
2018-06,78
2018-07,53
2018-08,54
2018-09,48
2018-10,44
2018-11,59
2018-12,49
2019-01,49
2019-02,50
2019-03,39
2019-04,38
2019-05,51
2019-06,54
2019-07,41
2019-08,78
2019-09,37
2019-10,43
2019-11,34
2019-12,37
2020-01,45
2020-02,73
2020-03,57
2020-04,93
2020-05,61
2020-06,31
2020-07,36
2020-08,45
2020-09,41
2020-10,44
2020-11,47
2020-12,49
2021-01,37
2021-02,38
2021-03,38
2021-04,36
2021-05,52
2021-06,47
2021-07,33
2021-08,25
2021-09,41
2021-10,32
2021-11,22
2021-12,36
2022-01,31
2022-02,62
2022-03,65
2022-04,37
2022-05,43
