Category: All categories

Month,nominal gdp: (United States)
2004-01,13
2004-02,16
2004-03,12
2004-04,13
2004-05,23
2004-06,12
2004-07,6
2004-08,11
2004-09,29
2004-10,27
2004-11,17
2004-12,12
2005-01,26
2005-02,29
2005-03,31
2005-04,24
2005-05,10
2005-06,6
2005-07,12
2005-08,9
2005-09,30
2005-10,16
2005-11,27
2005-12,19
2006-01,18
2006-02,26
2006-03,30
2006-04,22
2006-05,19
2006-06,10
2006-07,19
2006-08,17
2006-09,33
2006-10,32
2006-11,19
2006-12,29
2007-01,31
2007-02,37
2007-03,14
2007-04,22
2007-05,28
2007-06,11
2007-07,13
2007-08,12
2007-09,31
2007-10,48
2007-11,25
2007-12,19
2008-01,22
2008-02,48
2008-03,35
2008-04,40
2008-05,15
2008-06,17
2008-07,21
2008-08,11
2008-09,39
2008-10,41
2008-11,26
2008-12,22
2009-01,31
2009-02,60
2009-03,38
2009-04,34
2009-05,24
2009-06,18
2009-07,17
2009-08,12
2009-09,37
2009-10,56
2009-11,36
2009-12,25
2010-01,29
2010-02,73
2010-03,56
2010-04,55
2010-05,31
2010-06,25
2010-07,17
2010-08,14
2010-09,31
2010-10,51
2010-11,36
2010-12,34
2011-01,24
2011-02,58
2011-03,41
2011-04,47
2011-05,32
2011-06,27
2011-07,20
2011-08,18
2011-09,52
2011-10,68
2011-11,48
2011-12,39
2012-01,38
2012-02,72
2012-03,52
2012-04,49
2012-05,34
2012-06,27
2012-07,20
2012-08,14
2012-09,61
2012-10,71
2012-11,49
2012-12,33
2013-01,33
2013-02,80
2013-03,56
2013-04,55
2013-05,43
2013-06,21
2013-07,23
2013-08,18
2013-09,48
2013-10,74
2013-11,53
2013-12,39
2014-01,38
2014-02,77
2014-03,60
2014-04,52
2014-05,41
2014-06,24
2014-07,19
2014-08,14
2014-09,59
2014-10,80
2014-11,56
2014-12,41
2015-01,37
2015-02,80
2015-03,66
2015-04,55
2015-05,41
2015-06,29
2015-07,28
2015-08,17
2015-09,71
2015-10,95
2015-11,56
2015-12,40
2016-01,35
2016-02,94
2016-03,66
2016-04,54
2016-05,44
2016-06,30
2016-07,20
2016-08,13
2016-09,60
2016-10,76
2016-11,58
2016-12,45
2017-01,42
2017-02,100
2017-03,71
2017-04,61
2017-05,49
2017-06,26
2017-07,23
2017-08,16
2017-09,64
2017-10,88
2017-11,65
2017-12,40
2018-01,41
2018-02,89
2018-03,66
2018-04,62
2018-05,49
2018-06,27
2018-07,27
2018-08,18
2018-09,67
2018-10,82
2018-11,53
2018-12,35
2019-01,41
2019-02,95
2019-03,67
2019-04,65
2019-05,45
2019-06,29
2019-07,25
2019-08,16
2019-09,64
2019-10,77
2019-11,50
2019-12,42
2020-01,42
2020-02,90
2020-03,58
2020-04,66
2020-05,51
2020-06,39
2020-07,31
2020-08,18
2020-09,82
2020-10,91
2020-11,55
2020-12,33
2021-01,35
2021-02,81
2021-03,66
2021-04,54
2021-05,37
2021-06,21
2021-07,23
2021-08,16
2021-09,64
2021-10,71
2021-11,52
2021-12,38
2022-01,36
2022-02,83
2022-03,54
2022-04,53
2022-05,47
