Category: All categories

Month,per capita income by country: (United States)
2004-01,0
2004-02,56
2004-03,36
2004-04,82
2004-05,50
2004-06,0
2004-07,0
2004-08,24
2004-09,45
2004-10,0
2004-11,24
2004-12,0
2005-01,37
2005-02,39
2005-03,33
2005-04,38
2005-05,17
2005-06,35
2005-07,17
2005-08,0
2005-09,0
2005-10,0
2005-11,14
2005-12,27
2006-01,0
2006-02,13
2006-03,34
2006-04,0
2006-05,11
2006-06,12
2006-07,23
2006-08,10
2006-09,21
2006-10,10
2006-11,0
2006-12,29
2007-01,34
2007-02,18
2007-03,16
2007-04,24
2007-05,30
2007-06,16
2007-07,7
2007-08,28
2007-09,7
2007-10,13
2007-11,38
2007-12,13
2008-01,6
2008-02,12
2008-03,6
2008-04,12
2008-05,12
2008-06,19
2008-07,6
2008-08,6
2008-09,11
2008-10,40
2008-11,33
2008-12,27
2009-01,25
2009-02,32
2009-03,10
2009-04,44
2009-05,70
2009-06,20
2009-07,25
2009-08,39
2009-09,52
2009-10,49
2009-11,92
2009-12,50
2010-01,94
2010-02,88
2010-03,100
2010-04,54
2010-05,52
2010-06,44
2010-07,27
2010-08,66
2010-09,70
2010-10,62
2010-11,74
2010-12,57
2011-01,71
2011-02,74
2011-03,62
2011-04,91
2011-05,75
2011-06,51
2011-07,47
2011-08,47
2011-09,49
2011-10,37
2011-11,35
2011-12,49
2012-01,57
2012-02,53
2012-03,39
2012-04,41
2012-05,31
2012-06,43
2012-07,37
2012-08,36
2012-09,48
2012-10,22
2012-11,37
2012-12,41
2013-01,37
2013-02,45
2013-03,37
2013-04,33
2013-05,45
2013-06,14
2013-07,33
2013-08,29
2013-09,41
2013-10,31
2013-11,46
2013-12,40
2014-01,35
2014-02,64
2014-03,54
2014-04,37
2014-05,33
2014-06,29
2014-07,34
2014-08,31
2014-09,43
2014-10,44
2014-11,49
2014-12,41
2015-01,36
2015-02,38
2015-03,35
2015-04,30
2015-05,26
2015-06,29
2015-07,22
2015-08,20
2015-09,42
2015-10,35
2015-11,35
2015-12,34
2016-01,20
2016-02,26
2016-03,42
2016-04,36
2016-05,28
2016-06,21
2016-07,9
2016-08,13
2016-09,26
2016-10,28
2016-11,16
2016-12,20
2017-01,33
2017-02,27
2017-03,23
2017-04,28
2017-05,25
2017-06,11
2017-07,14
2017-08,16
2017-09,22
2017-10,25
2017-11,32
2017-12,19
2018-01,18
2018-02,37
2018-03,38
2018-04,40
2018-05,14
2018-06,14
2018-07,23
2018-08,16
2018-09,35
2018-10,33
2018-11,15
2018-12,24
2019-01,22
2019-02,27
2019-03,23
2019-04,30
2019-05,22
2019-06,15
2019-07,24
2019-08,27
2019-09,18
2019-10,32
2019-11,32
2019-12,25
2020-01,22
2020-02,22
2020-03,30
2020-04,24
2020-05,25
2020-06,15
2020-07,39
2020-08,17
2020-09,30
2020-10,40
2020-11,16
2020-12,20
2021-01,26
2021-02,30
2021-03,48
2021-04,34
2021-05,27
2021-06,21
2021-07,22
2021-08,22
2021-09,23
2021-10,34
2021-11,21
2021-12,11
2022-01,19
2022-02,17
2022-03,43
2022-04,26
2022-05,23
