Category: All categories

Month,per capita income: (United States)
2004-01,65
2004-02,70
2004-03,100
2004-04,76
2004-05,76
2004-06,47
2004-07,61
2004-08,47
2004-09,78
2004-10,83
2004-11,86
2004-12,53
2005-01,76
2005-02,72
2005-03,61
2005-04,64
2005-05,71
2005-06,59
2005-07,46
2005-08,39
2005-09,55
2005-10,64
2005-11,69
2005-12,60
2006-01,53
2006-02,57
2006-03,61
2006-04,75
2006-05,60
2006-06,41
2006-07,43
2006-08,37
2006-09,42
2006-10,50
2006-11,53
2006-12,41
2007-01,46
2007-02,37
2007-03,42
2007-04,45
2007-05,51
2007-06,28
2007-07,31
2007-08,28
2007-09,45
2007-10,54
2007-11,47
2007-12,41
2008-01,42
2008-02,45
2008-03,45
2008-04,47
2008-05,38
2008-06,30
2008-07,25
2008-08,28
2008-09,35
2008-10,48
2008-11,46
2008-12,38
2009-01,37
2009-02,43
2009-03,40
2009-04,46
2009-05,41
2009-06,25
2009-07,24
2009-08,26
2009-09,40
2009-10,41
2009-11,47
2009-12,33
2010-01,38
2010-02,43
2010-03,46
2010-04,45
2010-05,37
2010-06,24
2010-07,25
2010-08,30
2010-09,32
2010-10,39
2010-11,35
2010-12,32
2011-01,35
2011-02,42
2011-03,40
2011-04,40
2011-05,31
2011-06,27
2011-07,22
2011-08,23
2011-09,36
2011-10,34
2011-11,32
2011-12,28
2012-01,31
2012-02,37
2012-03,31
2012-04,31
2012-05,31
2012-06,23
2012-07,23
2012-08,22
2012-09,35
2012-10,34
2012-11,37
2012-12,26
2013-01,27
2013-02,34
2013-03,32
2013-04,34
2013-05,30
2013-06,20
2013-07,22
2013-08,20
2013-09,30
2013-10,32
2013-11,34
2013-12,28
2014-01,27
2014-02,37
2014-03,31
2014-04,35
2014-05,30
2014-06,24
2014-07,24
2014-08,23
2014-09,34
2014-10,34
2014-11,32
2014-12,28
2015-01,27
2015-02,35
2015-03,32
2015-04,37
2015-05,30
2015-06,21
2015-07,23
2015-08,19
2015-09,33
2015-10,32
2015-11,30
2015-12,26
2016-01,26
2016-02,32
2016-03,35
2016-04,35
2016-05,29
2016-06,20
2016-07,18
2016-08,22
2016-09,28
2016-10,27
2016-11,28
2016-12,26
2017-01,27
2017-02,31
2017-03,31
2017-04,30
2017-05,26
2017-06,20
2017-07,19
2017-08,18
2017-09,27
2017-10,28
2017-11,27
2017-12,22
2018-01,27
2018-02,32
2018-03,27
2018-04,29
2018-05,25
2018-06,21
2018-07,20
2018-08,19
2018-09,29
2018-10,27
2018-11,25
2018-12,25
2019-01,25
2019-02,27
2019-03,26
2019-04,27
2019-05,25
2019-06,18
2019-07,20
2019-08,19
2019-09,27
2019-10,27
2019-11,23
2019-12,22
2020-01,23
2020-02,26
2020-03,22
2020-04,23
2020-05,22
2020-06,16
2020-07,18
2020-08,16
2020-09,23
2020-10,23
2020-11,17
2020-12,15
2021-01,15
2021-02,18
2021-03,19
2021-04,19
2021-05,17
2021-06,13
2021-07,14
2021-08,14
2021-09,19
2021-10,20
2021-11,17
2021-12,15
2022-01,16
2022-02,22
2022-03,22
2022-04,19
2022-05,18
