Category: All categories

Month,potential gdp: (United States)
2004-01,13
2004-02,0
2004-03,16
2004-04,24
2004-05,11
2004-06,23
2004-07,12
2004-08,0
2004-09,20
2004-10,0
2004-11,32
2004-12,9
2005-01,8
2005-02,26
2005-03,22
2005-04,34
2005-05,8
2005-06,16
2005-07,0
2005-08,7
2005-09,20
2005-10,13
2005-11,6
2005-12,0
2006-01,5
2006-02,6
2006-03,10
2006-04,16
2006-05,20
2006-06,0
2006-07,5
2006-08,0
2006-09,23
2006-10,26
2006-11,4
2006-12,17
2007-01,15
2007-02,16
2007-03,7
2007-04,29
2007-05,7
2007-06,4
2007-07,10
2007-08,3
2007-09,10
2007-10,17
2007-11,14
2007-12,18
2008-01,18
2008-02,13
2008-03,8
2008-04,15
2008-05,18
2008-06,3
2008-07,13
2008-08,5
2008-09,7
2008-10,27
2008-11,44
2008-12,12
2009-01,7
2009-02,17
2009-03,39
2009-04,33
2009-05,11
2009-06,5
2009-07,9
2009-08,9
2009-09,11
2009-10,40
2009-11,37
2009-12,24
2010-01,15
2010-02,37
2010-03,31
2010-04,39
2010-05,23
2010-06,18
2010-07,14
2010-08,5
2010-09,5
2010-10,25
2010-11,36
2010-12,20
2011-01,6
2011-02,33
2011-03,31
2011-04,32
2011-05,20
2011-06,19
2011-07,12
2011-08,3
2011-09,18
2011-10,37
2011-11,58
2011-12,27
2012-01,12
2012-02,25
2012-03,30
2012-04,52
2012-05,24
2012-06,16
2012-07,14
2012-08,9
2012-09,18
2012-10,49
2012-11,47
2012-12,25
2013-01,15
2013-02,29
2013-03,42
2013-04,55
2013-05,33
2013-06,22
2013-07,21
2013-08,8
2013-09,16
2013-10,51
2013-11,57
2013-12,42
2014-01,10
2014-02,33
2014-03,52
2014-04,56
2014-05,41
2014-06,15
2014-07,17
2014-08,7
2014-09,19
2014-10,53
2014-11,68
2014-12,39
2015-01,15
2015-02,36
2015-03,57
2015-04,58
2015-05,35
2015-06,25
2015-07,29
2015-08,11
2015-09,25
2015-10,72
2015-11,64
2015-12,47
2016-01,21
2016-02,46
2016-03,63
2016-04,74
2016-05,41
2016-06,22
2016-07,15
2016-08,13
2016-09,25
2016-10,54
2016-11,61
2016-12,48
2017-01,17
2017-02,42
2017-03,72
2017-04,85
2017-05,42
2017-06,33
2017-07,27
2017-08,11
2017-09,16
2017-10,73
2017-11,88
2017-12,46
2018-01,21
2018-02,47
2018-03,53
2018-04,80
2018-05,36
2018-06,31
2018-07,28
2018-08,12
2018-09,27
2018-10,80
2018-11,80
2018-12,43
2019-01,12
2019-02,43
2019-03,63
2019-04,85
2019-05,34
2019-06,15
2019-07,24
2019-08,13
2019-09,24
2019-10,54
2019-11,79
2019-12,39
2020-01,17
2020-02,51
2020-03,60
2020-04,89
2020-05,53
2020-06,30
2020-07,43
2020-08,12
2020-09,32
2020-10,79
2020-11,100
2020-12,54
2021-01,15
2021-02,39
2021-03,78
2021-04,92
2021-05,45
2021-06,21
2021-07,23
2021-08,16
2021-09,25
2021-10,58
2021-11,80
2021-12,57
2022-01,13
2022-02,40
2022-03,57
2022-04,71
2022-05,51
