Category: All categories

Month,real gdp definition: (United States)
2004-01,0
2004-02,21
2004-03,27
2004-04,0
2004-05,38
2004-06,0
2004-07,0
2004-08,0
2004-09,17
2004-10,52
2004-11,0
2004-12,0
2005-01,14
2005-02,44
2005-03,13
2005-04,14
2005-05,0
2005-06,26
2005-07,0
2005-08,0
2005-09,23
2005-10,32
2005-11,11
2005-12,0
2006-01,0
2006-02,9
2006-03,17
2006-04,18
2006-05,17
2006-06,18
2006-07,0
2006-08,0
2006-09,32
2006-10,36
2006-11,14
2006-12,7
2007-01,13
2007-02,20
2007-03,6
2007-04,18
2007-05,11
2007-06,6
2007-07,0
2007-08,5
2007-09,32
2007-10,10
2007-11,24
2007-12,10
2008-01,9
2008-02,23
2008-03,9
2008-04,13
2008-05,0
2008-06,14
2008-07,4
2008-08,4
2008-09,16
2008-10,38
2008-11,25
2008-12,16
2009-01,19
2009-02,40
2009-03,29
2009-04,22
2009-05,8
2009-06,11
2009-07,4
2009-08,4
2009-09,25
2009-10,41
2009-11,35
2009-12,34
2010-01,19
2010-02,43
2010-03,58
2010-04,25
2010-05,37
2010-06,10
2010-07,15
2010-08,0
2010-09,19
2010-10,21
2010-11,49
2010-12,21
2011-01,10
2011-02,28
2011-03,27
2011-04,43
2011-05,24
2011-06,8
2011-07,12
2011-08,11
2011-09,30
2011-10,58
2011-11,45
2011-12,38
2012-01,13
2012-02,37
2012-03,42
2012-04,26
2012-05,42
2012-06,20
2012-07,16
2012-08,14
2012-09,41
2012-10,57
2012-11,44
2012-12,24
2013-01,21
2013-02,43
2013-03,49
2013-04,41
2013-05,45
2013-06,19
2013-07,16
2013-08,14
2013-09,35
2013-10,66
2013-11,39
2013-12,58
2014-01,28
2014-02,61
2014-03,45
2014-04,45
2014-05,45
2014-06,24
2014-07,22
2014-08,10
2014-09,44
2014-10,60
2014-11,53
2014-12,34
2015-01,29
2015-02,40
2015-03,80
2015-04,61
2015-05,56
2015-06,31
2015-07,20
2015-08,12
2015-09,54
2015-10,100
2015-11,80
2015-12,61
2016-01,50
2016-02,72
2016-03,61
2016-04,73
2016-05,63
2016-06,40
2016-07,23
2016-08,14
2016-09,44
2016-10,83
2016-11,59
2016-12,53
2017-01,47
2017-02,76
2017-03,83
2017-04,78
2017-05,51
2017-06,22
2017-07,19
2017-08,11
2017-09,40
2017-10,85
2017-11,86
2017-12,49
2018-01,33
2018-02,58
2018-03,60
2018-04,69
2018-05,64
2018-06,16
2018-07,14
2018-08,5
2018-09,46
2018-10,74
2018-11,65
2018-12,40
2019-01,32
2019-02,76
2019-03,68
2019-04,66
2019-05,41
2019-06,18
2019-07,9
2019-08,14
2019-09,57
2019-10,66
2019-11,55
2019-12,52
2020-01,31
2020-02,62
2020-03,57
2020-04,55
2020-05,51
2020-06,29
2020-07,19
2020-08,11
2020-09,46
2020-10,79
2020-11,39
2020-12,33
2021-01,28
2021-02,57
2021-03,59
2021-04,63
2021-05,34
2021-06,11
2021-07,7
2021-08,8
2021-09,37
2021-10,53
2021-11,43
2021-12,41
2022-01,17
2022-02,48
2022-03,48
2022-04,47
2022-05,38
