Category: All categories

Month,real gdp per capita: (United States)
2004-01,0
2004-02,24
2004-03,31
2004-04,36
2004-05,11
2004-06,0
2004-07,11
2004-08,0
2004-09,20
2004-10,20
2004-11,31
2004-12,28
2005-01,32
2005-02,17
2005-03,14
2005-04,17
2005-05,7
2005-06,8
2005-07,8
2005-08,0
2005-09,20
2005-10,43
2005-11,19
2005-12,0
2006-01,16
2006-02,38
2006-03,24
2006-04,10
2006-05,19
2006-06,5
2006-07,15
2006-08,0
2006-09,28
2006-10,13
2006-11,8
2006-12,13
2007-01,11
2007-02,31
2007-03,4
2007-04,18
2007-05,6
2007-06,21
2007-07,13
2007-08,9
2007-09,16
2007-10,22
2007-11,34
2007-12,23
2008-01,13
2008-02,45
2008-03,21
2008-04,35
2008-05,18
2008-06,14
2008-07,16
2008-08,8
2008-09,31
2008-10,37
2008-11,31
2008-12,26
2009-01,13
2009-02,37
2009-03,28
2009-04,34
2009-05,11
2009-06,15
2009-07,26
2009-08,11
2009-09,35
2009-10,51
2009-11,34
2009-12,20
2010-01,26
2010-02,41
2010-03,40
2010-04,27
2010-05,33
2010-06,12
2010-07,8
2010-08,13
2010-09,12
2010-10,56
2010-11,13
2010-12,25
2011-01,21
2011-02,39
2011-03,41
2011-04,32
2011-05,23
2011-06,13
2011-07,14
2011-08,11
2011-09,35
2011-10,61
2011-11,35
2011-12,25
2012-01,23
2012-02,66
2012-03,45
2012-04,35
2012-05,29
2012-06,22
2012-07,22
2012-08,12
2012-09,41
2012-10,58
2012-11,35
2012-12,23
2013-01,31
2013-02,60
2013-03,50
2013-04,50
2013-05,29
2013-06,23
2013-07,23
2013-08,9
2013-09,37
2013-10,77
2013-11,41
2013-12,24
2014-01,24
2014-02,68
2014-03,53
2014-04,53
2014-05,38
2014-06,21
2014-07,22
2014-08,13
2014-09,50
2014-10,73
2014-11,43
2014-12,28
2015-01,22
2015-02,74
2015-03,62
2015-04,56
2015-05,36
2015-06,24
2015-07,13
2015-08,6
2015-09,45
2015-10,83
2015-11,64
2015-12,40
2016-01,32
2016-02,91
2016-03,75
2016-04,57
2016-05,38
2016-06,29
2016-07,23
2016-08,10
2016-09,42
2016-10,79
2016-11,49
2016-12,38
2017-01,33
2017-02,76
2017-03,72
2017-04,63
2017-05,39
2017-06,36
2017-07,27
2017-08,6
2017-09,42
2017-10,96
2017-11,68
2017-12,34
2018-01,34
2018-02,78
2018-03,65
2018-04,70
2018-05,40
2018-06,26
2018-07,29
2018-08,11
2018-09,48
2018-10,100
2018-11,46
2018-12,35
2019-01,30
2019-02,76
2019-03,70
2019-04,80
2019-05,47
2019-06,27
2019-07,27
2019-08,12
2019-09,58
2019-10,92
2019-11,58
2019-12,39
2020-01,32
2020-02,76
2020-03,69
2020-04,73
2020-05,98
2020-06,34
2020-07,26
2020-08,16
2020-09,65
2020-10,96
2020-11,49
2020-12,36
2021-01,30
2021-02,72
2021-03,91
2021-04,56
2021-05,39
2021-06,20
2021-07,27
2021-08,8
2021-09,51
2021-10,77
2021-11,54
2021-12,28
2022-01,23
2022-02,79
2022-03,61
2022-04,55
2022-05,38
