Category: All categories

Month,real gdp: (United States)
2004-01,26
2004-02,50
2004-03,37
2004-04,45
2004-05,23
2004-06,19
2004-07,15
2004-08,25
2004-09,43
2004-10,28
2004-11,34
2004-12,27
2005-01,29
2005-02,44
2005-03,43
2005-04,37
2005-05,30
2005-06,22
2005-07,17
2005-08,11
2005-09,39
2005-10,50
2005-11,35
2005-12,28
2006-01,26
2006-02,39
2006-03,28
2006-04,32
2006-05,32
2006-06,22
2006-07,22
2006-08,15
2006-09,36
2006-10,38
2006-11,23
2006-12,31
2007-01,24
2007-02,44
2007-03,23
2007-04,31
2007-05,27
2007-06,21
2007-07,14
2007-08,15
2007-09,36
2007-10,40
2007-11,41
2007-12,31
2008-01,27
2008-02,57
2008-03,43
2008-04,55
2008-05,29
2008-06,28
2008-07,20
2008-08,17
2008-09,44
2008-10,62
2008-11,44
2008-12,32
2009-01,31
2009-02,62
2009-03,53
2009-04,50
2009-05,35
2009-06,22
2009-07,27
2009-08,17
2009-09,38
2009-10,57
2009-11,51
2009-12,37
2010-01,28
2010-02,65
2010-03,59
2010-04,50
2010-05,36
2010-06,24
2010-07,20
2010-08,19
2010-09,30
2010-10,58
2010-11,46
2010-12,34
2011-01,25
2011-02,56
2011-03,52
2011-04,54
2011-05,36
2011-06,25
2011-07,22
2011-08,20
2011-09,43
2011-10,70
2011-11,57
2011-12,38
2012-01,32
2012-02,68
2012-03,61
2012-04,57
2012-05,47
2012-06,32
2012-07,24
2012-08,17
2012-09,51
2012-10,74
2012-11,56
2012-12,35
2013-01,37
2013-02,72
2013-03,57
2013-04,67
2013-05,42
2013-06,27
2013-07,25
2013-08,17
2013-09,46
2013-10,81
2013-11,60
2013-12,45
2014-01,35
2014-02,80
2014-03,66
2014-04,67
2014-05,48
2014-06,27
2014-07,25
2014-08,17
2014-09,56
2014-10,79
2014-11,63
2014-12,42
2015-01,35
2015-02,72
2015-03,72
2015-04,67
2015-05,51
2015-06,30
2015-07,29
2015-08,15
2015-09,57
2015-10,99
2015-11,72
2015-12,53
2016-01,39
2016-02,91
2016-03,80
2016-04,79
2016-05,48
2016-06,34
2016-07,27
2016-08,17
2016-09,55
2016-10,85
2016-11,71
2016-12,53
2017-01,39
2017-02,92
2017-03,87
2017-04,83
2017-05,54
2017-06,34
2017-07,28
2017-08,15
2017-09,54
2017-10,100
2017-11,82
2017-12,47
2018-01,42
2018-02,90
2018-03,72
2018-04,81
2018-05,52
2018-06,31
2018-07,36
2018-08,17
2018-09,64
2018-10,91
2018-11,70
2018-12,48
2019-01,36
2019-02,84
2019-03,78
2019-04,78
2019-05,49
2019-06,31
2019-07,31
2019-08,17
2019-09,59
2019-10,81
2019-11,69
2019-12,45
2020-01,35
2020-02,84
2020-03,69
2020-04,81
2020-05,64
2020-06,38
2020-07,35
2020-08,20
2020-09,68
2020-10,100
2020-11,68
2020-12,42
2021-01,32
2021-02,72
2021-03,82
2021-04,69
2021-05,46
2021-06,23
2021-07,24
2021-08,17
2021-09,57
2021-10,78
2021-11,69
2021-12,46
2022-01,32
2022-02,74
2022-03,63
2022-04,68
2022-05,53
