Category: All categories

Month,russian gdp: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,18
2004-05,0
2004-06,0
2004-07,8
2004-08,0
2004-09,15
2004-10,15
2004-11,31
2004-12,0
2005-01,6
2005-02,6
2005-03,16
2005-04,24
2005-05,5
2005-06,6
2005-07,11
2005-08,5
2005-09,10
2005-10,0
2005-11,0
2005-12,13
2006-01,0
2006-02,4
2006-03,7
2006-04,11
2006-05,7
2006-06,4
2006-07,7
2006-08,7
2006-09,3
2006-10,3
2006-11,6
2006-12,3
2007-01,8
2007-02,17
2007-03,5
2007-04,16
2007-05,5
2007-06,5
2007-07,2
2007-08,2
2007-09,7
2007-10,8
2007-11,10
2007-12,13
2008-01,4
2008-02,12
2008-03,6
2008-04,4
2008-05,9
2008-06,6
2008-07,6
2008-08,13
2008-09,16
2008-10,21
2008-11,4
2008-12,2
2009-01,2
2009-02,7
2009-03,8
2009-04,11
2009-05,5
2009-06,3
2009-07,3
2009-08,2
2009-09,14
2009-10,12
2009-11,21
2009-12,9
2010-01,6
2010-02,13
2010-03,13
2010-04,11
2010-05,3
2010-06,1
2010-07,1
2010-08,2
2010-09,11
2010-10,11
2010-11,10
2010-12,3
2011-01,3
2011-02,13
2011-03,10
2011-04,10
2011-05,4
2011-06,4
2011-07,4
2011-08,7
2011-09,7
2011-10,3
2011-11,9
2011-12,2
2012-01,6
2012-02,6
2012-03,7
2012-04,8
2012-05,11
2012-06,4
2012-07,5
2012-08,3
2012-09,9
2012-10,9
2012-11,7
2012-12,4
2013-01,5
2013-02,11
2013-03,10
2013-04,9
2013-05,7
2013-06,3
2013-07,6
2013-08,9
2013-09,7
2013-10,8
2013-11,5
2013-12,7
2014-01,8
2014-02,15
2014-03,36
2014-04,19
2014-05,18
2014-06,8
2014-07,13
2014-08,12
2014-09,10
2014-10,12
2014-11,14
2014-12,26
2015-01,10
2015-02,14
2015-03,8
2015-04,13
2015-05,9
2015-06,8
2015-07,10
2015-08,6
2015-09,18
2015-10,18
2015-11,18
2015-12,14
2016-01,20
2016-02,13
2016-03,11
2016-04,12
2016-05,8
2016-06,6
2016-07,8
2016-08,10
2016-09,13
2016-10,14
2016-11,13
2016-12,23
2017-01,14
2017-02,19
2017-03,16
2017-04,20
2017-05,14
2017-06,15
2017-07,14
2017-08,11
2017-09,10
2017-10,14
2017-11,14
2017-12,9
2018-01,10
2018-02,17
2018-03,17
2018-04,23
2018-05,18
2018-06,11
2018-07,31
2018-08,14
2018-09,12
2018-10,11
2018-11,12
2018-12,11
2019-01,12
2019-02,15
2019-03,10
2019-04,11
2019-05,14
2019-06,10
2019-07,6
2019-08,5
2019-09,8
2019-10,11
2019-11,11
2019-12,12
2020-01,16
2020-02,13
2020-03,9
2020-04,8
2020-05,9
2020-06,6
2020-07,9
2020-08,7
2020-09,13
2020-10,12
2020-11,8
2020-12,8
2021-01,7
2021-02,9
2021-03,9
2021-04,7
2021-05,6
2021-06,10
2021-07,6
2021-08,2
2021-09,8
2021-10,6
2021-11,9
2021-12,9
2022-01,17
2022-02,100
2022-03,84
2022-04,24
2022-05,22
