Category: All categories

Month,top 10 economies in the world: (United States)
2004-01,0
2004-02,72
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,67
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,100
2005-03,0
2005-04,0
2005-05,44
2005-06,0
2005-07,44
2005-08,0
2005-09,39
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,27
2006-10,0
2006-11,0
2006-12,0
2007-01,22
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,41
2007-07,0
2007-08,0
2007-09,0
2007-10,16
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,15
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,13
2008-11,14
2008-12,0
2009-01,0
2009-02,27
2009-03,12
2009-04,0
2009-05,13
2009-06,13
2009-07,0
2009-08,0
2009-09,24
2009-10,12
2009-11,0
2009-12,12
2010-01,22
2010-02,23
2010-03,31
2010-04,11
2010-05,11
2010-06,0
2010-07,20
2010-08,19
2010-09,0
2010-10,9
2010-11,26
2010-12,35
2011-01,7
2011-02,52
2011-03,47
2011-04,0
2011-05,7
2011-06,14
2011-07,14
2011-08,19
2011-09,0
2011-10,6
2011-11,18
2011-12,12
2012-01,11
2012-02,11
2012-03,0
2012-04,17
2012-05,16
2012-06,28
2012-07,5
2012-08,10
2012-09,5
2012-10,10
2012-11,35
2012-12,10
2013-01,27
2013-02,5
2013-03,9
2013-04,13
2013-05,4
2013-06,14
2013-07,9
2013-08,4
2013-09,13
2013-10,17
2013-11,35
2013-12,17
2014-01,21
2014-02,13
2014-03,20
2014-04,8
2014-05,23
2014-06,15
2014-07,24
2014-08,24
2014-09,14
2014-10,9
2014-11,9
2014-12,9
2015-01,4
2015-02,9
2015-03,9
2015-04,14
2015-05,24
2015-06,15
2015-07,19
2015-08,14
2015-09,14
2015-10,26
2015-11,0
2015-12,13
2016-01,15
2016-02,11
2016-03,4
2016-04,15
2016-05,4
2016-06,15
2016-07,15
2016-08,15
2016-09,0
2016-10,18
2016-11,28
2016-12,31
2017-01,26
2017-02,21
2017-03,22
2017-04,26
2017-05,20
2017-06,36
2017-07,11
2017-08,27
2017-09,23
2017-10,23
2017-11,23
2017-12,26
2018-01,28
2018-02,37
2018-03,19
2018-04,39
2018-05,38
2018-06,67
2018-07,30
2018-08,26
2018-09,46
2018-10,35
2018-11,52
2018-12,29
2019-01,40
2019-02,40
2019-03,34
2019-04,19
2019-05,29
2019-06,40
2019-07,16
2019-08,25
2019-09,27
2019-10,6
2019-11,27
2019-12,24
2020-01,22
2020-02,35
2020-03,44
2020-04,78
2020-05,23
2020-06,22
2020-07,27
2020-08,13
2020-09,24
2020-10,36
2020-11,24
2020-12,30
2021-01,17
2021-02,27
2021-03,15
2021-04,22
2021-05,22
2021-06,38
2021-07,19
2021-08,13
2021-09,26
2021-10,19
2021-11,10
2021-12,20
2022-01,26
2022-02,40
2022-03,42
2022-04,13
2022-05,26
