Category: All categories

Month,top economies in the world: (United States)
2004-01,0
2004-02,45
2004-03,0
2004-04,0
2004-05,40
2004-06,0
2004-07,42
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,31
2005-03,0
2005-04,30
2005-05,0
2005-06,0
2005-07,55
2005-08,0
2005-09,48
2005-10,0
2005-11,0
2005-12,0
2006-01,19
2006-02,0
2006-03,53
2006-04,0
2006-05,0
2006-06,19
2006-07,0
2006-08,0
2006-09,17
2006-10,0
2006-11,0
2006-12,0
2007-01,40
2007-02,0
2007-03,0
2007-04,0
2007-05,12
2007-06,13
2007-07,12
2007-08,23
2007-09,11
2007-10,20
2007-11,10
2007-12,21
2008-01,19
2008-02,10
2008-03,0
2008-04,28
2008-05,9
2008-06,0
2008-07,0
2008-08,9
2008-09,9
2008-10,16
2008-11,9
2008-12,0
2009-01,8
2009-02,26
2009-03,15
2009-04,8
2009-05,8
2009-06,24
2009-07,0
2009-08,8
2009-09,30
2009-10,7
2009-11,29
2009-12,29
2010-01,27
2010-02,35
2010-03,29
2010-04,31
2010-05,38
2010-06,26
2010-07,39
2010-08,64
2010-09,26
2010-10,31
2010-11,80
2010-12,69
2011-01,27
2011-02,55
2011-03,95
2011-04,35
2011-05,31
2011-06,51
2011-07,35
2011-08,36
2011-09,32
2011-10,40
2011-11,52
2011-12,23
2012-01,28
2012-02,25
2012-03,30
2012-04,44
2012-05,33
2012-06,38
2012-07,21
2012-08,52
2012-09,41
2012-10,41
2012-11,99
2012-12,38
2013-01,44
2013-02,16
2013-03,37
2013-04,36
2013-05,23
2013-06,37
2013-07,28
2013-08,30
2013-09,35
2013-10,41
2013-11,47
2013-12,54
2014-01,38
2014-02,36
2014-03,28
2014-04,29
2014-05,38
2014-06,26
2014-07,39
2014-08,33
2014-09,37
2014-10,27
2014-11,19
2014-12,29
2015-01,25
2015-02,38
2015-03,39
2015-04,39
2015-05,49
2015-06,39
2015-07,33
2015-08,32
2015-09,31
2015-10,35
2015-11,41
2015-12,33
2016-01,29
2016-02,39
2016-03,14
2016-04,37
2016-05,25
2016-06,39
2016-07,40
2016-08,31
2016-09,25
2016-10,27
2016-11,69
2016-12,51
2017-01,50
2017-02,44
2017-03,48
2017-04,55
2017-05,56
2017-06,31
2017-07,21
2017-08,51
2017-09,34
2017-10,41
2017-11,41
2017-12,40
2018-01,34
2018-02,49
2018-03,61
2018-04,73
2018-05,86
2018-06,85
2018-07,46
2018-08,45
2018-09,51
2018-10,63
2018-11,67
2018-12,49
2019-01,70
2019-02,50
2019-03,52
2019-04,43
2019-05,51
2019-06,59
2019-07,32
2019-08,50
2019-09,61
2019-10,33
2019-11,50
2019-12,43
2020-01,46
2020-02,71
2020-03,62
2020-04,100
2020-05,58
2020-06,42
2020-07,57
2020-08,46
2020-09,51
2020-10,50
2020-11,40
2020-12,40
2021-01,47
2021-02,48
2021-03,39
2021-04,39
2021-05,53
2021-06,57
2021-07,29
2021-08,36
2021-09,42
2021-10,33
2021-11,27
2021-12,41
2022-01,35
2022-02,72
2022-03,65
2022-04,37
2022-05,60
