Category: All categories

Month,top gdp countries: (United States)
2004-01,0
2004-02,25
2004-03,32
2004-04,24
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,100
2004-10,21
2004-11,21
2004-12,19
2005-01,33
2005-02,0
2005-03,29
2005-04,34
2005-05,0
2005-06,15
2005-07,15
2005-08,0
2005-09,13
2005-10,37
2005-11,0
2005-12,12
2006-01,22
2006-02,11
2006-03,20
2006-04,31
2006-05,0
2006-06,0
2006-07,20
2006-08,28
2006-09,19
2006-10,9
2006-11,8
2006-12,51
2007-01,37
2007-02,8
2007-03,28
2007-04,14
2007-05,7
2007-06,14
2007-07,7
2007-08,19
2007-09,32
2007-10,17
2007-11,28
2007-12,29
2008-01,5
2008-02,21
2008-03,10
2008-04,26
2008-05,21
2008-06,22
2008-07,37
2008-08,10
2008-09,43
2008-10,35
2008-11,20
2008-12,24
2009-01,23
2009-02,85
2009-03,39
2009-04,39
2009-05,22
2009-06,4
2009-07,13
2009-08,26
2009-09,54
2009-10,48
2009-11,37
2009-12,12
2010-01,34
2010-02,39
2010-03,22
2010-04,37
2010-05,27
2010-06,24
2010-07,7
2010-08,43
2010-09,44
2010-10,19
2010-11,30
2010-12,18
2011-01,17
2011-02,23
2011-03,42
2011-04,24
2011-05,12
2011-06,17
2011-07,26
2011-08,24
2011-09,40
2011-10,31
2011-11,57
2011-12,18
2012-01,17
2012-02,31
2012-03,15
2012-04,29
2012-05,18
2012-06,23
2012-07,29
2012-08,20
2012-09,34
2012-10,42
2012-11,33
2012-12,33
2013-01,31
2013-02,37
2013-03,42
2013-04,33
2013-05,20
2013-06,26
2013-07,17
2013-08,22
2013-09,50
2013-10,48
2013-11,40
2013-12,32
2014-01,26
2014-02,61
2014-03,43
2014-04,41
2014-05,23
2014-06,17
2014-07,24
2014-08,22
2014-09,50
2014-10,38
2014-11,18
2014-12,31
2015-01,57
2015-02,49
2015-03,28
2015-04,42
2015-05,35
2015-06,24
2015-07,25
2015-08,16
2015-09,51
2015-10,32
2015-11,36
2015-12,37
2016-01,43
2016-02,55
2016-03,35
2016-04,29
2016-05,32
2016-06,26
2016-07,25
2016-08,12
2016-09,32
2016-10,26
2016-11,36
2016-12,32
2017-01,45
2017-02,39
2017-03,45
2017-04,29
2017-05,48
2017-06,22
2017-07,15
2017-08,19
2017-09,41
2017-10,34
2017-11,39
2017-12,30
2018-01,29
2018-02,32
2018-03,31
2018-04,48
2018-05,38
2018-06,38
2018-07,24
2018-08,33
2018-09,39
2018-10,37
2018-11,46
2018-12,35
2019-01,43
2019-02,40
2019-03,42
2019-04,24
2019-05,38
2019-06,31
2019-07,22
2019-08,36
2019-09,38
2019-10,43
2019-11,24
2019-12,32
2020-01,39
2020-02,46
2020-03,29
2020-04,45
2020-05,30
2020-06,18
2020-07,23
2020-08,27
2020-09,57
2020-10,35
2020-11,31
2020-12,24
2021-01,23
2021-02,29
2021-03,40
2021-04,31
2021-05,20
2021-06,22
2021-07,11
2021-08,37
2021-09,36
2021-10,36
2021-11,25
2021-12,32
2022-01,25
2022-02,54
2022-03,46
2022-04,30
2022-05,37
