Category: All categories

Month,us gdp: (United States)
2004-01,50
2004-02,70
2004-03,59
2004-04,80
2004-05,59
2004-06,50
2004-07,46
2004-08,43
2004-09,59
2004-10,74
2004-11,93
2004-12,58
2005-01,52
2005-02,61
2005-03,61
2005-04,65
2005-05,53
2005-06,35
2005-07,35
2005-08,34
2005-09,56
2005-10,62
2005-11,47
2005-12,44
2006-01,49
2006-02,46
2006-03,44
2006-04,64
2006-05,41
2006-06,35
2006-07,28
2006-08,25
2006-09,40
2006-10,46
2006-11,34
2006-12,44
2007-01,47
2007-02,53
2007-03,41
2007-04,48
2007-05,45
2007-06,33
2007-07,27
2007-08,24
2007-09,47
2007-10,53
2007-11,60
2007-12,40
2008-01,55
2008-02,59
2008-03,56
2008-04,63
2008-05,48
2008-06,31
2008-07,41
2008-08,40
2008-09,86
2008-10,100
2008-11,79
2008-12,51
2009-01,61
2009-02,98
2009-03,66
2009-04,66
2009-05,56
2009-06,39
2009-07,47
2009-08,52
2009-09,58
2009-10,68
2009-11,69
2009-12,52
2010-01,63
2010-02,82
2010-03,67
2010-04,67
2010-05,65
2010-06,50
2010-07,39
2010-08,45
2010-09,53
2010-10,57
2010-11,59
2010-12,43
2011-01,56
2011-02,63
2011-03,52
2011-04,68
2011-05,56
2011-06,57
2011-07,71
2011-08,78
2011-09,63
2011-10,65
2011-11,69
2011-12,47
2012-01,59
2012-02,57
2012-03,52
2012-04,59
2012-05,53
2012-06,44
2012-07,42
2012-08,49
2012-09,76
2012-10,77
2012-11,76
2012-12,47
2013-01,58
2013-02,68
2013-03,50
2013-04,60
2013-05,42
2013-06,32
2013-07,33
2013-08,34
2013-09,51
2013-10,79
2013-11,52
2013-12,46
2014-01,43
2014-02,56
2014-03,49
2014-04,54
2014-05,51
2014-06,39
2014-07,39
2014-08,35
2014-09,52
2014-10,56
2014-11,57
2014-12,54
2015-01,53
2015-02,58
2015-03,48
2015-04,55
2015-05,49
2015-06,46
2015-07,56
2015-08,39
2015-09,63
2015-10,68
2015-11,53
2015-12,47
2016-01,55
2016-02,71
2016-03,58
2016-04,66
2016-05,48
2016-06,44
2016-07,42
2016-08,44
2016-09,56
2016-10,82
2016-11,76
2016-12,59
2017-01,66
2017-02,74
2017-03,68
2017-04,68
2017-05,61
2017-06,43
2017-07,41
2017-08,42
2017-09,62
2017-10,63
2017-11,57
2017-12,67
2018-01,69
2018-02,68
2018-03,64
2018-04,66
2018-05,55
2018-06,56
2018-07,93
2018-08,62
2018-09,73
2018-10,78
2018-11,68
2018-12,59
2019-01,66
2019-02,78
2019-03,70
2019-04,69
2019-05,61
2019-06,43
2019-07,50
2019-08,56
2019-09,62
2019-10,63
2019-11,61
2019-12,56
2020-01,63
2020-02,80
2020-03,96
2020-04,97
2020-05,67
2020-06,51
2020-07,70
2020-08,65
2020-09,72
2020-10,91
2020-11,60
2020-12,50
2021-01,56
2021-02,54
2021-03,55
2021-04,53
2021-05,44
2021-06,36
2021-07,33
2021-08,34
2021-09,50
2021-10,53
2021-11,43
2021-12,42
2022-01,48
2022-02,69
2022-03,55
2022-04,69
2022-05,58
