Category: All categories

Month,whats gdp: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,31
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,55
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,22
2005-05,20
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,14
2006-02,0
2006-03,0
2006-04,0
2006-05,13
2006-06,0
2006-07,0
2006-08,0
2006-09,12
2006-10,0
2006-11,11
2006-12,0
2007-01,0
2007-02,31
2007-03,18
2007-04,0
2007-05,0
2007-06,9
2007-07,0
2007-08,0
2007-09,0
2007-10,29
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,13
2008-05,0
2008-06,0
2008-07,7
2008-08,0
2008-09,31
2008-10,23
2008-11,0
2008-12,12
2009-01,12
2009-02,25
2009-03,17
2009-04,6
2009-05,11
2009-06,6
2009-07,17
2009-08,28
2009-09,16
2009-10,36
2009-11,21
2009-12,26
2010-01,25
2010-02,56
2010-03,39
2010-04,10
2010-05,21
2010-06,32
2010-07,9
2010-08,4
2010-09,13
2010-10,21
2010-11,41
2010-12,8
2011-01,22
2011-02,35
2011-03,34
2011-04,32
2011-05,38
2011-06,36
2011-07,13
2011-08,15
2011-09,33
2011-10,53
2011-11,34
2011-12,22
2012-01,5
2012-02,46
2012-03,32
2012-04,18
2012-05,35
2012-06,13
2012-07,15
2012-08,26
2012-09,27
2012-10,57
2012-11,21
2012-12,27
2013-01,25
2013-02,25
2013-03,41
2013-04,19
2013-05,42
2013-06,15
2013-07,13
2013-08,19
2013-09,29
2013-10,28
2013-11,18
2013-12,16
2014-01,27
2014-02,42
2014-03,27
2014-04,57
2014-05,32
2014-06,12
2014-07,9
2014-08,11
2014-09,35
2014-10,43
2014-11,27
2014-12,26
2015-01,44
2015-02,55
2015-03,32
2015-04,56
2015-05,36
2015-06,42
2015-07,7
2015-08,18
2015-09,36
2015-10,53
2015-11,47
2015-12,45
2016-01,34
2016-02,49
2016-03,41
2016-04,49
2016-05,43
2016-06,19
2016-07,14
2016-08,16
2016-09,43
2016-10,58
2016-11,48
2016-12,43
2017-01,34
2017-02,64
2017-03,52
2017-04,60
2017-05,68
2017-06,28
2017-07,16
2017-08,14
2017-09,50
2017-10,68
2017-11,56
2017-12,52
2018-01,44
2018-02,73
2018-03,55
2018-04,35
2018-05,63
2018-06,24
2018-07,50
2018-08,47
2018-09,66
2018-10,84
2018-11,56
2018-12,59
2019-01,49
2019-02,59
2019-03,68
2019-04,62
2019-05,71
2019-06,36
2019-07,24
2019-08,30
2019-09,65
2019-10,69
2019-11,60
2019-12,71
2020-01,52
2020-02,73
2020-03,74
2020-04,77
2020-05,62
2020-06,39
2020-07,36
2020-08,23
2020-09,76
2020-10,100
2020-11,47
2020-12,58
2021-01,44
2021-02,57
2021-03,60
2021-04,65
2021-05,55
2021-06,20
2021-07,18
2021-08,31
2021-09,41
2021-10,60
2021-11,54
2021-12,39
2022-01,34
2022-02,75
2022-03,63
2022-04,72
2022-05,57
