Category: All categories

Month,world gdp: (United States)
2004-01,71
2004-02,62
2004-03,46
2004-04,100
2004-05,68
2004-06,48
2004-07,45
2004-08,58
2004-09,63
2004-10,43
2004-11,59
2004-12,61
2005-01,49
2005-02,48
2005-03,65
2005-04,73
2005-05,45
2005-06,40
2005-07,47
2005-08,35
2005-09,59
2005-10,59
2005-11,54
2005-12,55
2006-01,49
2006-02,68
2006-03,57
2006-04,55
2006-05,54
2006-06,39
2006-07,42
2006-08,26
2006-09,45
2006-10,49
2006-11,55
2006-12,43
2007-01,39
2007-02,52
2007-03,43
2007-04,44
2007-05,44
2007-06,42
2007-07,37
2007-08,35
2007-09,49
2007-10,50
2007-11,55
2007-12,52
2008-01,41
2008-02,48
2008-03,54
2008-04,64
2008-05,51
2008-06,33
2008-07,28
2008-08,41
2008-09,51
2008-10,69
2008-11,64
2008-12,40
2009-01,38
2009-02,70
2009-03,51
2009-04,68
2009-05,44
2009-06,36
2009-07,39
2009-08,33
2009-09,50
2009-10,51
2009-11,60
2009-12,48
2010-01,54
2010-02,63
2010-03,57
2010-04,57
2010-05,54
2010-06,43
2010-07,34
2010-08,33
2010-09,42
2010-10,53
2010-11,52
2010-12,42
2011-01,47
2011-02,61
2011-03,61
2011-04,51
2011-05,44
2011-06,32
2011-07,37
2011-08,39
2011-09,44
2011-10,46
2011-11,52
2011-12,37
2012-01,36
2012-02,48
2012-03,43
2012-04,50
2012-05,43
2012-06,33
2012-07,30
2012-08,30
2012-09,42
2012-10,43
2012-11,44
2012-12,38
2013-01,37
2013-02,48
2013-03,38
2013-04,48
2013-05,40
2013-06,27
2013-07,21
2013-08,26
2013-09,40
2013-10,43
2013-11,37
2013-12,31
2014-01,34
2014-02,50
2014-03,46
2014-04,48
2014-05,43
2014-06,41
2014-07,29
2014-08,28
2014-09,43
2014-10,48
2014-11,43
2014-12,41
2015-01,39
2015-02,46
2015-03,48
2015-04,49
2015-05,42
2015-06,35
2015-07,31
2015-08,33
2015-09,46
2015-10,50
2015-11,49
2015-12,40
2016-01,43
2016-02,47
2016-03,40
2016-04,49
2016-05,38
2016-06,32
2016-07,24
2016-08,27
2016-09,38
2016-10,46
2016-11,48
2016-12,49
2017-01,43
2017-02,56
2017-03,50
2017-04,52
2017-05,49
2017-06,32
2017-07,27
2017-08,27
2017-09,48
2017-10,45
2017-11,48
2017-12,43
2018-01,45
2018-02,52
2018-03,49
2018-04,48
2018-05,50
2018-06,44
2018-07,41
2018-08,35
2018-09,44
2018-10,49
2018-11,55
2018-12,46
2019-01,45
2019-02,50
2019-03,47
2019-04,49
2019-05,44
2019-06,33
2019-07,30
2019-08,30
2019-09,50
2019-10,45
2019-11,40
2019-12,40
2020-01,41
2020-02,50
2020-03,48
2020-04,49
2020-05,40
2020-06,32
2020-07,33
2020-08,30
2020-09,46
2020-10,41
2020-11,32
2020-12,31
2021-01,32
2021-02,36
2021-03,36
2021-04,39
2021-05,34
2021-06,29
2021-07,25
2021-08,24
2021-09,34
2021-10,36
2021-11,35
2021-12,30
2022-01,32
2022-02,55
2022-03,47
2022-04,40
2022-05,36
