Category: All categories

Month,administrative assistant: (United States)
2004-01,30
2004-02,32
2004-03,32
2004-04,51
2004-05,27
2004-06,26
2004-07,29
2004-08,31
2004-09,22
2004-10,24
2004-11,17
2004-12,18
2005-01,27
2005-02,26
2005-03,27
2005-04,59
2005-05,28
2005-06,31
2005-07,33
2005-08,34
2005-09,24
2005-10,25
2005-11,25
2005-12,18
2006-01,29
2006-02,25
2006-03,28
2006-04,50
2006-05,30
2006-06,31
2006-07,27
2006-08,28
2006-09,27
2006-10,25
2006-11,24
2006-12,20
2007-01,28
2007-02,26
2007-03,27
2007-04,56
2007-05,30
2007-06,32
2007-07,33
2007-08,36
2007-09,33
2007-10,30
2007-11,25
2007-12,23
2008-01,33
2008-02,31
2008-03,33
2008-04,64
2008-05,33
2008-06,38
2008-07,36
2008-08,37
2008-09,37
2008-10,36
2008-11,33
2008-12,31
2009-01,39
2009-02,35
2009-03,39
2009-04,76
2009-05,36
2009-06,41
2009-07,44
2009-08,44
2009-09,43
2009-10,39
2009-11,36
2009-12,30
2010-01,44
2010-02,45
2010-03,43
2010-04,63
2010-05,40
2010-06,45
2010-07,44
2010-08,41
2010-09,48
2010-10,42
2010-11,36
2010-12,34
2011-01,55
2011-02,47
2011-03,51
2011-04,100
2011-05,51
2011-06,55
2011-07,52
2011-08,57
2011-09,55
2011-10,47
2011-11,45
2011-12,38
2012-01,55
2012-02,53
2012-03,51
2012-04,74
2012-05,50
2012-06,50
2012-07,50
2012-08,48
2012-09,47
2012-10,45
2012-11,40
2012-12,34
2013-01,48
2013-02,45
2013-03,46
2013-04,82
2013-05,48
2013-06,47
2013-07,53
2013-08,50
2013-09,48
2013-10,49
2013-11,41
2013-12,34
2014-01,49
2014-02,46
2014-03,48
2014-04,76
2014-05,50
2014-06,47
2014-07,51
2014-08,51
2014-09,51
2014-10,45
2014-11,38
2014-12,35
2015-01,46
2015-02,45
2015-03,50
2015-04,78
2015-05,46
2015-06,49
2015-07,49
2015-08,48
2015-09,46
2015-10,45
2015-11,35
2015-12,35
2016-01,44
2016-02,46
2016-03,45
2016-04,74
2016-05,44
2016-06,41
2016-07,40
2016-08,46
2016-09,41
2016-10,38
2016-11,34
2016-12,30
2017-01,45
2017-02,42
2017-03,43
2017-04,51
2017-05,42
2017-06,46
2017-07,43
2017-08,45
2017-09,40
2017-10,42
2017-11,36
2017-12,32
2018-01,44
2018-02,42
2018-03,45
2018-04,60
2018-05,42
2018-06,42
2018-07,44
2018-08,46
2018-09,42
2018-10,44
2018-11,35
2018-12,31
2019-01,44
2019-02,45
2019-03,44
2019-04,59
2019-05,44
2019-06,44
2019-07,44
2019-08,44
2019-09,42
2019-10,41
2019-11,35
2019-12,32
2020-01,43
2020-02,42
2020-03,31
2020-04,33
2020-05,28
2020-06,33
2020-07,34
2020-08,34
2020-09,34
2020-10,35
2020-11,28
2020-12,27
2021-01,31
2021-02,34
2021-03,35
2021-04,51
2021-05,35
2021-06,38
2021-07,35
2021-08,36
2021-09,38
2021-10,34
2021-11,33
2021-12,29
2022-01,38
2022-02,37
2022-03,39
2022-04,49
2022-05,0
