Category: All categories

Month,amazon careers: (United States)
2004-01,1
2004-02,1
2004-03,2
2004-04,1
2004-05,0
2004-06,0
2004-07,1
2004-08,1
2004-09,1
2004-10,0
2004-11,1
2004-12,1
2005-01,<1
2005-02,2
2005-03,2
2005-04,1
2005-05,1
2005-06,0
2005-07,1
2005-08,2
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,2
2006-09,<1
2006-10,1
2006-11,1
2006-12,2
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,2
2007-07,1
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,1
2008-01,2
2008-02,1
2008-03,2
2008-04,2
2008-05,3
2008-06,1
2008-07,2
2008-08,3
2008-09,4
2008-10,4
2008-11,4
2008-12,3
2009-01,4
2009-02,3
2009-03,3
2009-04,2
2009-05,2
2009-06,2
2009-07,4
2009-08,4
2009-09,5
2009-10,3
2009-11,5
2009-12,4
2010-01,5
2010-02,4
2010-03,6
2010-04,5
2010-05,6
2010-06,4
2010-07,5
2010-08,5
2010-09,6
2010-10,7
2010-11,7
2010-12,6
2011-01,11
2011-02,10
2011-03,10
2011-04,9
2011-05,12
2011-06,11
2011-07,13
2011-08,15
2011-09,12
2011-10,11
2011-11,13
2011-12,11
2012-01,14
2012-02,13
2012-03,13
2012-04,11
2012-05,12
2012-06,14
2012-07,16
2012-08,14
2012-09,15
2012-10,17
2012-11,14
2012-12,12
2013-01,15
2013-02,13
2013-03,14
2013-04,16
2013-05,16
2013-06,16
2013-07,23
2013-08,23
2013-09,19
2013-10,21
2013-11,20
2013-12,19
2014-01,20
2014-02,19
2014-03,18
2014-04,18
2014-05,19
2014-06,21
2014-07,22
2014-08,24
2014-09,25
2014-10,24
2014-11,24
2014-12,20
2015-01,23
2015-02,20
2015-03,21
2015-04,22
2015-05,22
2015-06,28
2015-07,27
2015-08,32
2015-09,29
2015-10,30
2015-11,27
2015-12,25
2016-01,24
2016-02,23
2016-03,23
2016-04,23
2016-05,26
2016-06,31
2016-07,30
2016-08,30
2016-09,37
2016-10,41
2016-11,36
2016-12,32
2017-01,48
2017-02,38
2017-03,38
2017-04,50
2017-05,46
2017-06,55
2017-07,66
2017-08,66
2017-09,60
2017-10,66
2017-11,54
2017-12,44
2018-01,54
2018-02,46
2018-03,43
2018-04,45
2018-05,43
2018-06,49
2018-07,57
2018-08,63
2018-09,59
2018-10,95
2018-11,82
2018-12,57
2019-01,61
2019-02,59
2019-03,54
2019-04,55
2019-05,72
2019-06,72
2019-07,74
2019-08,73
2019-09,76
2019-10,80
2019-11,79
2019-12,64
2020-01,69
2020-02,63
2020-03,100
2020-04,83
2020-05,75
2020-06,75
2020-07,76
2020-08,81
2020-09,98
2020-10,83
2020-11,74
2020-12,71
2021-01,65
2021-02,58
2021-03,47
2021-04,46
2021-05,56
2021-06,68
2021-07,62
2021-08,62
2021-09,70
2021-10,74
2021-11,75
2021-12,67
2022-01,77
2022-02,76
2022-03,69
2022-04,68
