Category: All categories

Month,amazon force: (United States)
2004-01,6
2004-02,3
2004-03,5
2004-04,0
2004-05,6
2004-06,4
2004-07,5
2004-08,2
2004-09,4
2004-10,1
2004-11,0
2004-12,5
2005-01,5
2005-02,6
2005-03,5
2005-04,6
2005-05,5
2005-06,6
2005-07,3
2005-08,5
2005-09,4
2005-10,6
2005-11,5
2005-12,7
2006-01,1
2006-02,2
2006-03,6
2006-04,5
2006-05,4
2006-06,3
2006-07,4
2006-08,6
2006-09,4
2006-10,5
2006-11,6
2006-12,7
2007-01,4
2007-02,4
2007-03,5
2007-04,5
2007-05,6
2007-06,6
2007-07,6
2007-08,7
2007-09,5
2007-10,6
2007-11,6
2007-12,6
2008-01,6
2008-02,5
2008-03,8
2008-04,5
2008-05,5
2008-06,5
2008-07,8
2008-08,8
2008-09,11
2008-10,7
2008-11,7
2008-12,9
2009-01,7
2009-02,10
2009-03,8
2009-04,7
2009-05,8
2009-06,9
2009-07,10
2009-08,7
2009-09,7
2009-10,8
2009-11,10
2009-12,14
2010-01,10
2010-02,9
2010-03,9
2010-04,8
2010-05,10
2010-06,9
2010-07,10
2010-08,9
2010-09,12
2010-10,17
2010-11,17
2010-12,18
2011-01,19
2011-02,17
2011-03,15
2011-04,13
2011-05,17
2011-06,15
2011-07,19
2011-08,16
2011-09,17
2011-10,16
2011-11,22
2011-12,22
2012-01,16
2012-02,18
2012-03,19
2012-04,13
2012-05,13
2012-06,15
2012-07,15
2012-08,17
2012-09,15
2012-10,15
2012-11,19
2012-12,26
2013-01,17
2013-02,19
2013-03,20
2013-04,16
2013-05,17
2013-06,17
2013-07,21
2013-08,20
2013-09,20
2013-10,24
2013-11,37
2013-12,49
2014-01,32
2014-02,24
2014-03,22
2014-04,22
2014-05,18
2014-06,22
2014-07,18
2014-08,21
2014-09,19
2014-10,19
2014-11,28
2014-12,28
2015-01,21
2015-02,21
2015-03,20
2015-04,23
2015-05,23
2015-06,23
2015-07,27
2015-08,29
2015-09,34
2015-10,32
2015-11,39
2015-12,73
2016-01,35
2016-02,30
2016-03,31
2016-04,42
2016-05,28
2016-06,26
2016-07,29
2016-08,25
2016-09,32
2016-10,34
2016-11,39
2016-12,41
2017-01,32
2017-02,31
2017-03,28
2017-04,30
2017-05,31
2017-06,31
2017-07,36
2017-08,37
2017-09,36
2017-10,37
2017-11,39
2017-12,50
2018-01,33
2018-02,30
2018-03,29
2018-04,29
2018-05,27
2018-06,29
2018-07,33
2018-08,36
2018-09,37
2018-10,62
2018-11,63
2018-12,46
2019-01,37
2019-02,39
2019-03,38
2019-04,39
2019-05,53
2019-06,63
2019-07,68
2019-08,75
2019-09,75
2019-10,82
2019-11,89
2019-12,86
2020-01,67
2020-02,59
2020-03,96
2020-04,100
2020-05,89
2020-06,88
2020-07,88
2020-08,85
2020-09,83
2020-10,81
2020-11,85
2020-12,74
2021-01,65
2021-02,54
2021-03,48
2021-04,52
2021-05,54
2021-06,59
2021-07,62
2021-08,67
2021-09,76
2021-10,72
2021-11,79
2021-12,74
2022-01,63
2022-02,62
2022-03,49
2022-04,54
2022-05,0
