Category: All categories

Month,amazon jobs: (United States)
2004-01,1
2004-02,<1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,<1
2004-10,1
2004-11,1
2004-12,1
2005-01,1
2005-02,<1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,1
2005-08,1
2005-09,1
2005-10,1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,1
2006-08,1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,2
2008-04,1
2008-05,1
2008-06,1
2008-07,2
2008-08,2
2008-09,2
2008-10,2
2008-11,2
2008-12,2
2009-01,2
2009-02,2
2009-03,2
2009-04,2
2009-05,2
2009-06,2
2009-07,2
2009-08,2
2009-09,2
2009-10,2
2009-11,3
2009-12,3
2010-01,3
2010-02,2
2010-03,2
2010-04,2
2010-05,3
2010-06,3
2010-07,2
2010-08,3
2010-09,4
2010-10,4
2010-11,4
2010-12,4
2011-01,5
2011-02,5
2011-03,5
2011-04,4
2011-05,6
2011-06,6
2011-07,6
2011-08,7
2011-09,6
2011-10,10
2011-11,8
2011-12,7
2012-01,7
2012-02,6
2012-03,5
2012-04,6
2012-05,6
2012-06,7
2012-07,8
2012-08,8
2012-09,7
2012-10,9
2012-11,8
2012-12,7
2013-01,8
2013-02,7
2013-03,7
2013-04,7
2013-05,7
2013-06,8
2013-07,12
2013-08,11
2013-09,9
2013-10,11
2013-11,10
2013-12,10
2014-01,10
2014-02,8
2014-03,8
2014-04,9
2014-05,9
2014-06,10
2014-07,10
2014-08,11
2014-09,11
2014-10,12
2014-11,12
2014-12,11
2015-01,11
2015-02,9
2015-03,10
2015-04,10
2015-05,11
2015-06,13
2015-07,13
2015-08,15
2015-09,14
2015-10,15
2015-11,16
2015-12,13
2016-01,13
2016-02,11
2016-03,11
2016-04,12
2016-05,14
2016-06,15
2016-07,16
2016-08,16
2016-09,19
2016-10,22
2016-11,19
2016-12,17
2017-01,23
2017-02,15
2017-03,17
2017-04,32
2017-05,25
2017-06,31
2017-07,43
2017-08,46
2017-09,39
2017-10,42
2017-11,36
2017-12,26
2018-01,33
2018-02,24
2018-03,24
2018-04,25
2018-05,27
2018-06,30
2018-07,35
2018-08,45
2018-09,36
2018-10,69
2018-11,59
2018-12,42
2019-01,45
2019-02,38
2019-03,34
2019-04,33
2019-05,43
2019-06,48
2019-07,51
2019-08,49
2019-09,52
2019-10,57
2019-11,59
2019-12,43
2020-01,47
2020-02,43
2020-03,100
2020-04,69
2020-05,58
2020-06,62
2020-07,63
2020-08,68
2020-09,82
2020-10,74
2020-11,72
2020-12,67
2021-01,58
2021-02,54
2021-03,44
2021-04,42
2021-05,54
2021-06,65
2021-07,59
2021-08,60
2021-09,73
2021-10,80
2021-11,78
2021-12,69
2022-01,79
2022-02,72
2022-03,62
2022-04,61
