Category: All categories

Month,apprenticeship: (United States)
2004-01,54
2004-02,48
2004-03,51
2004-04,59
2004-05,48
2004-06,49
2004-07,60
2004-08,45
2004-09,51
2004-10,62
2004-11,55
2004-12,38
2005-01,61
2005-02,53
2005-03,57
2005-04,45
2005-05,43
2005-06,60
2005-07,40
2005-08,41
2005-09,45
2005-10,52
2005-11,47
2005-12,32
2006-01,40
2006-02,38
2006-03,50
2006-04,42
2006-05,50
2006-06,42
2006-07,44
2006-08,49
2006-09,44
2006-10,39
2006-11,33
2006-12,30
2007-01,46
2007-02,41
2007-03,46
2007-04,39
2007-05,43
2007-06,47
2007-07,42
2007-08,39
2007-09,44
2007-10,48
2007-11,45
2007-12,36
2008-01,45
2008-02,48
2008-03,44
2008-04,52
2008-05,47
2008-06,45
2008-07,41
2008-08,39
2008-09,47
2008-10,48
2008-11,44
2008-12,44
2009-01,55
2009-02,47
2009-03,53
2009-04,51
2009-05,46
2009-06,53
2009-07,44
2009-08,49
2009-09,51
2009-10,51
2009-11,55
2009-12,43
2010-01,61
2010-02,54
2010-03,57
2010-04,59
2010-05,53
2010-06,57
2010-07,45
2010-08,48
2010-09,41
2010-10,43
2010-11,41
2010-12,42
2011-01,48
2011-02,45
2011-03,48
2011-04,50
2011-05,47
2011-06,48
2011-07,52
2011-08,52
2011-09,53
2011-10,52
2011-11,46
2011-12,47
2012-01,58
2012-02,61
2012-03,56
2012-04,56
2012-05,56
2012-06,56
2012-07,55
2012-08,57
2012-09,56
2012-10,56
2012-11,52
2012-12,43
2013-01,63
2013-02,61
2013-03,65
2013-04,59
2013-05,65
2013-06,61
2013-07,58
2013-08,61
2013-09,58
2013-10,57
2013-11,55
2013-12,53
2014-01,70
2014-02,65
2014-03,64
2014-04,66
2014-05,67
2014-06,59
2014-07,58
2014-08,60
2014-09,68
2014-10,67
2014-11,63
2014-12,55
2015-01,72
2015-02,71
2015-03,72
2015-04,68
2015-05,62
2015-06,65
2015-07,69
2015-08,67
2015-09,65
2015-10,66
2015-11,60
2015-12,57
2016-01,73
2016-02,74
2016-03,71
2016-04,71
2016-05,68
2016-06,69
2016-07,62
2016-08,64
2016-09,66
2016-10,66
2016-11,63
2016-12,61
2017-01,79
2017-02,75
2017-03,81
2017-04,70
2017-05,76
2017-06,86
2017-07,72
2017-08,76
2017-09,76
2017-10,76
2017-11,73
2017-12,63
2018-01,84
2018-02,80
2018-03,83
2018-04,80
2018-05,78
2018-06,74
2018-07,84
2018-08,88
2018-09,84
2018-10,81
2018-11,76
2018-12,68
2019-01,89
2019-02,87
2019-03,92
2019-04,95
2019-05,87
2019-06,90
2019-07,91
2019-08,95
2019-09,90
2019-10,91
2019-11,83
2019-12,76
2020-01,99
2020-02,94
2020-03,68
2020-04,52
2020-05,62
2020-06,76
2020-07,79
2020-08,81
2020-09,87
2020-10,91
2020-11,79
2020-12,78
2021-01,87
2021-02,93
2021-03,85
2021-04,87
2021-05,87
2021-06,89
2021-07,93
2021-08,92
2021-09,93
2021-10,89
2021-11,91
2021-12,81
2022-01,94
2022-02,97
2022-03,96
2022-04,100
2022-05,0
