Category: All categories

Month,career: (United States)
2004-01,70
2004-02,68
2004-03,69
2004-04,68
2004-05,64
2004-06,61
2004-07,60
2004-08,60
2004-09,69
2004-10,66
2004-11,62
2004-12,53
2005-01,82
2005-02,82
2005-03,79
2005-04,75
2005-05,77
2005-06,65
2005-07,64
2005-08,71
2005-09,78
2005-10,75
2005-11,70
2005-12,58
2006-01,83
2006-02,84
2006-03,82
2006-04,75
2006-05,78
2006-06,68
2006-07,68
2006-08,75
2006-09,80
2006-10,82
2006-11,71
2006-12,60
2007-01,82
2007-02,84
2007-03,82
2007-04,80
2007-05,79
2007-06,78
2007-07,77
2007-08,83
2007-09,87
2007-10,88
2007-11,79
2007-12,67
2008-01,87
2008-02,88
2008-03,85
2008-04,89
2008-05,81
2008-06,81
2008-07,82
2008-08,85
2008-09,95
2008-10,93
2008-11,85
2008-12,74
2009-01,99
2009-02,100
2009-03,93
2009-04,85
2009-05,81
2009-06,78
2009-07,75
2009-08,76
2009-09,86
2009-10,80
2009-11,68
2009-12,60
2010-01,78
2010-02,75
2010-03,74
2010-04,71
2010-05,72
2010-06,72
2010-07,66
2010-08,70
2010-09,65
2010-10,62
2010-11,54
2010-12,47
2011-01,68
2011-02,68
2011-03,62
2011-04,71
2011-05,70
2011-06,60
2011-07,59
2011-08,62
2011-09,70
2011-10,65
2011-11,58
2011-12,49
2012-01,67
2012-02,63
2012-03,56
2012-04,59
2012-05,55
2012-06,52
2012-07,50
2012-08,54
2012-09,65
2012-10,61
2012-11,55
2012-12,48
2013-01,64
2013-02,63
2013-03,55
2013-04,57
2013-05,53
2013-06,49
2013-07,50
2013-08,55
2013-09,64
2013-10,60
2013-11,52
2013-12,48
2014-01,62
2014-02,61
2014-03,56
2014-04,58
2014-05,54
2014-06,51
2014-07,51
2014-08,53
2014-09,69
2014-10,63
2014-11,54
2014-12,50
2015-01,64
2015-02,63
2015-03,59
2015-04,59
2015-05,54
2015-06,50
2015-07,50
2015-08,55
2015-09,70
2015-10,64
2015-11,55
2015-12,49
2016-01,61
2016-02,65
2016-03,58
2016-04,59
2016-05,51
2016-06,49
2016-07,46
2016-08,52
2016-09,63
2016-10,56
2016-11,51
2016-12,47
2017-01,61
2017-02,60
2017-03,56
2017-04,53
2017-05,54
2017-06,47
2017-07,43
2017-08,52
2017-09,60
2017-10,57
2017-11,50
2017-12,44
2018-01,61
2018-02,56
2018-03,51
2018-04,51
2018-05,48
2018-06,43
2018-07,43
2018-08,48
2018-09,57
2018-10,56
2018-11,48
2018-12,41
2019-01,55
2019-02,53
2019-03,50
2019-04,48
2019-05,45
2019-06,42
2019-07,41
2019-08,45
2019-09,57
2019-10,51
2019-11,44
2019-12,40
2020-01,52
2020-02,50
2020-03,37
2020-04,39
2020-05,38
2020-06,35
2020-07,36
2020-08,41
2020-09,48
2020-10,42
2020-11,33
2020-12,33
2021-01,41
2021-02,40
2021-03,36
2021-04,37
2021-05,35
2021-06,35
2021-07,34
2021-08,39
2021-09,42
2021-10,42
2021-11,38
2021-12,35
2022-01,43
2022-02,43
2022-03,41
2022-04,40
