Category: All categories

Month,civil service jobs: (United States)
2004-01,71
2004-02,68
2004-03,66
2004-04,100
2004-05,64
2004-06,58
2004-07,86
2004-08,71
2004-09,74
2004-10,68
2004-11,76
2004-12,57
2005-01,66
2005-02,65
2005-03,42
2005-04,66
2005-05,59
2005-06,72
2005-07,70
2005-08,80
2005-09,62
2005-10,54
2005-11,43
2005-12,47
2006-01,57
2006-02,58
2006-03,63
2006-04,47
2006-05,50
2006-06,70
2006-07,64
2006-08,66
2006-09,65
2006-10,65
2006-11,47
2006-12,51
2007-01,69
2007-02,59
2007-03,56
2007-04,52
2007-05,55
2007-06,54
2007-07,63
2007-08,86
2007-09,62
2007-10,50
2007-11,61
2007-12,53
2008-01,72
2008-02,57
2008-03,65
2008-04,66
2008-05,53
2008-06,65
2008-07,73
2008-08,73
2008-09,73
2008-10,68
2008-11,61
2008-12,55
2009-01,67
2009-02,64
2009-03,70
2009-04,55
2009-05,54
2009-06,70
2009-07,68
2009-08,60
2009-09,60
2009-10,65
2009-11,62
2009-12,59
2010-01,73
2010-02,62
2010-03,73
2010-04,63
2010-05,67
2010-06,67
2010-07,54
2010-08,66
2010-09,55
2010-10,52
2010-11,50
2010-12,38
2011-01,61
2011-02,52
2011-03,53
2011-04,45
2011-05,51
2011-06,58
2011-07,50
2011-08,48
2011-09,52
2011-10,48
2011-11,46
2011-12,44
2012-01,56
2012-02,51
2012-03,48
2012-04,57
2012-05,54
2012-06,51
2012-07,60
2012-08,53
2012-09,49
2012-10,44
2012-11,42
2012-12,42
2013-01,60
2013-02,50
2013-03,43
2013-04,49
2013-05,53
2013-06,52
2013-07,54
2013-08,57
2013-09,57
2013-10,51
2013-11,41
2013-12,47
2014-01,53
2014-02,50
2014-03,50
2014-04,47
2014-05,53
2014-06,47
2014-07,55
2014-08,49
2014-09,55
2014-10,48
2014-11,43
2014-12,42
2015-01,55
2015-02,47
2015-03,49
2015-04,47
2015-05,43
2015-06,53
2015-07,50
2015-08,45
2015-09,47
2015-10,46
2015-11,42
2015-12,36
2016-01,40
2016-02,40
2016-03,36
2016-04,35
2016-05,35
2016-06,38
2016-07,37
2016-08,37
2016-09,38
2016-10,32
2016-11,31
2016-12,28
2017-01,39
2017-02,34
2017-03,35
2017-04,30
2017-05,33
2017-06,32
2017-07,35
2017-08,38
2017-09,36
2017-10,35
2017-11,33
2017-12,28
2018-01,35
2018-02,36
2018-03,34
2018-04,34
2018-05,35
2018-06,38
2018-07,38
2018-08,36
2018-09,37
2018-10,37
2018-11,33
2018-12,25
2019-01,35
2019-02,30
2019-03,34
2019-04,33
2019-05,32
2019-06,32
2019-07,35
2019-08,35
2019-09,34
2019-10,33
2019-11,27
2019-12,26
2020-01,34
2020-02,33
2020-03,22
2020-04,16
2020-05,19
2020-06,20
2020-07,24
2020-08,23
2020-09,23
2020-10,23
2020-11,19
2020-12,18
2021-01,21
2021-02,23
2021-03,20
2021-04,19
2021-05,24
2021-06,23
2021-07,23
2021-08,27
2021-09,20
2021-10,20
2021-11,20
2021-12,20
2022-01,23
2022-02,24
2022-03,23
2022-04,21
2022-05,0
