Category: All categories

Month,data entry jobs: (United States)
2004-01,31
2004-02,14
2004-03,27
2004-04,19
2004-05,24
2004-06,25
2004-07,30
2004-08,37
2004-09,33
2004-10,22
2004-11,27
2004-12,22
2005-01,21
2005-02,18
2005-03,17
2005-04,15
2005-05,23
2005-06,31
2005-07,29
2005-08,34
2005-09,29
2005-10,28
2005-11,25
2005-12,24
2006-01,32
2006-02,31
2006-03,33
2006-04,45
2006-05,45
2006-06,41
2006-07,64
2006-08,59
2006-09,64
2006-10,50
2006-11,34
2006-12,31
2007-01,52
2007-02,46
2007-03,44
2007-04,48
2007-05,48
2007-06,51
2007-07,59
2007-08,51
2007-09,58
2007-10,55
2007-11,45
2007-12,45
2008-01,49
2008-02,43
2008-03,47
2008-04,49
2008-05,47
2008-06,61
2008-07,52
2008-08,61
2008-09,58
2008-10,60
2008-11,57
2008-12,45
2009-01,58
2009-02,55
2009-03,53
2009-04,45
2009-05,45
2009-06,54
2009-07,52
2009-08,52
2009-09,51
2009-10,53
2009-11,42
2009-12,39
2010-01,52
2010-02,52
2010-03,53
2010-04,47
2010-05,47
2010-06,52
2010-07,50
2010-08,48
2010-09,39
2010-10,38
2010-11,33
2010-12,30
2011-01,47
2011-02,42
2011-03,42
2011-04,41
2011-05,43
2011-06,45
2011-07,43
2011-08,45
2011-09,44
2011-10,39
2011-11,38
2011-12,30
2012-01,45
2012-02,41
2012-03,36
2012-04,37
2012-05,38
2012-06,40
2012-07,44
2012-08,46
2012-09,42
2012-10,43
2012-11,33
2012-12,29
2013-01,39
2013-02,34
2013-03,36
2013-04,35
2013-05,35
2013-06,40
2013-07,40
2013-08,37
2013-09,38
2013-10,37
2013-11,30
2013-12,29
2014-01,38
2014-02,37
2014-03,37
2014-04,37
2014-05,38
2014-06,41
2014-07,43
2014-08,40
2014-09,37
2014-10,37
2014-11,35
2014-12,31
2015-01,40
2015-02,40
2015-03,37
2015-04,38
2015-05,40
2015-06,45
2015-07,40
2015-08,42
2015-09,41
2015-10,38
2015-11,35
2015-12,32
2016-01,39
2016-02,37
2016-03,32
2016-04,37
2016-05,37
2016-06,36
2016-07,38
2016-08,39
2016-09,39
2016-10,35
2016-11,32
2016-12,31
2017-01,40
2017-02,39
2017-03,37
2017-04,37
2017-05,40
2017-06,41
2017-07,48
2017-08,48
2017-09,40
2017-10,49
2017-11,39
2017-12,35
2018-01,47
2018-02,45
2018-03,44
2018-04,47
2018-05,48
2018-06,52
2018-07,55
2018-08,65
2018-09,58
2018-10,56
2018-11,48
2018-12,41
2019-01,64
2019-02,51
2019-03,48
2019-04,48
2019-05,50
2019-06,55
2019-07,54
2019-08,58
2019-09,55
2019-10,50
2019-11,47
2019-12,48
2020-01,63
2020-02,50
2020-03,52
2020-04,43
2020-05,43
2020-06,53
2020-07,55
2020-08,58
2020-09,52
2020-10,54
2020-11,49
2020-12,52
2021-01,56
2021-02,54
2021-03,56
2021-04,50
2021-05,58
2021-06,66
2021-07,66
2021-08,71
2021-09,71
2021-10,75
2021-11,73
2021-12,69
2022-01,100
2022-02,86
2022-03,87
2022-04,100
2022-05,0
