Category: All categories

Month,edjoin: (United States)
2004-01,22
2004-02,26
2004-03,24
2004-04,35
2004-05,38
2004-06,50
2004-07,29
2004-08,34
2004-09,26
2004-10,22
2004-11,19
2004-12,15
2005-01,24
2005-02,26
2005-03,30
2005-04,47
2005-05,42
2005-06,46
2005-07,38
2005-08,29
2005-09,25
2005-10,23
2005-11,16
2005-12,20
2006-01,23
2006-02,26
2006-03,42
2006-04,43
2006-05,63
2006-06,56
2006-07,57
2006-08,50
2006-09,31
2006-10,28
2006-11,29
2006-12,25
2007-01,34
2007-02,41
2007-03,49
2007-04,61
2007-05,73
2007-06,65
2007-07,60
2007-08,54
2007-09,40
2007-10,36
2007-11,34
2007-12,31
2008-01,38
2008-02,43
2008-03,51
2008-04,63
2008-05,70
2008-06,80
2008-07,83
2008-08,71
2008-09,50
2008-10,52
2008-11,44
2008-12,43
2009-01,53
2009-02,52
2009-03,60
2009-04,54
2009-05,72
2009-06,72
2009-07,69
2009-08,62
2009-09,47
2009-10,40
2009-11,33
2009-12,32
2010-01,39
2010-02,40
2010-03,47
2010-04,52
2010-05,66
2010-06,72
2010-07,62
2010-08,59
2010-09,48
2010-10,43
2010-11,43
2010-12,41
2011-01,54
2011-02,52
2011-03,58
2011-04,59
2011-05,79
2011-06,87
2011-07,81
2011-08,86
2011-09,67
2011-10,49
2011-11,47
2011-12,40
2012-01,56
2012-02,52
2012-03,68
2012-04,79
2012-05,94
2012-06,100
2012-07,90
2012-08,89
2012-09,61
2012-10,63
2012-11,52
2012-12,45
2013-01,58
2013-02,59
2013-03,76
2013-04,82
2013-05,93
2013-06,94
2013-07,79
2013-08,78
2013-09,60
2013-10,56
2013-11,41
2013-12,34
2014-01,56
2014-02,50
2014-03,67
2014-04,75
2014-05,88
2014-06,81
2014-07,82
2014-08,75
2014-09,58
2014-10,50
2014-11,41
2014-12,38
2015-01,52
2015-02,58
2015-03,68
2015-04,71
2015-05,80
2015-06,75
2015-07,68
2015-08,72
2015-09,64
2015-10,51
2015-11,42
2015-12,39
2016-01,46
2016-02,50
2016-03,63
2016-04,69
2016-05,69
2016-06,64
2016-07,58
2016-08,62
2016-09,51
2016-10,42
2016-11,39
2016-12,32
2017-01,47
2017-02,47
2017-03,61
2017-04,56
2017-05,73
2017-06,65
2017-07,57
2017-08,68
2017-09,46
2017-10,44
2017-11,39
2017-12,35
2018-01,52
2018-02,59
2018-03,68
2018-04,72
2018-05,78
2018-06,68
2018-07,60
2018-08,61
2018-09,48
2018-10,45
2018-11,36
2018-12,37
2019-01,50
2019-02,51
2019-03,56
2019-04,69
2019-05,85
2019-06,69
2019-07,67
2019-08,67
2019-09,52
2019-10,47
2019-11,37
2019-12,36
2020-01,49
2020-02,52
2020-03,37
2020-04,29
2020-05,36
2020-06,48
2020-07,38
2020-08,36
2020-09,31
2020-10,25
2020-11,18
2020-12,18
2021-01,22
2021-02,28
2021-03,32
2021-04,36
2021-05,41
2021-06,44
2021-07,38
2021-08,41
2021-09,37
2021-10,30
2021-11,28
2021-12,24
2022-01,31
2022-02,40
2022-03,43
2022-04,43
2022-05,0
