Category: All categories

Month,employment: (United States)
2004-01,93
2004-02,82
2004-03,81
2004-04,89
2004-05,91
2004-06,100
2004-07,99
2004-08,96
2004-09,90
2004-10,81
2004-11,70
2004-12,67
2005-01,92
2005-02,82
2005-03,84
2005-04,84
2005-05,87
2005-06,88
2005-07,87
2005-08,88
2005-09,82
2005-10,78
2005-11,71
2005-12,60
2006-01,82
2006-02,73
2006-03,76
2006-04,76
2006-05,77
2006-06,83
2006-07,80
2006-08,81
2006-09,71
2006-10,70
2006-11,63
2006-12,55
2007-01,75
2007-02,67
2007-03,68
2007-04,73
2007-05,74
2007-06,77
2007-07,80
2007-08,76
2007-09,72
2007-10,71
2007-11,64
2007-12,56
2008-01,75
2008-02,66
2008-03,67
2008-04,72
2008-05,69
2008-06,75
2008-07,74
2008-08,70
2008-09,69
2008-10,68
2008-11,63
2008-12,60
2009-01,77
2009-02,69
2009-03,69
2009-04,67
2009-05,68
2009-06,70
2009-07,73
2009-08,70
2009-09,69
2009-10,67
2009-11,60
2009-12,55
2010-01,69
2010-02,63
2010-03,67
2010-04,69
2010-05,67
2010-06,71
2010-07,63
2010-08,60
2010-09,55
2010-10,52
2010-11,49
2010-12,45
2011-01,65
2011-02,57
2011-03,58
2011-04,58
2011-05,60
2011-06,62
2011-07,61
2011-08,64
2011-09,57
2011-10,52
2011-11,48
2011-12,40
2012-01,54
2012-02,49
2012-03,47
2012-04,53
2012-05,54
2012-06,53
2012-07,51
2012-08,50
2012-09,48
2012-10,47
2012-11,42
2012-12,35
2013-01,48
2013-02,44
2013-03,45
2013-04,48
2013-05,48
2013-06,48
2013-07,48
2013-08,48
2013-09,44
2013-10,44
2013-11,38
2013-12,35
2014-01,46
2014-02,41
2014-03,43
2014-04,46
2014-05,45
2014-06,44
2014-07,44
2014-08,42
2014-09,40
2014-10,39
2014-11,34
2014-12,33
2015-01,40
2015-02,37
2015-03,39
2015-04,42
2015-05,40
2015-06,41
2015-07,42
2015-08,41
2015-09,39
2015-10,36
2015-11,33
2015-12,30
2016-01,36
2016-02,36
2016-03,37
2016-04,38
2016-05,37
2016-06,37
2016-07,36
2016-08,36
2016-09,33
2016-10,31
2016-11,30
2016-12,28
2017-01,36
2017-02,34
2017-03,35
2017-04,34
2017-05,36
2017-06,36
2017-07,34
2017-08,34
2017-09,32
2017-10,33
2017-11,29
2017-12,26
2018-01,34
2018-02,33
2018-03,33
2018-04,35
2018-05,33
2018-06,32
2018-07,33
2018-08,34
2018-09,30
2018-10,30
2018-11,27
2018-12,24
2019-01,32
2019-02,31
2019-03,31
2019-04,32
2019-05,31
2019-06,31
2019-07,30
2019-08,30
2019-09,29
2019-10,27
2019-11,25
2019-12,23
2020-01,29
2020-02,28
2020-03,29
2020-04,31
2020-05,27
2020-06,30
2020-07,28
2020-08,27
2020-09,25
2020-10,25
2020-11,21
2020-12,21
2021-01,23
2021-02,25
2021-03,25
2021-04,25
2021-05,25
2021-06,25
2021-07,25
2021-08,25
2021-09,24
2021-10,24
2021-11,22
2021-12,20
2022-01,24
2022-02,25
2022-03,26
2022-04,25
