Category: All categories

Month,freelance jobs: (United States)
2004-01,93
2004-02,70
2004-03,72
2004-04,75
2004-05,98
2004-06,85
2004-07,89
2004-08,70
2004-09,69
2004-10,70
2004-11,76
2004-12,62
2005-01,76
2005-02,51
2005-03,62
2005-04,68
2005-05,61
2005-06,75
2005-07,77
2005-08,81
2005-09,80
2005-10,64
2005-11,67
2005-12,50
2006-01,90
2006-02,67
2006-03,58
2006-04,52
2006-05,61
2006-06,61
2006-07,74
2006-08,54
2006-09,58
2006-10,76
2006-11,54
2006-12,60
2007-01,70
2007-02,63
2007-03,65
2007-04,63
2007-05,65
2007-06,65
2007-07,72
2007-08,79
2007-09,71
2007-10,67
2007-11,72
2007-12,66
2008-01,75
2008-02,60
2008-03,60
2008-04,68
2008-05,66
2008-06,76
2008-07,77
2008-08,67
2008-09,77
2008-10,79
2008-11,76
2008-12,66
2009-01,100
2009-02,93
2009-03,72
2009-04,65
2009-05,84
2009-06,90
2009-07,84
2009-08,81
2009-09,81
2009-10,74
2009-11,60
2009-12,62
2010-01,78
2010-02,74
2010-03,76
2010-04,72
2010-05,81
2010-06,69
2010-07,65
2010-08,72
2010-09,55
2010-10,54
2010-11,47
2010-12,47
2011-01,61
2011-02,62
2011-03,54
2011-04,59
2011-05,59
2011-06,66
2011-07,60
2011-08,63
2011-09,58
2011-10,60
2011-11,56
2011-12,45
2012-01,60
2012-02,53
2012-03,55
2012-04,57
2012-05,63
2012-06,60
2012-07,61
2012-08,63
2012-09,58
2012-10,58
2012-11,51
2012-12,44
2013-01,61
2013-02,53
2013-03,50
2013-04,51
2013-05,55
2013-06,56
2013-07,59
2013-08,58
2013-09,55
2013-10,56
2013-11,47
2013-12,40
2014-01,55
2014-02,51
2014-03,48
2014-04,55
2014-05,53
2014-06,60
2014-07,65
2014-08,56
2014-09,51
2014-10,46
2014-11,47
2014-12,43
2015-01,56
2015-02,52
2015-03,57
2015-04,53
2015-05,56
2015-06,60
2015-07,65
2015-08,56
2015-09,58
2015-10,57
2015-11,54
2015-12,52
2016-01,62
2016-02,57
2016-03,56
2016-04,56
2016-05,58
2016-06,61
2016-07,58
2016-08,61
2016-09,55
2016-10,57
2016-11,50
2016-12,49
2017-01,64
2017-02,56
2017-03,57
2017-04,54
2017-05,61
2017-06,64
2017-07,64
2017-08,72
2017-09,73
2017-10,71
2017-11,61
2017-12,56
2018-01,72
2018-02,61
2018-03,69
2018-04,62
2018-05,69
2018-06,73
2018-07,73
2018-08,75
2018-09,72
2018-10,65
2018-11,62
2018-12,54
2019-01,76
2019-02,74
2019-03,59
2019-04,62
2019-05,63
2019-06,77
2019-07,80
2019-08,72
2019-09,69
2019-10,63
2019-11,59
2019-12,77
2020-01,96
2020-02,63
2020-03,59
2020-04,54
2020-05,56
2020-06,62
2020-07,60
2020-08,58
2020-09,54
2020-10,52
2020-11,50
2020-12,49
2021-01,54
2021-02,51
2021-03,50
2021-04,53
2021-05,58
2021-06,57
2021-07,60
2021-08,60
2021-09,57
2021-10,56
2021-11,55
2021-12,55
2022-01,61
2022-02,62
2022-03,56
2022-04,59
2022-05,0
