Category: All categories

Month,freelance: (United States)
2004-01,100
2004-02,82
2004-03,89
2004-04,84
2004-05,82
2004-06,87
2004-07,86
2004-08,87
2004-09,79
2004-10,73
2004-11,63
2004-12,69
2005-01,79
2005-02,72
2005-03,70
2005-04,65
2005-05,73
2005-06,78
2005-07,74
2005-08,72
2005-09,71
2005-10,72
2005-11,62
2005-12,52
2006-01,66
2006-02,65
2006-03,64
2006-04,60
2006-05,61
2006-06,65
2006-07,61
2006-08,59
2006-09,64
2006-10,59
2006-11,50
2006-12,51
2007-01,55
2007-02,55
2007-03,61
2007-04,56
2007-05,59
2007-06,54
2007-07,63
2007-08,64
2007-09,60
2007-10,58
2007-11,57
2007-12,45
2008-01,65
2008-02,58
2008-03,55
2008-04,58
2008-05,58
2008-06,61
2008-07,61
2008-08,57
2008-09,56
2008-10,58
2008-11,56
2008-12,51
2009-01,64
2009-02,63
2009-03,57
2009-04,55
2009-05,58
2009-06,56
2009-07,55
2009-08,56
2009-09,50
2009-10,53
2009-11,47
2009-12,44
2010-01,54
2010-02,52
2010-03,54
2010-04,51
2010-05,55
2010-06,53
2010-07,51
2010-08,50
2010-09,47
2010-10,47
2010-11,45
2010-12,39
2011-01,50
2011-02,50
2011-03,53
2011-04,56
2011-05,50
2011-06,51
2011-07,47
2011-08,47
2011-09,45
2011-10,44
2011-11,41
2011-12,36
2012-01,44
2012-02,41
2012-03,40
2012-04,39
2012-05,41
2012-06,42
2012-07,41
2012-08,41
2012-09,40
2012-10,44
2012-11,35
2012-12,32
2013-01,42
2013-02,40
2013-03,37
2013-04,38
2013-05,37
2013-06,38
2013-07,39
2013-08,37
2013-09,35
2013-10,37
2013-11,33
2013-12,30
2014-01,38
2014-02,37
2014-03,37
2014-04,39
2014-05,37
2014-06,38
2014-07,40
2014-08,37
2014-09,37
2014-10,35
2014-11,31
2014-12,30
2015-01,38
2015-02,36
2015-03,37
2015-04,38
2015-05,38
2015-06,39
2015-07,38
2015-08,38
2015-09,42
2015-10,36
2015-11,35
2015-12,34
2016-01,38
2016-02,42
2016-03,39
2016-04,38
2016-05,40
2016-06,39
2016-07,38
2016-08,39
2016-09,38
2016-10,38
2016-11,35
2016-12,34
2017-01,41
2017-02,40
2017-03,40
2017-04,40
2017-05,41
2017-06,42
2017-07,39
2017-08,41
2017-09,40
2017-10,38
2017-11,36
2017-12,33
2018-01,40
2018-02,38
2018-03,39
2018-04,39
2018-05,38
2018-06,39
2018-07,38
2018-08,38
2018-09,36
2018-10,37
2018-11,34
2018-12,32
2019-01,39
2019-02,40
2019-03,37
2019-04,38
2019-05,37
2019-06,39
2019-07,38
2019-08,37
2019-09,36
2019-10,35
2019-11,32
2019-12,34
2020-01,42
2020-02,37
2020-03,35
2020-04,35
2020-05,33
2020-06,36
2020-07,38
2020-08,35
2020-09,34
2020-10,34
2020-11,31
2020-12,30
2021-01,33
2021-02,34
2021-03,32
2021-04,34
2021-05,38
2021-06,37
2021-07,34
2021-08,37
2021-09,36
2021-10,35
2021-11,34
2021-12,30
2022-01,35
2022-02,36
2022-03,37
2022-04,37
2022-05,0
