,search vol,gdp growth,,,,,,
63,57,-1,,search mean,gdp mean,,-0.525116726,-2.156395103
59,52,2.90,,63.17829457,2.29767,,-0.940289807,0.415892782
48.33333333,53,-0.10,,search std,gdp std,,-0.857255191,-1.562790207
63,59,4.70,,12.18189932,7.38401,,-0.359047493,1.603102575
58,54.33333333,3.20,,,,,-0.746542369,0.613761081
54.66666667,49.33333333,1.70,,new sm,new gm,,-1.161715451,-0.375580414
41.66666667,47,0.50,,63.32407407,2.26944,,-1.355462889,-1.167053609
54,64.66666667,0.50,,new ss,new gs,,0.111481999,-1.167053609
52,58.66666667,3.60,,12.04317263,1.51616,,-0.386725699,0.877585479
48.66666667,49,0.50,,,,,-1.189393656,-1.167053609
38.33333333,38.33333333,3.20,,,,,-2.07509623,0.613761081
47.66666667,59.33333333,3.20,,,,,-0.331369288,0.613761081
50,62,-1.10,,,,,-0.109943644,-2.222351203
44.33333333,58.66666667,5.50,,,,,-0.386725699,2.130751372
35,46,5,,,,,-1.438497505,1.800970874
52,68.33333333,2.30,,,,,0.415942259,0.020156184
56,69,3.20,,,,,0.47129867,0.613761081
49.66666667,63.33333333,3,,,,,0.000769177,0.481848881
46,56.33333333,1.30,,,,,-0.580473137,-0.639404812
66.66666667,75,0.10,,,,,0.969506368,-1.430878008
69,77.33333333,2,,,,,1.163253806,-0.177712115
55.33333333,65,1.90,,,,,0.139160204,-0.243668214
46.33333333,48.66666667,2.20,,,,,-1.217071862,-0.045799916
63.66666667,83,2,,,,,1.633783298,-0.177712115
67.33333333,81.66666667,2.30,,,,,1.523070476,0.020156184
59.33333333,66,2.20,,,,,0.222194821,-0.045799916
46,52.33333333,3.20,,,,,-0.912611602,0.613761081
57,77.66666667,3.50,,,,,1.190932011,0.811629379
57,79.33333333,3.80,,,,,1.329323038,1.009497678
52,69.66666667,2.70,,,,,0.526655081,0.283980583
53,81.33333333,2.10,,,,,1.495392271,-0.111756015
59,78.66666667,1.30,,,,,1.273966627,-0.639404812
54.33333333,81.66666667,2.40,,,,,1.523070476,0.086112284
49.33333333,66.66666667,3.20,,,,,0.277551232,0.613761081
47,57.33333333,2.80,,,,,-0.49743852,0.349936682
64.66666667,73,1.90,,,,,0.803437135,-0.243668214
58.66666667,79.66666667,-5.10,,,,,,
49,70.33333333,-31.20,,,,,,
38.33333333,65.66666667,33.80,,,,,,
59.33333333,71.33333333,4.50,,,,,,
62,61.66666667,6.30,,,,,,
58.66666667,48.33333333,6.70,,,,,,
46,40,2.10,,,,,,
68.33333333,,,,,,,,
69,,,,,,,,
63.33333333,,,,,,,,
56.33333333,,,,,,,,
75,,,,,,,,
77.33333333,,,,,,,,
65,,,,,,,,
48.66666667,,,,,,,,
83,,,,,,,,
81.66666667,,,,,,,,
66,,,,,,,,
52.33333333,,,,,,,,
77.66666667,,,,,,,,
79.33333333,,,,,,,,
69.66666667,,,,,,,,
81.33333333,,,,,,,,
78.66666667,,,,,,,,
81.66666667,,,,,,,,
66.66666667,,,,,,,,
57.33333333,,,,,,,,
73,,,,,,,,
79.66666667,,,,,,,,
70.33333333,,,,,,,,
65.66666667,,,,,,,,
71.33333333,,,,,,,,
61.66666667,,,,,,,,
48.33333333,,,,,,,,
40,,,,,,,,
56.33333333,,,,,,,,
68.66666667,,,,,,,,
