Category: All categories

Month,google careers: (United States)
2004-01,3
2004-02,3
2004-03,1
2004-04,9
2004-05,4
2004-06,6
2004-07,2
2004-08,5
2004-09,4
2004-10,4
2004-11,4
2004-12,2
2005-01,6
2005-02,4
2005-03,6
2005-04,4
2005-05,9
2005-06,3
2005-07,4
2005-08,7
2005-09,12
2005-10,11
2005-11,8
2005-12,8
2006-01,11
2006-02,10
2006-03,13
2006-04,10
2006-05,11
2006-06,8
2006-07,8
2006-08,12
2006-09,9
2006-10,14
2006-11,11
2006-12,11
2007-01,31
2007-02,21
2007-03,20
2007-04,19
2007-05,19
2007-06,20
2007-07,20
2007-08,22
2007-09,26
2007-10,27
2007-11,22
2007-12,23
2008-01,27
2008-02,20
2008-03,23
2008-04,21
2008-05,22
2008-06,21
2008-07,23
2008-08,23
2008-09,32
2008-10,24
2008-11,21
2008-12,19
2009-01,28
2009-02,27
2009-03,21
2009-04,21
2009-05,22
2009-06,25
2009-07,27
2009-08,29
2009-09,30
2009-10,30
2009-11,31
2009-12,27
2010-01,37
2010-02,34
2010-03,37
2010-04,34
2010-05,36
2010-06,33
2010-07,32
2010-08,27
2010-09,36
2010-10,37
2010-11,43
2010-12,30
2011-01,53
2011-02,44
2011-03,40
2011-04,43
2011-05,45
2011-06,45
2011-07,48
2011-08,46
2011-09,49
2011-10,47
2011-11,43
2011-12,35
2012-01,55
2012-02,45
2012-03,44
2012-04,46
2012-05,43
2012-06,43
2012-07,44
2012-08,53
2012-09,47
2012-10,59
2012-11,49
2012-12,42
2013-01,63
2013-02,59
2013-03,57
2013-04,67
2013-05,61
2013-06,66
2013-07,70
2013-08,72
2013-09,76
2013-10,84
2013-11,73
2013-12,61
2014-01,86
2014-02,77
2014-03,80
2014-04,86
2014-05,83
2014-06,89
2014-07,87
2014-08,85
2014-09,100
2014-10,90
2014-11,80
2014-12,75
2015-01,88
2015-02,76
2015-03,82
2015-04,81
2015-05,84
2015-06,84
2015-07,80
2015-08,92
2015-09,94
2015-10,87
2015-11,73
2015-12,67
2016-01,68
2016-02,68
2016-03,69
2016-04,66
2016-05,67
2016-06,65
2016-07,61
2016-08,66
2016-09,66
2016-10,66
2016-11,58
2016-12,54
2017-01,66
2017-02,62
2017-03,65
2017-04,67
2017-05,70
2017-06,70
2017-07,65
2017-08,76
2017-09,71
2017-10,74
2017-11,65
2017-12,55
2018-01,75
2018-02,71
2018-03,67
2018-04,69
2018-05,67
2018-06,61
2018-07,62
2018-08,66
2018-09,75
2018-10,75
2018-11,57
2018-12,49
2019-01,67
2019-02,60
2019-03,57
2019-04,57
2019-05,64
2019-06,62
2019-07,57
2019-08,62
2019-09,70
2019-10,72
2019-11,56
2019-12,45
2020-01,62
2020-02,60
2020-03,46
2020-04,48
2020-05,51
2020-06,46
2020-07,51
2020-08,52
2020-09,58
2020-10,41
2020-11,32
2020-12,32
2021-01,34
2021-02,35
2021-03,35
2021-04,35
2021-05,35
2021-06,41
2021-07,38
2021-08,35
2021-09,41
2021-10,39
2021-11,38
2021-12,36
2022-01,47
2022-02,50
2022-03,47
2022-04,52
