Category: All categories

Month,government jobs: (United States)
2004-01,87
2004-02,85
2004-03,77
2004-04,83
2004-05,82
2004-06,88
2004-07,88
2004-08,87
2004-09,76
2004-10,74
2004-11,76
2004-12,65
2005-01,82
2005-02,73
2005-03,71
2005-04,65
2005-05,72
2005-06,73
2005-07,80
2005-08,72
2005-09,72
2005-10,58
2005-11,60
2005-12,54
2006-01,65
2006-02,59
2006-03,60
2006-04,58
2006-05,60
2006-06,62
2006-07,74
2006-08,69
2006-09,64
2006-10,62
2006-11,57
2006-12,51
2007-01,69
2007-02,62
2007-03,59
2007-04,60
2007-05,65
2007-06,65
2007-07,73
2007-08,72
2007-09,66
2007-10,67
2007-11,61
2007-12,53
2008-01,73
2008-02,64
2008-03,68
2008-04,68
2008-05,64
2008-06,72
2008-07,71
2008-08,70
2008-09,81
2008-10,79
2008-11,76
2008-12,73
2009-01,100
2009-02,97
2009-03,99
2009-04,81
2009-05,87
2009-06,93
2009-07,91
2009-08,87
2009-09,87
2009-10,79
2009-11,74
2009-12,68
2010-01,88
2010-02,82
2010-03,80
2010-04,77
2010-05,76
2010-06,78
2010-07,68
2010-08,69
2010-09,70
2010-10,70
2010-11,65
2010-12,57
2011-01,74
2011-02,68
2011-03,64
2011-04,60
2011-05,58
2011-06,60
2011-07,63
2011-08,63
2011-09,64
2011-10,62
2011-11,56
2011-12,51
2012-01,67
2012-02,57
2012-03,53
2012-04,50
2012-05,52
2012-06,52
2012-07,54
2012-08,52
2012-09,51
2012-10,50
2012-11,47
2012-12,42
2013-01,58
2013-02,48
2013-03,45
2013-04,46
2013-05,45
2013-06,45
2013-07,51
2013-08,47
2013-09,48
2013-10,60
2013-11,37
2013-12,35
2014-01,45
2014-02,44
2014-03,43
2014-04,43
2014-05,45
2014-06,47
2014-07,49
2014-08,46
2014-09,47
2014-10,45
2014-11,42
2014-12,39
2015-01,49
2015-02,44
2015-03,47
2015-04,47
2015-05,46
2015-06,50
2015-07,48
2015-08,46
2015-09,47
2015-10,44
2015-11,40
2015-12,39
2016-01,43
2016-02,44
2016-03,44
2016-04,41
2016-05,44
2016-06,41
2016-07,41
2016-08,44
2016-09,41
2016-10,40
2016-11,39
2016-12,35
2017-01,49
2017-02,41
2017-03,44
2017-04,40
2017-05,43
2017-06,43
2017-07,42
2017-08,45
2017-09,40
2017-10,45
2017-11,39
2017-12,35
2018-01,56
2018-02,44
2018-03,44
2018-04,44
2018-05,45
2018-06,46
2018-07,47
2018-08,52
2018-09,48
2018-10,49
2018-11,39
2018-12,38
2019-01,67
2019-02,43
2019-03,42
2019-04,42
2019-05,43
2019-06,43
2019-07,47
2019-08,48
2019-09,45
2019-10,46
2019-11,37
2019-12,35
2020-01,53
2020-02,49
2020-03,41
2020-04,29
2020-05,30
2020-06,33
2020-07,31
2020-08,30
2020-09,30
2020-10,30
2020-11,27
2020-12,26
2021-01,29
2021-02,29
2021-03,28
2021-04,29
2021-05,30
2021-06,31
2021-07,31
2021-08,31
2021-09,31
2021-10,31
2021-11,29
2021-12,27
2022-01,31
2022-02,32
2022-03,33
2022-04,33
