Category: All categories

Month,handshake: (United States)
2004-01,13
2004-02,12
2004-03,9
2004-04,10
2004-05,14
2004-06,10
2004-07,9
2004-08,12
2004-09,13
2004-10,14
2004-11,11
2004-12,10
2005-01,12
2005-02,12
2005-03,9
2005-04,10
2005-05,10
2005-06,10
2005-07,14
2005-08,10
2005-09,10
2005-10,10
2005-11,11
2005-12,10
2006-01,10
2006-02,15
2006-03,11
2006-04,12
2006-05,12
2006-06,9
2006-07,7
2006-08,9
2006-09,11
2006-10,10
2006-11,10
2006-12,10
2007-01,11
2007-02,9
2007-03,13
2007-04,15
2007-05,15
2007-06,15
2007-07,11
2007-08,11
2007-09,16
2007-10,13
2007-11,16
2007-12,14
2008-01,14
2008-02,13
2008-03,12
2008-04,17
2008-05,19
2008-06,18
2008-07,17
2008-08,15
2008-09,15
2008-10,17
2008-11,16
2008-12,13
2009-01,14
2009-02,13
2009-03,13
2009-04,19
2009-05,16
2009-06,16
2009-07,20
2009-08,16
2009-09,17
2009-10,18
2009-11,16
2009-12,15
2010-01,16
2010-02,16
2010-03,16
2010-04,17
2010-05,16
2010-06,13
2010-07,13
2010-08,14
2010-09,14
2010-10,14
2010-11,16
2010-12,12
2011-01,14
2011-02,12
2011-03,11
2011-04,13
2011-05,12
2011-06,13
2011-07,11
2011-08,11
2011-09,13
2011-10,20
2011-11,15
2011-12,12
2012-01,14
2012-02,16
2012-03,14
2012-04,14
2012-05,14
2012-06,12
2012-07,11
2012-08,13
2012-09,17
2012-10,14
2012-11,12
2012-12,15
2013-01,13
2013-02,14
2013-03,14
2013-04,16
2013-05,15
2013-06,13
2013-07,13
2013-08,13
2013-09,17
2013-10,16
2013-11,14
2013-12,16
2014-01,14
2014-02,13
2014-03,15
2014-04,14
2014-05,19
2014-06,13
2014-07,14
2014-08,13
2014-09,14
2014-10,16
2014-11,19
2014-12,15
2015-01,17
2015-02,16
2015-03,16
2015-04,16
2015-05,15
2015-06,17
2015-07,15
2015-08,17
2015-09,27
2015-10,25
2015-11,24
2015-12,18
2016-01,22
2016-02,24
2016-03,21
2016-04,22
2016-05,21
2016-06,19
2016-07,18
2016-08,24
2016-09,38
2016-10,35
2016-11,29
2016-12,25
2017-01,29
2017-02,87
2017-03,41
2017-04,28
2017-05,39
2017-06,26
2017-07,37
2017-08,34
2017-09,65
2017-10,52
2017-11,37
2017-12,28
2018-01,39
2018-02,51
2018-03,37
2018-04,37
2018-05,30
2018-06,32
2018-07,33
2018-08,51
2018-09,89
2018-10,66
2018-11,42
2018-12,33
2019-01,51
2019-02,57
2019-03,42
2019-04,45
2019-05,35
2019-06,32
2019-07,35
2019-08,59
2019-09,100
2019-10,81
2019-11,54
2019-12,37
2020-01,67
2020-02,82
2020-03,51
2020-04,36
2020-05,33
2020-06,30
2020-07,31
2020-08,46
2020-09,78
2020-10,51
2020-11,29
2020-12,25
2021-01,34
2021-02,43
2021-03,39
2021-04,35
2021-05,29
2021-06,27
2021-07,28
2021-08,33
2021-09,63
2021-10,43
2021-11,34
2021-12,29
2022-01,39
2022-02,52
2022-03,46
2022-04,45
