Category: All categories

Month,higher ed jobs: (United States)
2004-01,27
2004-02,24
2004-03,31
2004-04,19
2004-05,40
2004-06,22
2004-07,27
2004-08,21
2004-09,20
2004-10,24
2004-11,27
2004-12,28
2005-01,23
2005-02,19
2005-03,26
2005-04,31
2005-05,24
2005-06,23
2005-07,28
2005-08,25
2005-09,29
2005-10,32
2005-11,29
2005-12,25
2006-01,32
2006-02,37
2006-03,33
2006-04,26
2006-05,29
2006-06,34
2006-07,27
2006-08,32
2006-09,33
2006-10,34
2006-11,35
2006-12,27
2007-01,37
2007-02,33
2007-03,41
2007-04,36
2007-05,44
2007-06,42
2007-07,36
2007-08,39
2007-09,40
2007-10,42
2007-11,34
2007-12,34
2008-01,45
2008-02,41
2008-03,43
2008-04,50
2008-05,44
2008-06,54
2008-07,49
2008-08,49
2008-09,64
2008-10,54
2008-11,57
2008-12,57
2009-01,61
2009-02,71
2009-03,68
2009-04,63
2009-05,62
2009-06,73
2009-07,70
2009-08,71
2009-09,77
2009-10,81
2009-11,83
2009-12,69
2010-01,86
2010-02,83
2010-03,91
2010-04,80
2010-05,88
2010-06,89
2010-07,78
2010-08,76
2010-09,73
2010-10,75
2010-11,76
2010-12,66
2011-01,83
2011-02,89
2011-03,94
2011-04,89
2011-05,86
2011-06,86
2011-07,98
2011-08,95
2011-09,96
2011-10,86
2011-11,86
2011-12,79
2012-01,95
2012-02,97
2012-03,99
2012-04,100
2012-05,92
2012-06,90
2012-07,99
2012-08,89
2012-09,86
2012-10,94
2012-11,82
2012-12,72
2013-01,94
2013-02,95
2013-03,96
2013-04,96
2013-05,92
2013-06,89
2013-07,99
2013-08,93
2013-09,90
2013-10,88
2013-11,77
2013-12,74
2014-01,90
2014-02,80
2014-03,80
2014-04,80
2014-05,80
2014-06,81
2014-07,78
2014-08,73
2014-09,74
2014-10,74
2014-11,70
2014-12,67
2015-01,69
2015-02,65
2015-03,73
2015-04,73
2015-05,70
2015-06,71
2015-07,71
2015-08,68
2015-09,68
2015-10,64
2015-11,55
2015-12,52
2016-01,45
2016-02,46
2016-03,54
2016-04,54
2016-05,52
2016-06,47
2016-07,40
2016-08,45
2016-09,42
2016-10,38
2016-11,36
2016-12,35
2017-01,46
2017-02,47
2017-03,49
2017-04,45
2017-05,47
2017-06,45
2017-07,45
2017-08,42
2017-09,46
2017-10,48
2017-11,40
2017-12,36
2018-01,45
2018-02,49
2018-03,46
2018-04,50
2018-05,48
2018-06,46
2018-07,41
2018-08,45
2018-09,45
2018-10,45
2018-11,40
2018-12,35
2019-01,44
2019-02,38
2019-03,39
2019-04,44
2019-05,44
2019-06,41
2019-07,47
2019-08,44
2019-09,45
2019-10,44
2019-11,37
2019-12,35
2020-01,41
2020-02,45
2020-03,31
2020-04,29
2020-05,31
2020-06,33
2020-07,34
2020-08,34
2020-09,32
2020-10,30
2020-11,27
2020-12,26
2021-01,29
2021-02,31
2021-03,31
2021-04,31
2021-05,30
2021-06,30
2021-07,29
2021-08,27
2021-09,28
2021-10,26
2021-11,27
2021-12,25
2022-01,29
2022-02,28
2022-03,27
2022-04,26
2022-05,0
