Category: All categories

Month,indeed jobs: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,<1
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,1
2006-09,<1
2006-10,1
2006-11,<1
2006-12,1
2007-01,1
2007-02,1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,2
2007-09,2
2007-10,2
2007-11,2
2007-12,2
2008-01,2
2008-02,2
2008-03,3
2008-04,3
2008-05,3
2008-06,4
2008-07,3
2008-08,4
2008-09,3
2008-10,4
2008-11,4
2008-12,4
2009-01,4
2009-02,4
2009-03,5
2009-04,5
2009-05,5
2009-06,5
2009-07,5
2009-08,6
2009-09,6
2009-10,6
2009-11,5
2009-12,6
2010-01,7
2010-02,7
2010-03,7
2010-04,7
2010-05,8
2010-06,11
2010-07,16
2010-08,17
2010-09,20
2010-10,18
2010-11,13
2010-12,12
2011-01,17
2011-02,16
2011-03,17
2011-04,16
2011-05,17
2011-06,20
2011-07,24
2011-08,25
2011-09,19
2011-10,18
2011-11,17
2011-12,14
2012-01,20
2012-02,19
2012-03,18
2012-04,19
2012-05,21
2012-06,21
2012-07,24
2012-08,26
2012-09,24
2012-10,25
2012-11,22
2012-12,19
2013-01,28
2013-02,31
2013-03,35
2013-04,29
2013-05,28
2013-06,39
2013-07,41
2013-08,36
2013-09,32
2013-10,28
2013-11,36
2013-12,25
2014-01,30
2014-02,44
2014-03,33
2014-04,44
2014-05,40
2014-06,32
2014-07,40
2014-08,43
2014-09,33
2014-10,53
2014-11,29
2014-12,25
2015-01,32
2015-02,38
2015-03,42
2015-04,32
2015-05,46
2015-06,42
2015-07,38
2015-08,57
2015-09,37
2015-10,35
2015-11,33
2015-12,31
2016-01,37
2016-02,35
2016-03,38
2016-04,34
2016-05,39
2016-06,42
2016-07,43
2016-08,41
2016-09,39
2016-10,36
2016-11,33
2016-12,32
2017-01,42
2017-02,37
2017-03,44
2017-04,56
2017-05,47
2017-06,50
2017-07,45
2017-08,62
2017-09,42
2017-10,43
2017-11,48
2017-12,50
2018-01,69
2018-02,47
2018-03,53
2018-04,59
2018-05,45
2018-06,57
2018-07,55
2018-08,54
2018-09,49
2018-10,44
2018-11,45
2018-12,52
2019-01,68
2019-02,62
2019-03,57
2019-04,69
2019-05,68
2019-06,79
2019-07,79
2019-08,80
2019-09,77
2019-10,78
2019-11,69
2019-12,61
2020-01,75
2020-02,74
2020-03,58
2020-04,43
2020-05,51
2020-06,64
2020-07,64
2020-08,60
2020-09,61
2020-10,68
2020-11,60
2020-12,55
2021-01,63
2021-02,74
2021-03,68
2021-04,70
2021-05,76
2021-06,87
2021-07,88
2021-08,92
2021-09,90
2021-10,88
2021-11,83
2021-12,78
2022-01,100
2022-02,93
2022-03,96
2022-04,96
