Category: All categories

Month,jobs hiring: (United States)
2004-01,5
2004-02,3
2004-03,6
2004-04,4
2004-05,4
2004-06,6
2004-07,4
2004-08,5
2004-09,4
2004-10,3
2004-11,3
2004-12,4
2005-01,4
2005-02,4
2005-03,4
2005-04,4
2005-05,6
2005-06,5
2005-07,4
2005-08,4
2005-09,4
2005-10,4
2005-11,3
2005-12,3
2006-01,4
2006-02,4
2006-03,4
2006-04,5
2006-05,7
2006-06,5
2006-07,6
2006-08,5
2006-09,4
2006-10,4
2006-11,4
2006-12,3
2007-01,5
2007-02,4
2007-03,5
2007-04,5
2007-05,6
2007-06,8
2007-07,6
2007-08,7
2007-09,6
2007-10,6
2007-11,7
2007-12,6
2008-01,8
2008-02,7
2008-03,7
2008-04,9
2008-05,10
2008-06,12
2008-07,11
2008-08,10
2008-09,10
2008-10,10
2008-11,11
2008-12,11
2009-01,15
2009-02,14
2009-03,15
2009-04,15
2009-05,19
2009-06,22
2009-07,21
2009-08,20
2009-09,19
2009-10,19
2009-11,19
2009-12,17
2010-01,23
2010-02,20
2010-03,22
2010-04,23
2010-05,25
2010-06,29
2010-07,26
2010-08,23
2010-09,22
2010-10,20
2010-11,22
2010-12,19
2011-01,27
2011-02,24
2011-03,23
2011-04,24
2011-05,28
2011-06,34
2011-07,31
2011-08,32
2011-09,30
2011-10,26
2011-11,24
2011-12,23
2012-01,35
2012-02,26
2012-03,27
2012-04,32
2012-05,41
2012-06,45
2012-07,41
2012-08,41
2012-09,38
2012-10,38
2012-11,36
2012-12,32
2013-01,46
2013-02,38
2013-03,39
2013-04,45
2013-05,51
2013-06,57
2013-07,57
2013-08,55
2013-09,50
2013-10,50
2013-11,46
2013-12,44
2014-01,61
2014-02,47
2014-03,49
2014-04,54
2014-05,58
2014-06,63
2014-07,58
2014-08,55
2014-09,55
2014-10,51
2014-11,46
2014-12,42
2015-01,55
2015-02,42
2015-03,46
2015-04,47
2015-05,53
2015-06,59
2015-07,57
2015-08,54
2015-09,49
2015-10,46
2015-11,43
2015-12,41
2016-01,59
2016-02,50
2016-03,50
2016-04,53
2016-05,59
2016-06,64
2016-07,60
2016-08,57
2016-09,53
2016-10,48
2016-11,46
2016-12,46
2017-01,61
2017-02,51
2017-03,49
2017-04,49
2017-05,59
2017-06,67
2017-07,66
2017-08,66
2017-09,61
2017-10,59
2017-11,58
2017-12,52
2018-01,71
2018-02,58
2018-03,56
2018-04,61
2018-05,70
2018-06,79
2018-07,75
2018-08,74
2018-09,69
2018-10,69
2018-11,66
2018-12,63
2019-01,83
2019-02,68
2019-03,66
2019-04,70
2019-05,84
2019-06,98
2019-07,88
2019-08,92
2019-09,84
2019-10,85
2019-11,81
2019-12,74
2020-01,100
2020-02,79
2020-03,75
2020-04,64
2020-05,82
2020-06,100
2020-07,97
2020-08,89
2020-09,84
2020-10,87
2020-11,84
2020-12,83
2021-01,89
2021-02,80
2021-03,69
2021-04,66
2021-05,80
2021-06,93
2021-07,86
2021-08,86
2021-09,84
2021-10,81
2021-11,81
2021-12,76
2022-01,89
2022-02,81
2022-03,80
2022-04,81
2022-05,0
