Category: All categories

Month,jobs: (United States)
2004-01,56
2004-02,51
2004-03,53
2004-04,54
2004-05,55
2004-06,58
2004-07,56
2004-08,53
2004-09,49
2004-10,48
2004-11,46
2004-12,43
2005-01,52
2005-02,49
2005-03,49
2005-04,48
2005-05,51
2005-06,54
2005-07,50
2005-08,50
2005-09,48
2005-10,46
2005-11,42
2005-12,39
2006-01,51
2006-02,45
2006-03,48
2006-04,47
2006-05,49
2006-06,50
2006-07,50
2006-08,51
2006-09,47
2006-10,45
2006-11,42
2006-12,38
2007-01,53
2007-02,48
2007-03,46
2007-04,50
2007-05,52
2007-06,54
2007-07,56
2007-08,54
2007-09,52
2007-10,52
2007-11,47
2007-12,42
2008-01,57
2008-02,51
2008-03,53
2008-04,57
2008-05,58
2008-06,62
2008-07,61
2008-08,58
2008-09,63
2008-10,60
2008-11,60
2008-12,57
2009-01,75
2009-02,65
2009-03,65
2009-04,62
2009-05,65
2009-06,70
2009-07,68
2009-08,68
2009-09,66
2009-10,63
2009-11,59
2009-12,55
2010-01,71
2010-02,65
2010-03,65
2010-04,66
2010-05,65
2010-06,71
2010-07,65
2010-08,63
2010-09,60
2010-10,58
2010-11,54
2010-12,49
2011-01,69
2011-02,64
2011-03,66
2011-04,65
2011-05,69
2011-06,71
2011-07,70
2011-08,76
2011-09,68
2011-10,100
2011-11,61
2011-12,52
2012-01,66
2012-02,60
2012-03,61
2012-04,64
2012-05,66
2012-06,66
2012-07,66
2012-08,70
2012-09,64
2012-10,65
2012-11,57
2012-12,49
2013-01,67
2013-02,60
2013-03,59
2013-04,65
2013-05,66
2013-06,68
2013-07,69
2013-08,70
2013-09,64
2013-10,62
2013-11,58
2013-12,52
2014-01,69
2014-02,61
2014-03,62
2014-04,66
2014-05,66
2014-06,69
2014-07,70
2014-08,65
2014-09,64
2014-10,60
2014-11,56
2014-12,53
2015-01,65
2015-02,58
2015-03,63
2015-04,64
2015-05,64
2015-06,68
2015-07,67
2015-08,69
2015-09,64
2015-10,62
2015-11,54
2015-12,52
2016-01,66
2016-02,63
2016-03,63
2016-04,59
2016-05,65
2016-06,65
2016-07,63
2016-08,64
2016-09,63
2016-10,60
2016-11,56
2016-12,52
2017-01,65
2017-02,58
2017-03,62
2017-04,61
2017-05,65
2017-06,69
2017-07,68
2017-08,71
2017-09,65
2017-10,64
2017-11,57
2017-12,53
2018-01,68
2018-02,62
2018-03,62
2018-04,64
2018-05,67
2018-06,68
2018-07,69
2018-08,72
2018-09,67
2018-10,65
2018-11,59
2018-12,54
2019-01,71
2019-02,65
2019-03,63
2019-04,64
2019-05,67
2019-06,71
2019-07,72
2019-08,72
2019-09,66
2019-10,64
2019-11,60
2019-12,58
2020-01,74
2020-02,65
2020-03,55
2020-04,47
2020-05,54
2020-06,61
2020-07,59
2020-08,60
2020-09,57
2020-10,57
2020-11,50
2020-12,49
2021-01,55
2021-02,55
2021-03,51
2021-04,53
2021-05,56
2021-06,61
2021-07,61
2021-08,62
2021-09,59
2021-10,58
2021-11,55
2021-12,53
2022-01,62
2022-02,60
2022-03,58
2022-04,60
