Category: All categories

Month,microsoft careers: (United States)
2004-01,17
2004-02,33
2004-03,14
2004-04,11
2004-05,10
2004-06,35
2004-07,15
2004-08,14
2004-09,22
2004-10,23
2004-11,19
2004-12,21
2005-01,40
2005-02,19
2005-03,36
2005-04,22
2005-05,17
2005-06,24
2005-07,13
2005-08,22
2005-09,21
2005-10,38
2005-11,23
2005-12,29
2006-01,38
2006-02,29
2006-03,24
2006-04,32
2006-05,15
2006-06,28
2006-07,31
2006-08,35
2006-09,35
2006-10,39
2006-11,32
2006-12,17
2007-01,31
2007-02,35
2007-03,44
2007-04,54
2007-05,49
2007-06,43
2007-07,52
2007-08,53
2007-09,61
2007-10,59
2007-11,59
2007-12,57
2008-01,59
2008-02,71
2008-03,52
2008-04,66
2008-05,61
2008-06,64
2008-07,63
2008-08,60
2008-09,66
2008-10,57
2008-11,52
2008-12,53
2009-01,69
2009-02,52
2009-03,49
2009-04,45
2009-05,46
2009-06,52
2009-07,72
2009-08,56
2009-09,85
2009-10,80
2009-11,57
2009-12,52
2010-01,65
2010-02,80
2010-03,66
2010-04,65
2010-05,78
2010-06,78
2010-07,59
2010-08,61
2010-09,58
2010-10,63
2010-11,52
2010-12,51
2011-01,75
2011-02,74
2011-03,79
2011-04,77
2011-05,71
2011-06,75
2011-07,72
2011-08,68
2011-09,72
2011-10,74
2011-11,58
2011-12,54
2012-01,73
2012-02,60
2012-03,59
2012-04,60
2012-05,63
2012-06,62
2012-07,59
2012-08,63
2012-09,74
2012-10,71
2012-11,55
2012-12,49
2013-01,70
2013-02,74
2013-03,59
2013-04,66
2013-05,62
2013-06,66
2013-07,65
2013-08,63
2013-09,70
2013-10,73
2013-11,65
2013-12,52
2014-01,71
2014-02,64
2014-03,76
2014-04,72
2014-05,73
2014-06,69
2014-07,69
2014-08,60
2014-09,74
2014-10,76
2014-11,62
2014-12,46
2015-01,68
2015-02,80
2015-03,73
2015-04,69
2015-05,65
2015-06,76
2015-07,69
2015-08,82
2015-09,79
2015-10,79
2015-11,67
2015-12,49
2016-01,53
2016-02,65
2016-03,52
2016-04,53
2016-05,46
2016-06,54
2016-07,57
2016-08,65
2016-09,58
2016-10,62
2016-11,53
2016-12,51
2017-01,68
2017-02,72
2017-03,75
2017-04,72
2017-05,61
2017-06,66
2017-07,68
2017-08,78
2017-09,91
2017-10,80
2017-11,64
2017-12,54
2018-01,73
2018-02,67
2018-03,65
2018-04,67
2018-05,67
2018-06,68
2018-07,61
2018-08,73
2018-09,84
2018-10,81
2018-11,64
2018-12,52
2019-01,70
2019-02,72
2019-03,64
2019-04,65
2019-05,65
2019-06,67
2019-07,82
2019-08,79
2019-09,91
2019-10,96
2019-11,79
2019-12,60
2020-01,84
2020-02,100
2020-03,75
2020-04,71
2020-05,65
2020-06,76
2020-07,79
2020-08,100
2020-09,98
2020-10,86
2020-11,65
2020-12,52
2021-01,66
2021-02,59
2021-03,57
2021-04,68
2021-05,61
2021-06,67
2021-07,70
2021-08,68
2021-09,75
2021-10,64
2021-11,64
2021-12,56
2022-01,78
2022-02,76
2022-03,81
2022-04,77
2022-05,0
