Category: All categories

Month,monster jobs: (United States)
2004-01,83
2004-02,70
2004-03,73
2004-04,68
2004-05,85
2004-06,86
2004-07,86
2004-08,78
2004-09,72
2004-10,66
2004-11,67
2004-12,62
2005-01,79
2005-02,72
2005-03,70
2005-04,71
2005-05,75
2005-06,74
2005-07,71
2005-08,74
2005-09,70
2005-10,66
2005-11,62
2005-12,58
2006-01,81
2006-02,67
2006-03,63
2006-04,67
2006-05,74
2006-06,70
2006-07,69
2006-08,74
2006-09,69
2006-10,72
2006-11,65
2006-12,56
2007-01,84
2007-02,70
2007-03,70
2007-04,71
2007-05,75
2007-06,80
2007-07,80
2007-08,85
2007-09,77
2007-10,73
2007-11,73
2007-12,66
2008-01,93
2008-02,79
2008-03,72
2008-04,77
2008-05,76
2008-06,72
2008-07,72
2008-08,67
2008-09,60
2008-10,57
2008-11,55
2008-12,48
2009-01,66
2009-02,62
2009-03,59
2009-04,52
2009-05,55
2009-06,58
2009-07,55
2009-08,51
2009-09,76
2009-10,100
2009-11,74
2009-12,37
2010-01,45
2010-02,37
2010-03,46
2010-04,54
2010-05,57
2010-06,55
2010-07,38
2010-08,61
2010-09,54
2010-10,55
2010-11,50
2010-12,47
2011-01,68
2011-02,64
2011-03,63
2011-04,61
2011-05,61
2011-06,64
2011-07,60
2011-08,60
2011-09,56
2011-10,51
2011-11,44
2011-12,40
2012-01,53
2012-02,48
2012-03,47
2012-04,49
2012-05,53
2012-06,53
2012-07,52
2012-08,48
2012-09,47
2012-10,46
2012-11,40
2012-12,36
2013-01,49
2013-02,42
2013-03,40
2013-04,41
2013-05,42
2013-06,43
2013-07,45
2013-08,44
2013-09,42
2013-10,42
2013-11,36
2013-12,34
2014-01,44
2014-02,41
2014-03,39
2014-04,39
2014-05,41
2014-06,42
2014-07,42
2014-08,40
2014-09,39
2014-10,36
2014-11,32
2014-12,30
2015-01,36
2015-02,31
2015-03,33
2015-04,34
2015-05,33
2015-06,35
2015-07,38
2015-08,36
2015-09,34
2015-10,30
2015-11,26
2015-12,24
2016-01,28
2016-02,26
2016-03,24
2016-04,25
2016-05,26
2016-06,26
2016-07,25
2016-08,25
2016-09,22
2016-10,20
2016-11,19
2016-12,18
2017-01,24
2017-02,20
2017-03,19
2017-04,18
2017-05,20
2017-06,21
2017-07,19
2017-08,20
2017-09,18
2017-10,17
2017-11,15
2017-12,13
2018-01,18
2018-02,16
2018-03,14
2018-04,14
2018-05,14
2018-06,14
2018-07,15
2018-08,16
2018-09,13
2018-10,13
2018-11,10
2018-12,10
2019-01,15
2019-02,14
2019-03,12
2019-04,12
2019-05,13
2019-06,15
2019-07,14
2019-08,12
2019-09,11
2019-10,10
2019-11,8
2019-12,8
2020-01,11
2020-02,9
2020-03,7
2020-04,5
2020-05,7
2020-06,8
2020-07,8
2020-08,7
2020-09,7
2020-10,7
2020-11,5
2020-12,5
2021-01,6
2021-02,6
2021-03,6
2021-04,5
2021-05,5
2021-06,6
2021-07,6
2021-08,6
2021-09,6
2021-10,6
2021-11,5
2021-12,4
2022-01,6
2022-02,6
2022-03,6
2022-04,6
2022-05,0
