Category: All categories

Month,part time jobs: (United States)
2004-01,27
2004-02,25
2004-03,20
2004-04,22
2004-05,24
2004-06,26
2004-07,24
2004-08,28
2004-09,26
2004-10,21
2004-11,20
2004-12,19
2005-01,27
2005-02,22
2005-03,22
2005-04,19
2005-05,23
2005-06,26
2005-07,24
2005-08,27
2005-09,28
2005-10,24
2005-11,22
2005-12,18
2006-01,24
2006-02,23
2006-03,20
2006-04,21
2006-05,26
2006-06,28
2006-07,28
2006-08,30
2006-09,28
2006-10,24
2006-11,21
2006-12,19
2007-01,31
2007-02,23
2007-03,24
2007-04,25
2007-05,29
2007-06,34
2007-07,32
2007-08,33
2007-09,33
2007-10,34
2007-11,29
2007-12,24
2008-01,41
2008-02,31
2008-03,34
2008-04,36
2008-05,39
2008-06,42
2008-07,41
2008-08,44
2008-09,47
2008-10,46
2008-11,40
2008-12,35
2009-01,48
2009-02,41
2009-03,39
2009-04,35
2009-05,41
2009-06,46
2009-07,42
2009-08,45
2009-09,45
2009-10,41
2009-11,36
2009-12,30
2010-01,44
2010-02,34
2010-03,35
2010-04,37
2010-05,42
2010-06,43
2010-07,39
2010-08,41
2010-09,39
2010-10,35
2010-11,32
2010-12,26
2011-01,39
2011-02,36
2011-03,34
2011-04,34
2011-05,36
2011-06,40
2011-07,37
2011-08,40
2011-09,38
2011-10,34
2011-11,31
2011-12,27
2012-01,39
2012-02,30
2012-03,29
2012-04,32
2012-05,38
2012-06,39
2012-07,39
2012-08,46
2012-09,41
2012-10,39
2012-11,31
2012-12,28
2013-01,50
2013-02,36
2013-03,37
2013-04,41
2013-05,46
2013-06,47
2013-07,50
2013-08,55
2013-09,50
2013-10,47
2013-11,37
2013-12,31
2014-01,52
2014-02,40
2014-03,43
2014-04,44
2014-05,48
2014-06,51
2014-07,51
2014-08,55
2014-09,51
2014-10,45
2014-11,38
2014-12,33
2015-01,52
2015-02,39
2015-03,42
2015-04,44
2015-05,49
2015-06,54
2015-07,50
2015-08,56
2015-09,53
2015-10,47
2015-11,39
2015-12,36
2016-01,57
2016-02,50
2016-03,47
2016-04,50
2016-05,55
2016-06,58
2016-07,55
2016-08,59
2016-09,56
2016-10,52
2016-11,45
2016-12,42
2017-01,63
2017-02,53
2017-03,50
2017-04,52
2017-05,61
2017-06,67
2017-07,68
2017-08,75
2017-09,70
2017-10,70
2017-11,62
2017-12,54
2018-01,80
2018-02,67
2018-03,65
2018-04,68
2018-05,73
2018-06,80
2018-07,82
2018-08,89
2018-09,83
2018-10,79
2018-11,71
2018-12,65
2019-01,93
2019-02,76
2019-03,71
2019-04,77
2019-05,83
2019-06,90
2019-07,90
2019-08,93
2019-09,88
2019-10,84
2019-11,73
2019-12,72
2020-01,100
2020-02,85
2020-03,58
2020-04,35
2020-05,54
2020-06,70
2020-07,64
2020-08,69
2020-09,64
2020-10,65
2020-11,59
2020-12,55
2021-01,65
2021-02,62
2021-03,52
2021-04,54
2021-05,65
2021-06,70
2021-07,71
2021-08,76
2021-09,75
2021-10,74
2021-11,68
2021-12,62
2022-01,82
2022-02,75
2022-03,76
2022-04,74
