Category: All categories

Month,part time: (United States)
2004-01,34
2004-02,31
2004-03,29
2004-04,30
2004-05,31
2004-06,36
2004-07,33
2004-08,38
2004-09,36
2004-10,31
2004-11,27
2004-12,25
2005-01,35
2005-02,29
2005-03,29
2005-04,26
2005-05,30
2005-06,31
2005-07,30
2005-08,31
2005-09,31
2005-10,29
2005-11,28
2005-12,24
2006-01,32
2006-02,31
2006-03,28
2006-04,28
2006-05,32
2006-06,34
2006-07,34
2006-08,37
2006-09,36
2006-10,32
2006-11,28
2006-12,25
2007-01,37
2007-02,32
2007-03,32
2007-04,32
2007-05,35
2007-06,40
2007-07,40
2007-08,44
2007-09,42
2007-10,40
2007-11,38
2007-12,34
2008-01,47
2008-02,41
2008-03,41
2008-04,43
2008-05,46
2008-06,48
2008-07,47
2008-08,51
2008-09,48
2008-10,47
2008-11,45
2008-12,40
2009-01,50
2009-02,46
2009-03,43
2009-04,42
2009-05,44
2009-06,47
2009-07,45
2009-08,47
2009-09,46
2009-10,43
2009-11,40
2009-12,37
2010-01,50
2010-02,39
2010-03,40
2010-04,41
2010-05,45
2010-06,46
2010-07,44
2010-08,49
2010-09,44
2010-10,39
2010-11,37
2010-12,32
2011-01,53
2011-02,46
2011-03,48
2011-04,48
2011-05,51
2011-06,55
2011-07,55
2011-08,56
2011-09,53
2011-10,48
2011-11,47
2011-12,38
2012-01,54
2012-02,45
2012-03,44
2012-04,49
2012-05,53
2012-06,54
2012-07,53
2012-08,58
2012-09,55
2012-10,53
2012-11,50
2012-12,41
2013-01,60
2013-02,50
2013-03,50
2013-04,53
2013-05,56
2013-06,55
2013-07,58
2013-08,64
2013-09,59
2013-10,56
2013-11,49
2013-12,44
2014-01,63
2014-02,54
2014-03,53
2014-04,56
2014-05,60
2014-06,61
2014-07,61
2014-08,64
2014-09,62
2014-10,57
2014-11,54
2014-12,49
2015-01,63
2015-02,57
2015-03,58
2015-04,59
2015-05,60
2015-06,64
2015-07,63
2015-08,67
2015-09,64
2015-10,60
2015-11,59
2015-12,51
2016-01,66
2016-02,62
2016-03,59
2016-04,61
2016-05,66
2016-06,66
2016-07,62
2016-08,67
2016-09,66
2016-10,64
2016-11,61
2016-12,54
2017-01,72
2017-02,67
2017-03,62
2017-04,68
2017-05,71
2017-06,73
2017-07,75
2017-08,81
2017-09,76
2017-10,80
2017-11,69
2017-12,60
2018-01,83
2018-02,74
2018-03,73
2018-04,77
2018-05,78
2018-06,83
2018-07,85
2018-08,91
2018-09,88
2018-10,84
2018-11,75
2018-12,71
2019-01,94
2019-02,83
2019-03,79
2019-04,83
2019-05,88
2019-06,91
2019-07,88
2019-08,94
2019-09,92
2019-10,88
2019-11,78
2019-12,75
2020-01,100
2020-02,86
2020-03,75
2020-04,64
2020-05,72
2020-06,82
2020-07,73
2020-08,74
2020-09,77
2020-10,77
2020-11,68
2020-12,65
2021-01,72
2021-02,71
2021-03,66
2021-04,67
2021-05,76
2021-06,82
2021-07,78
2021-08,80
2021-09,83
2021-10,82
2021-11,77
2021-12,71
2022-01,89
2022-02,83
2022-03,85
2022-04,83
2022-05,0
