Category: All categories

Month,software engineer: (United States)
2004-01,38
2004-02,33
2004-03,28
2004-04,29
2004-05,33
2004-06,29
2004-07,37
2004-08,37
2004-09,32
2004-10,31
2004-11,32
2004-12,31
2005-01,33
2005-02,29
2005-03,31
2005-04,26
2005-05,31
2005-06,29
2005-07,23
2005-08,31
2005-09,24
2005-10,26
2005-11,27
2005-12,20
2006-01,27
2006-02,25
2006-03,27
2006-04,31
2006-05,27
2006-06,28
2006-07,23
2006-08,21
2006-09,28
2006-10,23
2006-11,25
2006-12,18
2007-01,28
2007-02,22
2007-03,23
2007-04,22
2007-05,26
2007-06,21
2007-07,22
2007-08,21
2007-09,26
2007-10,27
2007-11,22
2007-12,20
2008-01,25
2008-02,25
2008-03,27
2008-04,28
2008-05,26
2008-06,26
2008-07,22
2008-08,22
2008-09,29
2008-10,23
2008-11,21
2008-12,18
2009-01,26
2009-02,24
2009-03,23
2009-04,19
2009-05,23
2009-06,22
2009-07,22
2009-08,23
2009-09,24
2009-10,26
2009-11,25
2009-12,23
2010-01,27
2010-02,28
2010-03,28
2010-04,24
2010-05,28
2010-06,23
2010-07,22
2010-08,26
2010-09,31
2010-10,26
2010-11,28
2010-12,25
2011-01,30
2011-02,32
2011-03,32
2011-04,32
2011-05,29
2011-06,31
2011-07,30
2011-08,30
2011-09,32
2011-10,31
2011-11,29
2011-12,28
2012-01,32
2012-02,33
2012-03,30
2012-04,35
2012-05,29
2012-06,29
2012-07,29
2012-08,31
2012-09,32
2012-10,32
2012-11,29
2012-12,25
2013-01,32
2013-02,31
2013-03,32
2013-04,33
2013-05,32
2013-06,31
2013-07,31
2013-08,36
2013-09,32
2013-10,37
2013-11,32
2013-12,28
2014-01,37
2014-02,39
2014-03,37
2014-04,38
2014-05,37
2014-06,36
2014-07,36
2014-08,37
2014-09,44
2014-10,41
2014-11,36
2014-12,34
2015-01,41
2015-02,45
2015-03,45
2015-04,47
2015-05,43
2015-06,45
2015-07,45
2015-08,50
2015-09,54
2015-10,50
2015-11,44
2015-12,39
2016-01,46
2016-02,47
2016-03,47
2016-04,45
2016-05,45
2016-06,41
2016-07,41
2016-08,43
2016-09,48
2016-10,51
2016-11,49
2016-12,47
2017-01,53
2017-02,61
2017-03,58
2017-04,57
2017-05,58
2017-06,55
2017-07,57
2017-08,59
2017-09,63
2017-10,65
2017-11,58
2017-12,52
2018-01,60
2018-02,65
2018-03,64
2018-04,61
2018-05,62
2018-06,61
2018-07,61
2018-08,73
2018-09,75
2018-10,76
2018-11,70
2018-12,60
2019-01,71
2019-02,75
2019-03,72
2019-04,68
2019-05,70
2019-06,71
2019-07,68
2019-08,76
2019-09,81
2019-10,78
2019-11,70
2019-12,63
2020-01,76
2020-02,77
2020-03,58
2020-04,59
2020-05,64
2020-06,69
2020-07,70
2020-08,76
2020-09,83
2020-10,72
2020-11,65
2020-12,61
2021-01,67
2021-02,70
2021-03,68
2021-04,72
2021-05,75
2021-06,74
2021-07,74
2021-08,81
2021-09,90
2021-10,88
2021-11,86
2021-12,83
2022-01,97
2022-02,100
2022-03,99
2022-04,100
2022-05,0
