Category: All categories

Month,target jobs: (United States)
2004-01,14
2004-02,13
2004-03,11
2004-04,14
2004-05,12
2004-06,15
2004-07,10
2004-08,13
2004-09,11
2004-10,9
2004-11,16
2004-12,9
2005-01,10
2005-02,12
2005-03,9
2005-04,16
2005-05,14
2005-06,17
2005-07,16
2005-08,16
2005-09,14
2005-10,13
2005-11,18
2005-12,13
2006-01,16
2006-02,14
2006-03,17
2006-04,16
2006-05,18
2006-06,19
2006-07,21
2006-08,18
2006-09,20
2006-10,23
2006-11,22
2006-12,19
2007-01,23
2007-02,19
2007-03,18
2007-04,19
2007-05,28
2007-06,28
2007-07,23
2007-08,28
2007-09,27
2007-10,29
2007-11,30
2007-12,20
2008-01,26
2008-02,29
2008-03,25
2008-04,33
2008-05,36
2008-06,37
2008-07,38
2008-08,32
2008-09,38
2008-10,40
2008-11,49
2008-12,41
2009-01,56
2009-02,41
2009-03,40
2009-04,40
2009-05,54
2009-06,56
2009-07,48
2009-08,50
2009-09,48
2009-10,58
2009-11,54
2009-12,41
2010-01,46
2010-02,40
2010-03,44
2010-04,48
2010-05,57
2010-06,63
2010-07,49
2010-08,51
2010-09,54
2010-10,52
2010-11,60
2010-12,41
2011-01,56
2011-02,50
2011-03,51
2011-04,51
2011-05,60
2011-06,65
2011-07,57
2011-08,64
2011-09,61
2011-10,67
2011-11,62
2011-12,46
2012-01,50
2012-02,42
2012-03,43
2012-04,44
2012-05,49
2012-06,54
2012-07,47
2012-08,48
2012-09,47
2012-10,52
2012-11,50
2012-12,38
2013-01,41
2013-02,36
2013-03,37
2013-04,41
2013-05,45
2013-06,46
2013-07,45
2013-08,47
2013-09,48
2013-10,52
2013-11,52
2013-12,41
2014-01,43
2014-02,34
2014-03,41
2014-04,45
2014-05,48
2014-06,55
2014-07,52
2014-08,45
2014-09,50
2014-10,51
2014-11,57
2014-12,42
2015-01,43
2015-02,35
2015-03,38
2015-04,42
2015-05,49
2015-06,56
2015-07,53
2015-08,48
2015-09,51
2015-10,49
2015-11,49
2015-12,41
2016-01,40
2016-02,33
2016-03,32
2016-04,37
2016-05,44
2016-06,47
2016-07,42
2016-08,40
2016-09,43
2016-10,47
2016-11,43
2016-12,37
2017-01,40
2017-02,36
2017-03,36
2017-04,37
2017-05,45
2017-06,50
2017-07,48
2017-08,49
2017-09,51
2017-10,56
2017-11,53
2017-12,41
2018-01,51
2018-02,40
2018-03,42
2018-04,42
2018-05,51
2018-06,54
2018-07,52
2018-08,54
2018-09,57
2018-10,64
2018-11,60
2018-12,50
2019-01,56
2019-02,46
2019-03,41
2019-04,52
2019-05,58
2019-06,61
2019-07,59
2019-08,59
2019-09,62
2019-10,67
2019-11,64
2019-12,54
2020-01,57
2020-02,50
2020-03,58
2020-04,48
2020-05,61
2020-06,81
2020-07,73
2020-08,70
2020-09,67
2020-10,75
2020-11,71
2020-12,65
2021-01,62
2021-02,53
2021-03,46
2021-04,45
2021-05,56
2021-06,62
2021-07,60
2021-08,66
2021-09,60
2021-10,61
2021-11,64
2021-12,52
2022-01,63
2022-02,55
2022-03,100
2022-04,68
2022-05,0
