Category: All categories

Month,ups careers: (United States)
2004-01,15
2004-02,6
2004-03,9
2004-04,7
2004-05,8
2004-06,15
2004-07,10
2004-08,10
2004-09,10
2004-10,17
2004-11,16
2004-12,16
2005-01,12
2005-02,8
2005-03,11
2005-04,15
2005-05,9
2005-06,15
2005-07,15
2005-08,27
2005-09,17
2005-10,19
2005-11,20
2005-12,17
2006-01,13
2006-02,13
2006-03,21
2006-04,14
2006-05,12
2006-06,19
2006-07,27
2006-08,32
2006-09,22
2006-10,26
2006-11,32
2006-12,20
2007-01,26
2007-02,28
2007-03,28
2007-04,29
2007-05,31
2007-06,35
2007-07,30
2007-08,28
2007-09,31
2007-10,37
2007-11,39
2007-12,30
2008-01,47
2008-02,37
2008-03,40
2008-04,52
2008-05,51
2008-06,58
2008-07,50
2008-08,53
2008-09,62
2008-10,74
2008-11,70
2008-12,55
2009-01,47
2009-02,41
2009-03,33
2009-04,33
2009-05,42
2009-06,52
2009-07,53
2009-08,44
2009-09,54
2009-10,65
2009-11,65
2009-12,40
2010-01,35
2010-02,34
2010-03,35
2010-04,63
2010-05,45
2010-06,45
2010-07,45
2010-08,46
2010-09,56
2010-10,62
2010-11,69
2010-12,47
2011-01,53
2011-02,45
2011-03,44
2011-04,46
2011-05,49
2011-06,52
2011-07,55
2011-08,53
2011-09,63
2011-10,65
2011-11,68
2011-12,47
2012-01,41
2012-02,40
2012-03,40
2012-04,43
2012-05,56
2012-06,50
2012-07,51
2012-08,52
2012-09,52
2012-10,66
2012-11,68
2012-12,50
2013-01,49
2013-02,43
2013-03,42
2013-04,50
2013-05,50
2013-06,55
2013-07,57
2013-08,55
2013-09,59
2013-10,78
2013-11,78
2013-12,63
2014-01,58
2014-02,46
2014-03,49
2014-04,54
2014-05,58
2014-06,63
2014-07,62
2014-08,59
2014-09,85
2014-10,97
2014-11,100
2014-12,77
2015-01,66
2015-02,53
2015-03,53
2015-04,58
2015-05,52
2015-06,60
2015-07,57
2015-08,62
2015-09,68
2015-10,73
2015-11,65
2015-12,62
2016-01,46
2016-02,38
2016-03,40
2016-04,42
2016-05,43
2016-06,51
2016-07,49
2016-08,50
2016-09,65
2016-10,64
2016-11,68
2016-12,54
2017-01,47
2017-02,39
2017-03,44
2017-04,40
2017-05,48
2017-06,53
2017-07,52
2017-08,60
2017-09,61
2017-10,76
2017-11,87
2017-12,69
2018-01,55
2018-02,46
2018-03,43
2018-04,45
2018-05,53
2018-06,66
2018-07,66
2018-08,67
2018-09,68
2018-10,85
2018-11,80
2018-12,56
2019-01,55
2019-02,47
2019-03,41
2019-04,45
2019-05,51
2019-06,62
2019-07,60
2019-08,64
2019-09,71
2019-10,89
2019-11,92
2019-12,74
2020-01,70
2020-02,53
2020-03,47
2020-04,47
2020-05,62
2020-06,68
2020-07,63
2020-08,59
2020-09,59
2020-10,81
2020-11,87
2020-12,67
2021-01,52
2021-02,42
2021-03,35
2021-04,35
2021-05,38
2021-06,43
2021-07,45
2021-08,47
2021-09,57
2021-10,82
2021-11,89
2021-12,62
2022-01,55
2022-02,46
2022-03,43
2022-04,44
2022-05,0
