Category: All categories

Month,ups jobs: (United States)
2004-01,15
2004-02,12
2004-03,20
2004-04,20
2004-05,19
2004-06,22
2004-07,22
2004-08,18
2004-09,17
2004-10,25
2004-11,30
2004-12,19
2005-01,17
2005-02,19
2005-03,15
2005-04,20
2005-05,21
2005-06,23
2005-07,22
2005-08,29
2005-09,30
2005-10,29
2005-11,29
2005-12,26
2006-01,23
2006-02,23
2006-03,21
2006-04,24
2006-05,31
2006-06,29
2006-07,27
2006-08,31
2006-09,28
2006-10,35
2006-11,37
2006-12,31
2007-01,32
2007-02,33
2007-03,30
2007-04,31
2007-05,36
2007-06,36
2007-07,39
2007-08,45
2007-09,41
2007-10,48
2007-11,51
2007-12,42
2008-01,49
2008-02,43
2008-03,38
2008-04,49
2008-05,53
2008-06,54
2008-07,59
2008-08,55
2008-09,81
2008-10,96
2008-11,100
2008-12,72
2009-01,69
2009-02,46
2009-03,45
2009-04,44
2009-05,49
2009-06,59
2009-07,58
2009-08,57
2009-09,55
2009-10,84
2009-11,94
2009-12,65
2010-01,43
2010-02,39
2010-03,43
2010-04,77
2010-05,54
2010-06,53
2010-07,53
2010-08,57
2010-09,55
2010-10,81
2010-11,79
2010-12,48
2011-01,52
2011-02,40
2011-03,41
2011-04,41
2011-05,46
2011-06,50
2011-07,48
2011-08,51
2011-09,54
2011-10,64
2011-11,68
2011-12,49
2012-01,42
2012-02,36
2012-03,32
2012-04,37
2012-05,43
2012-06,40
2012-07,40
2012-08,42
2012-09,44
2012-10,56
2012-11,62
2012-12,45
2013-01,44
2013-02,33
2013-03,34
2013-04,37
2013-05,41
2013-06,43
2013-07,45
2013-08,46
2013-09,48
2013-10,62
2013-11,67
2013-12,53
2014-01,46
2014-02,37
2014-03,38
2014-04,43
2014-05,46
2014-06,50
2014-07,51
2014-08,49
2014-09,70
2014-10,71
2014-11,71
2014-12,54
2015-01,47
2015-02,37
2015-03,37
2015-04,41
2015-05,44
2015-06,50
2015-07,46
2015-08,49
2015-09,61
2015-10,61
2015-11,64
2015-12,58
2016-01,42
2016-02,34
2016-03,33
2016-04,35
2016-05,40
2016-06,42
2016-07,42
2016-08,44
2016-09,55
2016-10,57
2016-11,64
2016-12,56
2017-01,46
2017-02,37
2017-03,39
2017-04,37
2017-05,40
2017-06,43
2017-07,46
2017-08,49
2017-09,46
2017-10,58
2017-11,63
2017-12,55
2018-01,45
2018-02,37
2018-03,37
2018-04,40
2018-05,44
2018-06,52
2018-07,53
2018-08,53
2018-09,54
2018-10,61
2018-11,64
2018-12,50
2019-01,46
2019-02,39
2019-03,34
2019-04,36
2019-05,42
2019-06,46
2019-07,48
2019-08,50
2019-09,52
2019-10,62
2019-11,69
2019-12,59
2020-01,51
2020-02,44
2020-03,40
2020-04,40
2020-05,49
2020-06,59
2020-07,53
2020-08,51
2020-09,53
2020-10,64
2020-11,70
2020-12,59
2021-01,47
2021-02,40
2021-03,35
2021-04,32
2021-05,42
2021-06,45
2021-07,43
2021-08,44
2021-09,50
2021-10,59
2021-11,69
2021-12,54
2022-01,47
2022-02,40
2022-03,37
2022-04,38
2022-05,0
