Category: All categories

Month,walmart application: (United States)
2004-01,10
2004-02,5
2004-03,5
2004-04,1
2004-05,8
2004-06,6
2004-07,4
2004-08,7
2004-09,4
2004-10,8
2004-11,8
2004-12,11
2005-01,8
2005-02,10
2005-03,4
2005-04,8
2005-05,8
2005-06,6
2005-07,9
2005-08,7
2005-09,9
2005-10,12
2005-11,12
2005-12,7
2006-01,10
2006-02,7
2006-03,5
2006-04,9
2006-05,14
2006-06,10
2006-07,11
2006-08,11
2006-09,11
2006-10,13
2006-11,10
2006-12,8
2007-01,16
2007-02,12
2007-03,10
2007-04,12
2007-05,17
2007-06,15
2007-07,17
2007-08,18
2007-09,17
2007-10,17
2007-11,27
2007-12,16
2008-01,22
2008-02,14
2008-03,19
2008-04,20
2008-05,21
2008-06,20
2008-07,23
2008-08,16
2008-09,25
2008-10,28
2008-11,34
2008-12,30
2009-01,31
2009-02,26
2009-03,31
2009-04,34
2009-05,39
2009-06,49
2009-07,42
2009-08,42
2009-09,44
2009-10,50
2009-11,49
2009-12,34
2010-01,44
2010-02,34
2010-03,40
2010-04,47
2010-05,51
2010-06,65
2010-07,48
2010-08,53
2010-09,51
2010-10,56
2010-11,61
2010-12,49
2011-01,66
2011-02,54
2011-03,58
2011-04,59
2011-05,70
2011-06,91
2011-07,88
2011-08,92
2011-09,94
2011-10,88
2011-11,96
2011-12,70
2012-01,78
2012-02,69
2012-03,71
2012-04,76
2012-05,87
2012-06,100
2012-07,90
2012-08,88
2012-09,93
2012-10,85
2012-11,84
2012-12,63
2013-01,69
2013-02,56
2013-03,61
2013-04,71
2013-05,84
2013-06,90
2013-07,83
2013-08,83
2013-09,85
2013-10,84
2013-11,87
2013-12,65
2014-01,68
2014-02,61
2014-03,69
2014-04,69
2014-05,83
2014-06,88
2014-07,82
2014-08,82
2014-09,82
2014-10,85
2014-11,80
2014-12,67
2015-01,69
2015-02,63
2015-03,76
2015-04,80
2015-05,84
2015-06,100
2015-07,88
2015-08,85
2015-09,83
2015-10,87
2015-11,87
2015-12,70
2016-01,68
2016-02,65
2016-03,69
2016-04,69
2016-05,83
2016-06,95
2016-07,91
2016-08,81
2016-09,74
2016-10,83
2016-11,98
2016-12,79
2017-01,81
2017-02,73
2017-03,74
2017-04,74
2017-05,84
2017-06,79
2017-07,84
2017-08,88
2017-09,79
2017-10,75
2017-11,85
2017-12,72
2018-01,83
2018-02,61
2018-03,72
2018-04,76
2018-05,80
2018-06,92
2018-07,86
2018-08,84
2018-09,77
2018-10,77
2018-11,74
2018-12,63
2019-01,70
2019-02,61
2019-03,57
2019-04,55
2019-05,72
2019-06,79
2019-07,73
2019-08,74
2019-09,68
2019-10,64
2019-11,67
2019-12,56
2020-01,60
2020-02,52
2020-03,68
2020-04,65
2020-05,64
2020-06,63
2020-07,61
2020-08,57
2020-09,55
2020-10,56
2020-11,58
2020-12,62
2021-01,57
2021-02,51
2021-03,46
2021-04,44
2021-05,52
2021-06,62
2021-07,54
2021-08,57
2021-09,56
2021-10,59
2021-11,63
2021-12,52
2022-01,56
2022-02,54
2022-03,52
2022-04,55
2022-05,0
