Category: All categories

Month,aapl stock price: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,1
2004-05,0
2004-06,0
2004-07,1
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,<1
2005-02,1
2005-03,0
2005-04,<1
2005-05,1
2005-06,<1
2005-07,0
2005-08,0
2005-09,1
2005-10,1
2005-11,1
2005-12,0
2006-01,1
2006-02,0
2006-03,1
2006-04,1
2006-05,<1
2006-06,1
2006-07,0
2006-08,<1
2006-09,<1
2006-10,1
2006-11,1
2006-12,<1
2007-01,1
2007-02,<1
2007-03,<1
2007-04,1
2007-05,<1
2007-06,1
2007-07,2
2007-08,1
2007-09,<1
2007-10,1
2007-11,2
2007-12,1
2008-01,2
2008-02,1
2008-03,1
2008-04,2
2008-05,2
2008-06,2
2008-07,1
2008-08,1
2008-09,1
2008-10,2
2008-11,1
2008-12,1
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,2
2009-10,3
2009-11,2
2009-12,1
2010-01,3
2010-02,2
2010-03,2
2010-04,3
2010-05,3
2010-06,1
2010-07,2
2010-08,3
2010-09,1
2010-10,2
2010-11,2
2010-12,2
2011-01,4
2011-02,4
2011-03,3
2011-04,2
2011-05,2
2011-06,2
2011-07,2
2011-08,3
2011-09,2
2011-10,4
2011-11,2
2011-12,2
2012-01,3
2012-02,4
2012-03,4
2012-04,5
2012-05,4
2012-06,3
2012-07,3
2012-08,4
2012-09,5
2012-10,4
2012-11,5
2012-12,5
2013-01,7
2013-02,4
2013-03,4
2013-04,5
2013-05,5
2013-06,5
2013-07,7
2013-08,7
2013-09,7
2013-10,7
2013-11,5
2013-12,6
2014-01,6
2014-02,7
2014-03,5
2014-04,6
2014-05,7
2014-06,10
2014-07,11
2014-08,9
2014-09,13
2014-10,10
2014-11,11
2014-12,11
2015-01,11
2015-02,11
2015-03,11
2015-04,14
2015-05,11
2015-06,11
2015-07,14
2015-08,24
2015-09,16
2015-10,15
2015-11,13
2015-12,12
2016-01,23
2016-02,20
2016-03,19
2016-04,19
2016-05,23
2016-06,21
2016-07,21
2016-08,21
2016-09,21
2016-10,20
2016-11,19
2016-12,16
2017-01,18
2017-02,24
2017-03,27
2017-04,20
2017-05,31
2017-06,34
2017-07,27
2017-08,47
2017-09,36
2017-10,27
2017-11,38
2017-12,35
2018-01,39
2018-02,48
2018-03,32
2018-04,35
2018-05,34
2018-06,28
2018-07,24
2018-08,39
2018-09,32
2018-10,30
2018-11,37
2018-12,30
2019-01,33
2019-02,23
2019-03,21
2019-04,24
2019-05,29
2019-06,23
2019-07,27
2019-08,30
2019-09,23
2019-10,30
2019-11,28
2019-12,29
2020-01,43
2020-02,48
2020-03,72
2020-04,48
2020-05,40
2020-06,48
2020-07,49
2020-08,80
2020-09,100
2020-10,78
2020-11,63
2020-12,67
2021-01,66
2021-02,69
2021-03,68
2021-04,61
2021-05,52
2021-06,46
2021-07,53
2021-08,48
2021-09,44
2021-10,43
2021-11,50
2021-12,62
2022-01,55
2022-02,49
2022-03,46
2022-04,41
2022-05,58
