Category: All categories

Month,amazon stock: (United States)
2004-01,<1
2004-02,1
2004-03,<1
2004-04,<1
2004-05,0
2004-06,1
2004-07,1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,1
2005-12,1
2006-01,1
2006-02,1
2006-03,<1
2006-04,1
2006-05,<1
2006-06,<1
2006-07,1
2006-08,<1
2006-09,1
2006-10,1
2006-11,1
2006-12,1
2007-01,1
2007-02,<1
2007-03,1
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,1
2007-09,1
2007-10,1
2007-11,1
2007-12,1
2008-01,1
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,1
2008-11,1
2008-12,2
2009-01,1
2009-02,1
2009-03,1
2009-04,1
2009-05,1
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,2
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,1
2010-06,1
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,2
2011-01,2
2011-02,2
2011-03,2
2011-04,2
2011-05,2
2011-06,2
2011-07,2
2011-08,3
2011-09,3
2011-10,3
2011-11,3
2011-12,3
2012-01,2
2012-02,3
2012-03,3
2012-04,3
2012-05,3
2012-06,2
2012-07,2
2012-08,2
2012-09,3
2012-10,3
2012-11,3
2012-12,3
2013-01,4
2013-02,3
2013-03,3
2013-04,3
2013-05,3
2013-06,3
2013-07,3
2013-08,3
2013-09,3
2013-10,4
2013-11,5
2013-12,7
2014-01,5
2014-02,6
2014-03,5
2014-04,6
2014-05,4
2014-06,5
2014-07,5
2014-08,4
2014-09,5
2014-10,6
2014-11,5
2014-12,6
2015-01,6
2015-02,6
2015-03,4
2015-04,6
2015-05,5
2015-06,4
2015-07,9
2015-08,8
2015-09,6
2015-10,9
2015-11,9
2015-12,10
2016-01,11
2016-02,10
2016-03,8
2016-04,9
2016-05,11
2016-06,9
2016-07,10
2016-08,8
2016-09,9
2016-10,11
2016-11,13
2016-12,11
2017-01,12
2017-02,14
2017-03,14
2017-04,18
2017-05,22
2017-06,34
2017-07,32
2017-08,27
2017-09,18
2017-10,27
2017-11,31
2017-12,25
2018-01,37
2018-02,54
2018-03,44
2018-04,51
2018-05,32
2018-06,34
2018-07,47
2018-08,44
2018-09,44
2018-10,59
2018-11,50
2018-12,44
2019-01,42
2019-02,36
2019-03,32
2019-04,39
2019-05,38
2019-06,31
2019-07,34
2019-08,33
2019-09,23
2019-10,30
2019-11,24
2019-12,26
2020-01,35
2020-02,47
2020-03,100
2020-04,77
2020-05,58
2020-06,54
2020-07,80
2020-08,64
2020-09,62
2020-10,56
2020-11,54
2020-12,50
2021-01,54
2021-02,59
2021-03,44
2021-04,44
2021-05,37
2021-06,34
2021-07,40
2021-08,34
2021-09,27
2021-10,31
2021-11,35
2021-12,30
2022-01,33
2022-02,44
2022-03,60
2022-04,57
2022-05,82
