Category: All categories

Month,djia futures: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,<1
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,<1
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,<1
2005-12,0
2006-01,0
2006-02,<1
2006-03,<1
2006-04,0
2006-05,<1
2006-06,0
2006-07,<1
2006-08,0
2006-09,0
2006-10,0
2006-11,<1
2006-12,0
2007-01,0
2007-02,<1
2007-03,0
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,0
2007-08,<1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,1
2008-02,1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,2
2008-10,4
2008-11,2
2008-12,2
2009-01,1
2009-02,2
2009-03,2
2009-04,2
2009-05,2
2009-06,1
2009-07,1
2009-08,1
2009-09,1
2009-10,1
2009-11,1
2009-12,1
2010-01,1
2010-02,1
2010-03,1
2010-04,1
2010-05,2
2010-06,2
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,1
2011-04,1
2011-05,1
2011-06,1
2011-07,1
2011-08,5
2011-09,3
2011-10,2
2011-11,2
2011-12,2
2012-01,2
2012-02,1
2012-03,2
2012-04,1
2012-05,2
2012-06,1
2012-07,1
2012-08,1
2012-09,1
2012-10,1
2012-11,2
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,2
2013-07,1
2013-08,2
2013-09,2
2013-10,2
2013-11,1
2013-12,1
2014-01,2
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,1
2014-10,3
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,2
2015-06,2
2015-07,4
2015-08,7
2015-09,7
2015-10,4
2015-11,3
2015-12,3
2016-01,8
2016-02,7
2016-03,5
2016-04,4
2016-05,3
2016-06,7
2016-07,5
2016-08,4
2016-09,4
2016-10,3
2016-11,8
2016-12,4
2017-01,4
2017-02,4
2017-03,4
2017-04,4
2017-05,4
2017-06,4
2017-07,3
2017-08,4
2017-09,4
2017-10,4
2017-11,4
2017-12,5
2018-01,7
2018-02,14
2018-03,10
2018-04,12
2018-05,7
2018-06,8
2018-07,8
2018-08,7
2018-09,6
2018-10,11
2018-11,9
2018-12,16
2019-01,13
2019-02,9
2019-03,9
2019-04,9
2019-05,13
2019-06,10
2019-07,10
2019-08,16
2019-09,11
2019-10,9
2019-11,8
2019-12,8
2020-01,12
2020-02,21
2020-03,100
2020-04,43
2020-05,28
2020-06,33
2020-07,24
2020-08,17
2020-09,18
2020-10,19
2020-11,22
2020-12,17
2021-01,17
2021-02,15
2021-03,14
2021-04,10
2021-05,11
2021-06,10
2021-07,10
2021-08,11
2021-09,10
2021-10,10
2021-11,10
2021-12,13
2022-01,12
2022-02,16
2022-03,15
2022-04,10
2022-05,18
