Category: All categories

Month,djia today: (United States)
2004-01,1
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,<1
2004-07,0
2004-08,0
2004-09,0
2004-10,<1
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,<1
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,<1
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,<1
2006-05,<1
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,0
2007-02,<1
2007-03,0
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,1
2007-09,<1
2007-10,<1
2007-11,<1
2007-12,<1
2008-01,1
2008-02,<1
2008-03,<1
2008-04,<1
2008-05,<1
2008-06,<1
2008-07,<1
2008-08,<1
2008-09,1
2008-10,2
2008-11,1
2008-12,<1
2009-01,1
2009-02,<1
2009-03,1
2009-04,<1
2009-05,<1
2009-06,<1
2009-07,<1
2009-08,<1
2009-09,<1
2009-10,1
2009-11,1
2009-12,2
2010-01,2
2010-02,3
2010-03,2
2010-04,3
2010-05,5
2010-06,3
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,2
2011-02,3
2011-03,3
2011-04,2
2011-05,2
2011-06,2
2011-07,3
2011-08,10
2011-09,4
2011-10,3
2011-11,2
2011-12,2
2012-01,2
2012-02,2
2012-03,1
2012-04,1
2012-05,2
2012-06,3
2012-07,2
2012-08,1
2012-09,1
2012-10,1
2012-11,2
2012-12,1
2013-01,1
2013-02,1
2013-03,1
2013-04,1
2013-05,1
2013-06,2
2013-07,1
2013-08,2
2013-09,2
2013-10,3
2013-11,2
2013-12,2
2014-01,4
2014-02,4
2014-03,4
2014-04,4
2014-05,4
2014-06,4
2014-07,5
2014-08,5
2014-09,5
2014-10,8
2014-11,5
2014-12,7
2015-01,7
2015-02,7
2015-03,7
2015-04,8
2015-05,7
2015-06,8
2015-07,10
2015-08,14
2015-09,12
2015-10,8
2015-11,5
2015-12,7
2016-01,12
2016-02,9
2016-03,6
2016-04,5
2016-05,5
2016-06,8
2016-07,7
2016-08,4
2016-09,4
2016-10,4
2016-11,5
2016-12,6
2017-01,6
2017-02,7
2017-03,8
2017-04,7
2017-05,8
2017-06,9
2017-07,7
2017-08,8
2017-09,7
2017-10,8
2017-11,8
2017-12,12
2018-01,17
2018-02,39
2018-03,27
2018-04,24
2018-05,18
2018-06,19
2018-07,17
2018-08,18
2018-09,14
2018-10,21
2018-11,20
2018-12,30
2019-01,27
2019-02,22
2019-03,18
2019-04,19
2019-05,24
2019-06,21
2019-07,20
2019-08,30
2019-09,21
2019-10,24
2019-11,20
2019-12,22
2020-01,24
2020-02,36
2020-03,100
2020-04,55
2020-05,36
2020-06,45
2020-07,39
2020-08,31
2020-09,32
2020-10,37
2020-11,34
2020-12,32
2021-01,32
2021-02,33
2021-03,34
2021-04,30
2021-05,30
2021-06,28
2021-07,29
2021-08,28
2021-09,28
2021-10,28
2021-11,27
2021-12,33
2022-01,32
2022-02,37
2022-03,40
2022-04,33
2022-05,52
