Category: All categories

Month,djia: (United States)
2004-01,2
2004-02,1
2004-03,1
2004-04,1
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,2
2004-12,2
2005-01,1
2005-02,1
2005-03,1
2005-04,2
2005-05,1
2005-06,2
2005-07,1
2005-08,1
2005-09,1
2005-10,2
2005-11,1
2005-12,1
2006-01,2
2006-02,2
2006-03,2
2006-04,2
2006-05,2
2006-06,2
2006-07,2
2006-08,2
2006-09,2
2006-10,3
2006-11,2
2006-12,2
2007-01,2
2007-02,3
2007-03,3
2007-04,2
2007-05,2
2007-06,3
2007-07,3
2007-08,5
2007-09,3
2007-10,3
2007-11,5
2007-12,3
2008-01,6
2008-02,4
2008-03,4
2008-04,4
2008-05,3
2008-06,3
2008-07,5
2008-08,3
2008-09,11
2008-10,35
2008-11,19
2008-12,14
2009-01,11
2009-02,15
2009-03,19
2009-04,13
2009-05,10
2009-06,9
2009-07,9
2009-08,8
2009-09,7
2009-10,8
2009-11,7
2009-12,6
2010-01,6
2010-02,6
2010-03,5
2010-04,6
2010-05,10
2010-06,8
2010-07,7
2010-08,7
2010-09,6
2010-10,6
2010-11,6
2010-12,5
2011-01,5
2011-02,6
2011-03,6
2011-04,5
2011-05,5
2011-06,6
2011-07,6
2011-08,19
2011-09,9
2011-10,8
2011-11,8
2011-12,6
2012-01,5
2012-02,5
2012-03,4
2012-04,4
2012-05,4
2012-06,5
2012-07,4
2012-08,4
2012-09,4
2012-10,5
2012-11,6
2012-12,5
2013-01,5
2013-02,5
2013-03,5
2013-04,5
2013-05,5
2013-06,6
2013-07,5
2013-08,5
2013-09,5
2013-10,6
2013-11,5
2013-12,5
2014-01,6
2014-02,6
2014-03,5
2014-04,5
2014-05,5
2014-06,5
2014-07,5
2014-08,6
2014-09,5
2014-10,8
2014-11,5
2014-12,7
2015-01,7
2015-02,6
2015-03,7
2015-04,6
2015-05,6
2015-06,7
2015-07,8
2015-08,16
2015-09,15
2015-10,9
2015-11,7
2015-12,8
2016-01,20
2016-02,17
2016-03,13
2016-04,10
2016-05,9
2016-06,15
2016-07,12
2016-08,9
2016-09,8
2016-10,7
2016-11,14
2016-12,11
2017-01,12
2017-02,11
2017-03,12
2017-04,10
2017-05,11
2017-06,11
2017-07,9
2017-08,12
2017-09,9
2017-10,10
2017-11,10
2017-12,12
2018-01,15
2018-02,34
2018-03,25
2018-04,25
2018-05,18
2018-06,18
2018-07,17
2018-08,17
2018-09,13
2018-10,25
2018-11,22
2018-12,34
2019-01,29
2019-02,21
2019-03,19
2019-04,18
2019-05,24
2019-06,20
2019-07,19
2019-08,31
2019-09,20
2019-10,21
2019-11,17
2019-12,17
2020-01,20
2020-02,32
2020-03,100
2020-04,54
2020-05,35
2020-06,43
2020-07,33
2020-08,25
2020-09,28
2020-10,28
2020-11,28
2020-12,23
2021-01,23
2021-02,22
2021-03,23
2021-04,18
2021-05,18
2021-06,18
2021-07,18
2021-08,17
2021-09,17
2021-10,17
2021-11,16
2021-12,20
2022-01,19
2022-02,23
2022-03,24
2022-04,19
2022-05,30
