Category: All categories

Month,dow futures live: (United States)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,<1
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,<1
2007-09,0
2007-10,<1
2007-11,<1
2007-12,0
2008-01,1
2008-02,<1
2008-03,<1
2008-04,1
2008-05,<1
2008-06,0
2008-07,0
2008-08,<1
2008-09,2
2008-10,6
2008-11,3
2008-12,1
2009-01,2
2009-02,1
2009-03,2
2009-04,<1
2009-05,1
2009-06,1
2009-07,<1
2009-08,1
2009-09,1
2009-10,1
2009-11,<1
2009-12,<1
2010-01,<1
2010-02,<1
2010-03,<1
2010-04,<1
2010-05,1
2010-06,<1
2010-07,1
2010-08,<1
2010-09,<1
2010-10,<1
2010-11,<1
2010-12,<1
2011-01,<1
2011-02,<1
2011-03,1
2011-04,<1
2011-05,<1
2011-06,1
2011-07,1
2011-08,3
2011-09,1
2011-10,1
2011-11,1
2011-12,1
2012-01,<1
2012-02,1
2012-03,1
2012-04,<1
2012-05,1
2012-06,<1
2012-07,<1
2012-08,1
2012-09,1
2012-10,<1
2012-11,<1
2012-12,2
2013-01,2
2013-02,<1
2013-03,1
2013-04,1
2013-05,1
2013-06,1
2013-07,1
2013-08,<1
2013-09,1
2013-10,1
2013-11,<1
2013-12,1
2014-01,1
2014-02,1
2014-03,1
2014-04,<1
2014-05,<1
2014-06,1
2014-07,1
2014-08,1
2014-09,1
2014-10,2
2014-11,1
2014-12,1
2015-01,1
2015-02,1
2015-03,2
2015-04,2
2015-05,1
2015-06,1
2015-07,2
2015-08,3
2015-09,6
2015-10,1
2015-11,1
2015-12,1
2016-01,6
2016-02,9
2016-03,3
2016-04,2
2016-05,2
2016-06,15
2016-07,6
2016-08,2
2016-09,2
2016-10,2
2016-11,45
2016-12,3
2017-01,4
2017-02,3
2017-03,3
2017-04,3
2017-05,3
2017-06,2
2017-07,2
2017-08,2
2017-09,3
2017-10,3
2017-11,3
2017-12,3
2018-01,5
2018-02,15
2018-03,10
2018-04,11
2018-05,6
2018-06,7
2018-07,7
2018-08,6
2018-09,5
2018-10,10
2018-11,10
2018-12,14
2019-01,13
2019-02,10
2019-03,9
2019-04,7
2019-05,10
2019-06,9
2019-07,7
2019-08,12
2019-09,9
2019-10,8
2019-11,6
2019-12,7
2020-01,9
2020-02,16
2020-03,100
2020-04,64
2020-05,39
2020-06,41
2020-07,29
2020-08,18
2020-09,20
2020-10,21
2020-11,23
2020-12,17
2021-01,19
2021-02,17
2021-03,16
2021-04,12
2021-05,13
2021-06,12
2021-07,12
2021-08,11
2021-09,10
2021-10,10
2021-11,10
2021-12,13
2022-01,11
2022-02,15
2022-03,14
2022-04,11
2022-05,17
