Category: All categories

Month,dow futures: (United States)
2004-01,<1
2004-02,<1
2004-03,<1
2004-04,<1
2004-05,<1
2004-06,<1
2004-07,<1
2004-08,<1
2004-09,<1
2004-10,<1
2004-11,<1
2004-12,<1
2005-01,<1
2005-02,<1
2005-03,<1
2005-04,<1
2005-05,<1
2005-06,<1
2005-07,<1
2005-08,<1
2005-09,<1
2005-10,<1
2005-11,<1
2005-12,<1
2006-01,<1
2006-02,<1
2006-03,<1
2006-04,<1
2006-05,<1
2006-06,<1
2006-07,<1
2006-08,<1
2006-09,<1
2006-10,<1
2006-11,<1
2006-12,<1
2007-01,<1
2007-02,<1
2007-03,<1
2007-04,<1
2007-05,<1
2007-06,<1
2007-07,<1
2007-08,1
2007-09,<1
2007-10,<1
2007-11,1
2007-12,<1
2008-01,2
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,3
2008-10,9
2008-11,6
2008-12,4
2009-01,3
2009-02,4
2009-03,5
2009-04,4
2009-05,3
2009-06,3
2009-07,2
2009-08,2
2009-09,2
2009-10,2
2009-11,2
2009-12,2
2010-01,2
2010-02,2
2010-03,2
2010-04,2
2010-05,3
2010-06,3
2010-07,2
2010-08,2
2010-09,2
2010-10,1
2010-11,2
2010-12,1
2011-01,1
2011-02,2
2011-03,2
2011-04,2
2011-05,2
2011-06,2
2011-07,2
2011-08,7
2011-09,4
2011-10,3
2011-11,3
2011-12,3
2012-01,2
2012-02,2
2012-03,2
2012-04,2
2012-05,2
2012-06,2
2012-07,2
2012-08,1
2012-09,1
2012-10,1
2012-11,2
2012-12,2
2013-01,2
2013-02,1
2013-03,2
2013-04,2
2013-05,2
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,2
2013-11,1
2013-12,1
2014-01,2
2014-02,2
2014-03,2
2014-04,2
2014-05,1
2014-06,1
2014-07,1
2014-08,2
2014-09,1
2014-10,2
2014-11,2
2014-12,2
2015-01,2
2015-02,2
2015-03,2
2015-04,2
2015-05,1
2015-06,2
2015-07,3
2015-08,6
2015-09,6
2015-10,3
2015-11,3
2015-12,3
2016-01,7
2016-02,6
2016-03,4
2016-04,3
2016-05,3
2016-06,6
2016-07,5
2016-08,3
2016-09,4
2016-10,3
2016-11,12
2016-12,3
2017-01,3
2017-02,3
2017-03,4
2017-04,3
2017-05,4
2017-06,4
2017-07,3
2017-08,4
2017-09,3
2017-10,3
2017-11,3
2017-12,4
2018-01,5
2018-02,14
2018-03,9
2018-04,11
2018-05,6
2018-06,7
2018-07,7
2018-08,6
2018-09,5
2018-10,10
2018-11,9
2018-12,16
2019-01,13
2019-02,9
2019-03,7
2019-04,7
2019-05,11
2019-06,10
2019-07,9
2019-08,15
2019-09,11
2019-10,9
2019-11,7
2019-12,8
2020-01,11
2020-02,20
2020-03,100
2020-04,53
2020-05,33
2020-06,44
2020-07,30
2020-08,20
2020-09,22
2020-10,24
2020-11,27
2020-12,21
2021-01,21
2021-02,20
2021-03,20
2021-04,14
2021-05,13
2021-06,12
2021-07,12
2021-08,12
2021-09,12
2021-10,12
2021-11,13
2021-12,17
2022-01,16
2022-02,20
2022-03,20
2022-04,14
2022-05,22
