Category: All categories

Month,dow jones average: (United States)
2004-01,7
2004-02,6
2004-03,6
2004-04,6
2004-05,6
2004-06,4
2004-07,3
2004-08,4
2004-09,5
2004-10,7
2004-11,6
2004-12,4
2005-01,5
2005-02,6
2005-03,6
2005-04,6
2005-05,4
2005-06,2
2005-07,3
2005-08,3
2005-09,4
2005-10,4
2005-11,5
2005-12,3
2006-01,6
2006-02,4
2006-03,5
2006-04,4
2006-05,4
2006-06,4
2006-07,3
2006-08,3
2006-09,4
2006-10,7
2006-11,4
2006-12,4
2007-01,5
2007-02,6
2007-03,6
2007-04,6
2007-05,5
2007-06,3
2007-07,8
2007-08,10
2007-09,6
2007-10,6
2007-11,7
2007-12,6
2008-01,13
2008-02,6
2008-03,9
2008-04,7
2008-05,6
2008-06,7
2008-07,8
2008-08,4
2008-09,24
2008-10,70
2008-11,43
2008-12,32
2009-01,25
2009-02,32
2009-03,44
2009-04,27
2009-05,21
2009-06,20
2009-07,21
2009-08,19
2009-09,17
2009-10,20
2009-11,18
2009-12,16
2010-01,16
2010-02,17
2010-03,16
2010-04,17
2010-05,25
2010-06,17
2010-07,11
2010-08,9
2010-09,9
2010-10,8
2010-11,9
2010-12,8
2011-01,8
2011-02,10
2011-03,12
2011-04,10
2011-05,8
2011-06,10
2011-07,10
2011-08,33
2011-09,15
2011-10,13
2011-11,13
2011-12,9
2012-01,7
2012-02,8
2012-03,8
2012-04,9
2012-05,9
2012-06,10
2012-07,7
2012-08,6
2012-09,6
2012-10,8
2012-11,12
2012-12,8
2013-01,13
2013-02,13
2013-03,16
2013-04,16
2013-05,17
2013-06,18
2013-07,17
2013-08,17
2013-09,17
2013-10,21
2013-11,18
2013-12,17
2014-01,17
2014-02,20
2014-03,19
2014-04,20
2014-05,18
2014-06,17
2014-07,18
2014-08,20
2014-09,17
2014-10,32
2014-11,22
2014-12,25
2015-01,26
2015-02,22
2015-03,24
2015-04,24
2015-05,21
2015-06,25
2015-07,31
2015-08,70
2015-09,72
2015-10,34
2015-11,29
2015-12,28
2016-01,68
2016-02,53
2016-03,46
2016-04,39
2016-05,39
2016-06,59
2016-07,42
2016-08,28
2016-09,26
2016-10,24
2016-11,46
2016-12,35
2017-01,31
2017-02,28
2017-03,34
2017-04,35
2017-05,36
2017-06,31
2017-07,23
2017-08,30
2017-09,27
2017-10,32
2017-11,31
2017-12,28
2018-01,40
2018-02,95
2018-03,69
2018-04,69
2018-05,49
2018-06,48
2018-07,48
2018-08,49
2018-09,37
2018-10,62
2018-11,56
2018-12,69
2019-01,63
2019-02,51
2019-03,47
2019-04,45
2019-05,52
2019-06,46
2019-07,44
2019-08,58
2019-09,41
2019-10,41
2019-11,33
2019-12,34
2020-01,39
2020-02,50
2020-03,100
2020-04,64
2020-05,50
2020-06,60
2020-07,45
2020-08,37
2020-09,40
2020-10,43
2020-11,41
2020-12,36
2021-01,34
2021-02,32
2021-03,35
2021-04,28
2021-05,26
2021-06,24
2021-07,24
2021-08,24
2021-09,23
2021-10,23
2021-11,21
2021-12,26
2022-01,25
2022-02,30
2022-03,32
2022-04,27
2022-05,38
