Category: All categories

Month,dow jones index: (United States)
2004-01,11
2004-02,7
2004-03,13
2004-04,12
2004-05,7
2004-06,7
2004-07,7
2004-08,6
2004-09,8
2004-10,8
2004-11,8
2004-12,9
2005-01,11
2005-02,8
2005-03,10
2005-04,10
2005-05,10
2005-06,8
2005-07,7
2005-08,8
2005-09,9
2005-10,7
2005-11,7
2005-12,8
2006-01,9
2006-02,7
2006-03,7
2006-04,8
2006-05,7
2006-06,10
2006-07,7
2006-08,6
2006-09,10
2006-10,10
2006-11,8
2006-12,7
2007-01,9
2007-02,10
2007-03,11
2007-04,8
2007-05,8
2007-06,8
2007-07,10
2007-08,14
2007-09,9
2007-10,11
2007-11,13
2007-12,9
2008-01,18
2008-02,12
2008-03,13
2008-04,11
2008-05,10
2008-06,10
2008-07,15
2008-08,11
2008-09,41
2008-10,100
2008-11,30
2008-12,25
2009-01,18
2009-02,21
2009-03,25
2009-04,18
2009-05,14
2009-06,12
2009-07,11
2009-08,11
2009-09,12
2009-10,11
2009-11,9
2009-12,8
2010-01,8
2010-02,8
2010-03,7
2010-04,8
2010-05,8
2010-06,8
2010-07,7
2010-08,6
2010-09,7
2010-10,7
2010-11,6
2010-12,5
2011-01,5
2011-02,6
2011-03,6
2011-04,6
2011-05,5
2011-06,5
2011-07,5
2011-08,11
2011-09,6
2011-10,6
2011-11,6
2011-12,5
2012-01,6
2012-02,5
2012-03,5
2012-04,5
2012-05,5
2012-06,4
2012-07,4
2012-08,5
2012-09,4
2012-10,5
2012-11,5
2012-12,4
2013-01,5
2013-02,5
2013-03,6
2013-04,6
2013-05,5
2013-06,6
2013-07,5
2013-08,5
2013-09,5
2013-10,5
2013-11,5
2013-12,5
2014-01,6
2014-02,7
2014-03,7
2014-04,6
2014-05,6
2014-06,5
2014-07,7
2014-08,5
2014-09,5
2014-10,8
2014-11,6
2014-12,6
2015-01,7
2015-02,6
2015-03,7
2015-04,6
2015-05,5
2015-06,6
2015-07,8
2015-08,12
2015-09,14
2015-10,16
2015-11,13
2015-12,14
2016-01,36
2016-02,32
2016-03,26
2016-04,22
2016-05,19
2016-06,33
2016-07,24
2016-08,22
2016-09,19
2016-10,18
2016-11,30
2016-12,29
2017-01,29
2017-02,28
2017-03,30
2017-04,23
2017-05,27
2017-06,29
2017-07,26
2017-08,34
2017-09,24
2017-10,27
2017-11,23
2017-12,24
2018-01,31
2018-02,51
2018-03,38
2018-04,38
2018-05,29
2018-06,28
2018-07,24
2018-08,25
2018-09,21
2018-10,36
2018-11,29
2018-12,35
2019-01,32
2019-02,26
2019-03,24
2019-04,23
2019-05,25
2019-06,23
2019-07,21
2019-08,31
2019-09,21
2019-10,21
2019-11,18
2019-12,18
2020-01,20
2020-02,29
2020-03,65
2020-04,36
2020-05,28
2020-06,35
2020-07,29
2020-08,26
2020-09,27
2020-10,26
2020-11,27
2020-12,25
2021-01,25
2021-02,25
2021-03,30
2021-04,24
2021-05,21
2021-06,21
2021-07,22
2021-08,22
2021-09,25
2021-10,24
2021-11,29
2021-12,35
2022-01,35
2022-02,38
2022-03,39
2022-04,37
2022-05,55
